Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Ильзат Ахметов;ФК Краснодар;213;18;АП Л;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;5.00;80 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;1.00;-;-;1.00;-;-;9.00;56 %;4.00;50 %;5.00;60 %;-;-;3.00;67 %;2.00;50 %;3.00;67 %;-;2.00;1;-;-;1.00;17.00;12.00;71 %;-;-;-;-;-;-;-;-;0.21;0.01;0.20;-;-;4.00;-;-;1.00;-;-;1.00;-;5.00;2.00;3.00;-;2.00;1.00;2.00
Олакунле Олусегун;ФК Краснодар;213;17;П ЛЦ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;1.00;0 %;1.00;0 %;1.00;0 %;-;-;-;-;-;-;-;-;-;-;1.00;-;-;1.00;-;-;4.00;50 %;4.00;50 %;-;-;1.00;100 %;-;-;-;-;2.00;50 %;2.00;-;1;-;-;1.00;7.00;4.00;57 %;-;-;-;-;-;-;-;-;0.21;0.01;0.20;0.01;0.01;-;-;-;-;-;-;-;-;2.00;2.00;-;1.00;-;-;1.00
Тимур Сулейманов;Локомотив Москва;212;16;Ф ПЦ;1.00;-;1.00;1.00;100 %;-;2.00;-;-;-;1.00;-;-;1.00;1.00;0.89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;-;1.00;-;-;-;3.00;0 %;-;-;3.00;0 %;1.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;5.00;1.00;20 %;100 %;-;-;-;-;0.89;0.89;1.12;1.73;-;1.73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Роман Тугарев;Ростов;184;15;АП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;1.00;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;-;1;-;-;1.00;4.00;3.00;75 %;-;-;-;-;0.01;-;-;-;0.01;0.21;-0.20;-;-;2.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Владимир Хубулов;Крылья Советов;183;14;П Л;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;12.00;100 %;-;-;-;-;2.00;100 %;1.00;100 %;-;-;1.00;100 %;-;-;1.00;-;1.00;-;-;1.00;2.00;0 %;-;-;2.00;0 %;-;-;-;-;-;-;-;-;-;-;1;-;-;1.00;16.00;13.00;81 %;-;-;-;-;-;-;-;-;0.21;0.11;0.10;-;-;12.00;-;-;2.00;1.00;-;1.00;-;-;-;-;-;-;-;-
Федор Кудряшов;Факел Воронеж;186;14;З ЛЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;4.00;50 %;-;-;-;-;1.00;0 %;-;-;-;-;2.00;0 %;-;-;1.00;-;-;1.00;-;-;2.00;50 %;2.00;50 %;-;-;2.00;50 %;-;-;-;-;-;-;4.00;-;1;-;-;1.00;10.00;7.00;70 %;-;-;-;-;-;-;-;-;0.10;0.58;-0.48;-;-;2.00;-;-;-;-;-;-;-;1.00;1.00;-;1.00;-;-;-
Табо Целе;Факел Воронеж;-;14;ЗП ЛЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;4.00;75 %;-;-;1.00;0 %;1.00;100 %;-;-;-;-;-;-;1.00;100 %;1.00;-;-;-;-;-;3.00;33 %;-;-;3.00;33 %;1.00;0 %;1.00;100 %;-;-;-;-;-;1.00;1;-;-;1.00;8.00;5.00;63 %;-;-;-;-;-;-;-;-;0.10;0.58;-0.48;-;-;3.00;-;-;1.00;-;-;-;1.00;1.00;-;1.00;-;1.00;-;-
Илья Агапов;ЦСКА Москва;183;13;З ЛЦ;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;2.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;2.00;100 %;2.00;100 %;-;-;1.00;100 %;-;-;-;-;-;-;-;-;1;-;-;1.00;4.00;4.00;100 %;-;-;-;-;-;-;-;-;0.57;0.45;0.12;-;-;2.00;-;-;1.00;-;-;1.00;-;2.00;2.00;-;1.00;-;-;-
Виктор Алехандро Давила Савала;ЦСКА Москва;-;13;АП ПЦ;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;-;6.00;83 %;2.00;100 %;2.00;100 %;-;-;-;-;-;-;-;-;4.00;100 %;1.00;1.00;-;-;-;1.00;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;-;1;-;-;1.00;8.00;6.00;75 %;-;-;-;-;0.57;-;-;-;0.57;0.45;0.12;-;-;5.00;2.00;2.00;-;-;-;-;4.00;-;-;-;-;-;-;-
Вячеслав Караваев;Зенит;225;13;ЗП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;50 %;-;-;-;-;3.00;67 %;1.00;100 %;-;-;1.00;0 %;-;-;1.00;-;-;2.00;-;-;3.00;67 %;1.00;100 %;2.00;50 %;2.00;50 %;1.00;100 %;-;-;-;-;1.00;2.00;1;-;-;1.00;10.00;7.00;70 %;-;-;-;-;-;-;-;-;0.16;0.06;0.10;-;-;2.00;-;-;2.00;1.00;-;-;-;2.00;1.00;1.00;1.00;1.00;-;-
