Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Николас Марычал;Динамо Москва;218;100;З ПЦ;-;-;-;-;-;-;1.00;-;1.00;1.00;-;-;-;-;-;-;56.00;96 %;-;-;-;-;12.00;92 %;1.00;100 %;-;-;5.00;80 %;-;-;2.00;2.00;-;10.00;1.00;3.00;13.00;77 %;12.00;75 %;1.00;100 %;5.00;100 %;-;-;-;-;1.00;100 %;5.00;6.00;1;1.00;-;-;84.00;79.00;94 %;-;-;-;-;-;-;-;-;1.1;1.72;-0.71;0.04;0.04;54.00;-;-;11.00;1.00;-;4.00;-;10.00;9.00;1.00;5.00;-;-;1.00
Мамаду Майга;Пари Нижний Новгород;181;100;ЗП ЛЦ;-;-;-;-;-;-;4.00;-;-;-;1.00;-;-;-;-;-;36.00;72 %;-;-;-;-;11.00;55 %;3.00;33 %;-;-;7.00;71 %;-;-;7.00;7.00;-;6.00;1.00;2.00;17.00;47 %;7.00;57 %;10.00;40 %;3.00;33 %;3.00;67 %;-;-;4.00;25 %;6.00;12.00;1;1.00;-;-;73.00;54.00;74 %;-;-;-;-;-;-;-;-;1.72;1.1;0.71;-;-;26.00;-;-;6.00;1.00;-;5.00;-;8.00;4.00;4.00;1.00;2.00;-;1.00
Дмитрий Скопинцев;Динамо Москва;232;100;ЗЛ;-;-;1.00;-;0 %;-;-;1.00;1.00;1.00;-;-;-;2.00;1.00;0.19;72.00;83 %;2.00;0 %;3.00;33 %;10.00;80 %;-;-;-;-;6.00;83 %;5.00;60 %;6.00;1.00;3.00;7.00;1.00;9.00;8.00;38 %;1.00;0 %;7.00;43 %;-;-;7.00;43 %;4.00;50 %;1.00;0 %;7.00;13.00;1;1.00;-;-;114.00;93.00;82 %;50 %;1.00;-;-;-;0.10;-;0.00;1.1;1.72;-0.71;-;-;60.00;-;1.00;8.00;-;-;5.00;3.00;3.00;-;3.00;-;3.00;2.00;-
Фёдор Смолов;Динамо Москва;238;100;АП Ц;1.00;-;2.00;1.00;50 %;-;-;1.00;-;1.00;-;-;-;1.00;1.00;0.75;57.00;77 %;1.00;0 %;-;-;10.00;80 %;2.00;100 %;-;-;6.00;83 %;3.00;33 %;11.00;2.00;2.00;4.00;1.00;3.00;20.00;35 %;7.00;43 %;13.00;31 %;5.00;20 %;7.00;43 %;6.00;50 %;-;-;3.00;5.00;1;1.00;-;-;91.00;63.00;69 %;100 %;-;-;-;0.09;0.75;0.75;1.33;1.1;1.72;-0.71;-;-;44.00;-;-;8.00;2.00;-;5.00;1.00;7.00;3.00;4.00;1.00;3.00;3.00;-
Дмитрий Тихий;Пари Нижний Новгород;215;100;З ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;36.00;83 %;-;-;-;-;5.00;80 %;2.00;50 %;-;-;2.00;50 %;1.00;0 %;1.00;1.00;2.00;9.00;1.00;1.00;9.00;56 %;6.00;67 %;3.00;33 %;2.00;50 %;1.00;100 %;-;-;3.00;67 %;10.00;6.00;1;1.00;-;-;64.00;52.00;81 %;-;-;-;-;-;-;-;-;1.72;1.1;0.71;-;-;30.00;-;-;4.00;1.00;-;1.00;-;5.00;4.00;1.00;1.00;1.00;-;2.00
Арсен Адамов;Оренбург;224;99;З П;-;-;1.00;-;0 %;-;1.00;2.00;-;1.00;-;-;-;1.00;-;0.22;59.00;90 %;-;-;1.00;0 %;7.00;71 %;2.00;100 %;1.00;100 %;4.00;75 %;1.00;0 %;5.00;1.00;-;6.00;3.00;4.00;13.00;46 %;7.00;43 %;6.00;50 %;6.00;50 %;3.00;67 %;1.00;100 %;2.00;50 %;4.00;6.00;1;1.00;-;-;87.00;73.00;84 %;0 %;-;-;1.00;-;0.22;-;0.00;0.62;1.1;-0.39;0.30;0.30;53.00;-;-;5.00;2.00;1.00;3.00;-;6.00;3.00;3.00;3.00;2.00;1.00;1.00
Дмитрий Баринов;Локомотив Москва;201;99;ЗП ПЦ;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;1.00;-;0.02;29.00;72 %;-;-;-;-;10.00;60 %;1.00;0 %;-;-;7.00;43 %;1.00;100 %;5.00;-;-;6.00;1.00;2.00;15.00;60 %;6.00;67 %;9.00;56 %;4.00;75 %;2.00;50 %;1.00;0 %;3.00;33 %;7.00;2.00;1;1.00;-;-;57.00;42.00;74 %;0 %;-;1.00;-;-;0.02;-;0.00;1.1;0.62;0.39;0.02;0.02;21.00;-;-;6.00;-;-;3.00;1.00;9.00;4.00;5.00;3.00;1.00;-;1.00
Артём Дзюба;Локомотив Москва;203;99;Ф Ц;-;-;-;-;-;1.00;-;2.00;-;-;-;-;-;-;-;-;35.00;74 %;2.00;50 %;-;-;3.00;67 %;1.00;0 %;-;-;2.00;50 %;-;-;13.00;2.00;-;-;-;-;22.00;59 %;-;-;22.00;59 %;14.00;79 %;1.00;0 %;1.00;0 %;-;-;1.00;1.00;1;1.00;-;-;59.00;41.00;69 %;-;-;-;-;0.33;-;-;-;1.1;0.62;0.39;-;-;26.00;1.00;-;2.00;-;-;1.00;-;13.00;-;13.00;11.00;-;-;-
Лукас Фассон;Локомотив Москва;219;99;З ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41.00;80 %;-;-;-;-;12.00;83 %;5.00;60 %;1.00;0 %;4.00;50 %;1.00;0 %;4.00;1.00;1.00;8.00;-;5.00;8.00;63 %;6.00;67 %;2.00;50 %;2.00;50 %;2.00;50 %;1.00;0 %;4.00;75 %;11.00;8.00;1;1.00;-;-;74.00;62.00;84 %;-;-;-;-;-;-;-;-;1.1;0.62;0.39;0.20;0.07;33.00;-;-;10.00;3.00;-;2.00;-;5.00;4.00;1.00;1.00;1.00;-;3.00
Ренато Гойкович;Оренбург;213;99;З ПЦ;-;-;-;-;-;-;1.00;1.00;-;1.00;1.00;-;-;-;-;-;47.00;91 %;-;-;-;-;11.00;73 %;2.00;0 %;1.00;0 %;3.00;33 %;-;-;2.00;-;-;10.00;1.00;3.00;18.00;44 %;15.00;40 %;3.00;67 %;11.00;9 %;2.00;100 %;-;-;2.00;100 %;13.00;3.00;1;1.00;-;-;85.00;71.00;84 %;-;-;-;-;-;-;-;-;0.62;1.1;-0.39;-;-;43.00;-;-;8.00;-;-;1.00;-;8.00;6.00;2.00;1.00;2.00;-;2.00
Евгений Морозов;Локомотив Москва;236;99;З ПЦ;-;-;1.00;-;0 %;1.00;-;1.00;-;-;-;-;-;1.00;1.00;0.16;57.00;77 %;-;-;-;-;17.00;65 %;4.00;75 %;-;-;8.00;75 %;1.00;0 %;5.00;-;-;14.00;4.00;-;17.00;82 %;10.00;100 %;7.00;57 %;7.00;86 %;1.00;100 %;1.00;100 %;2.00;100 %;8.00;10.00;1;1.00;-;-;93.00;77.00;83 %;100 %;-;-;-;-;0.16;-;0.00;1.1;0.62;0.39;0.16;0.03;44.00;-;-;11.00;3.00;-;6.00;-;14.00;10.00;4.00;6.00;1.00;1.00;2.00
