Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Николай Калинский;Пари Нижний Новгород;272;90;П ПЦ;1.00;1.00;2.00;1.00;50 %;2.00;1.00;-;-;-;-;-;-;4.00;2.00;0.82;31.00;81 %;-;-;1.00;0 %;4.00;75 %;3.00;100 %;-;-;4.00;75 %;4.00;25 %;6.00;1.00;1.00;3.00;-;-;10.00;50 %;6.00;33 %;4.00;75 %;2.00;50 %;1.00;0 %;-;-;4.00;50 %;7.00;9.00;1;1.00;1.00;-;62.00;48.00;77 %;50 %;-;1.00;1.00;0.06;0.20;0.82;1.22;0.20;1.72;-1.52;0.06;0.06;25.00;-;-;3.00;3.00;-;3.00;1.00;5.00;2.00;3.00;1.00;-;-;2.00
Джимми Марин;Оренбург;212;90;П ПЦ;-;-;-;-;-;2.00;1.00;3.00;-;-;-;-;-;1.00;-;0.11;36.00;81 %;1.00;100 %;4.00;75 %;3.00;33 %;4.00;75 %;-;-;3.00;33 %;11.00;73 %;7.00;2.00;1.00;-;-;5.00;15.00;40 %;4.00;0 %;11.00;55 %;-;-;7.00;71 %;3.00;67 %;2.00;0 %;2.00;6.00;1;1.00;1.00;-;66.00;48.00;73 %;0 %;1.00;-;-;0.35;0.11;-;0.00;1.17;0.48;0.69;-;-;29.00;1.00;3.00;1.00;3.00;-;1.00;8.00;6.00;-;6.00;-;5.00;2.00;-
Даниил Денисов;Спартак Москва;195;88;З П;-;-;-;-;-;-;-;1.00;2.00;3.00;-;-;-;-;-;-;42.00;88 %;-;-;1.00;0 %;2.00;50 %;-;-;-;-;1.00;100 %;2.00;50 %;4.00;1.00;3.00;5.00;2.00;1.00;16.00;44 %;12.00;42 %;4.00;50 %;4.00;50 %;1.00;100 %;-;-;7.00;43 %;8.00;1.00;1;1.00;1.00;-;71.00;54.00;76 %;-;-;-;-;-;-;-;-;0.70;1.51;-0.81;0.08;0.08;37.00;-;-;1.00;-;-;1.00;1.00;7.00;5.00;2.00;2.00;1.00;-;3.00
Константин Тюкавин;Динамо Москва;232;85;Ф Ц;-;1.00;3.00;-;0 %;2.00;1.00;-;-;-;-;-;1.00;3.00;1.00;0.67;18.00;83 %;2.00;100 %;-;-;1.00;100 %;-;-;-;-;-;-;1.00;100 %;7.00;1.00;2.00;1.00;-;-;11.00;27 %;7.00;14 %;4.00;50 %;6.00;50 %;-;-;-;-;1.00;0 %;-;3.00;1;1.00;1.00;-;37.00;22.00;59 %;33 %;1.00;1.00;-;0.78;0.22;-;0.00;2.3;1.17;0.86;-;-;15.00;2.00;-;1.00;-;-;-;1.00;3.00;1.00;2.00;3.00;-;-;-
Матео Кассьерра;Зенит;223;84;Ф ПЦ;-;-;1.00;-;0 %;-;-;1.00;-;-;-;-;1.00;2.00;1.00;0.40;20.00;95 %;-;-;-;-;2.00;100 %;-;-;-;-;-;-;-;-;6.00;1.00;-;-;-;3.00;18.00;56 %;2.00;0 %;16.00;63 %;8.00;50 %;3.00;67 %;1.00;0 %;-;-;-;-;1;1.00;1.00;-;43.00;33.00;77 %;50 %;-;1.00;-;-;0.20;-;0.00;0.69;1.11;-0.42;-;-;19.00;-;-;2.00;-;-;-;-;10.00;-;10.00;4.00;2.00;-;-
Ибраима Сиссе;Урал Екатеринбург;192;84;ЗП ЛЦ;-;-;-;-;-;-;2.00;1.00;1.00;1.00;-;-;-;-;-;-;27.00;96 %;-;-;-;-;1.00;100 %;1.00;100 %;-;-;-;-;-;-;1.00;-;-;6.00;3.00;-;8.00;50 %;4.00;50 %;4.00;50 %;3.00;67 %;2.00;50 %;-;-;-;-;10.00;4.00;1;1.00;1.00;-;49.00;44.00;90 %;-;-;-;-;-;-;-;-;1.28;0.79;0.49;0.15;0.07;26.00;-;-;1.00;1.00;-;-;-;4.00;2.00;2.00;2.00;1.00;-;-
Марио Фернандес;Зенит;226;84;ЗП П;-;-;1.00;-;0 %;-;-;-;-;-;-;-;2.00;1.00;1.00;0.21;51.00;76 %;-;-;1.00;0 %;5.00;60 %;-;-;-;-;-;-;5.00;60 %;10.00;2.00;1.00;3.00;1.00;-;13.00;69 %;4.00;75 %;9.00;67 %;9.00;89 %;-;-;-;-;1.00;0 %;3.00;2.00;1;1.00;1.00;-;71.00;54.00;76 %;100 %;-;-;-;-;0.21;-;0.00;0.69;1.11;-0.42;-;-;39.00;-;-;3.00;-;-;-;3.00;9.00;3.00;6.00;8.00;-;-;-
Матео Марьянов Стаматов;Пари Нижний Новгород;219;84;ЗП Л;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;1.00;-;0.04;19.00;68 %;1.00;100 %;-;-;3.00;33 %;1.00;100 %;1.00;100 %;3.00;33 %;1.00;100 %;3.00;1.00;1.00;2.00;1.00;1.00;13.00;62 %;9.00;56 %;4.00;75 %;2.00;0 %;2.00;50 %;1.00;0 %;4.00;75 %;4.00;4.00;1;1.00;1.00;-;44.00;31.00;70 %;0 %;1.00;-;-;-;0.04;-;0.00;0.20;1.62;-1.42;-;-;13.00;1.00;-;1.00;1.00;1.00;1.00;1.00;8.00;5.00;3.00;-;1.00;-;3.00
Иван Олейников;ФК Ахмат;228;84;АП Ц;-;-;-;-;-;-;2.00;1.00;-;-;-;-;-;2.00;-;0.19;17.00;82 %;-;-;1.00;0 %;1.00;100 %;-;-;-;-;1.00;100 %;1.00;0 %;6.00;3.00;1.00;2.00;-;3.00;11.00;55 %;6.00;50 %;5.00;60 %;3.00;33 %;1.00;100 %;-;-;3.00;67 %;5.00;3.00;1;1.00;1.00;-;43.00;32.00;74 %;0 %;2.00;-;-;0.08;0.10;-;0.00;0.79;1.28;-0.49;-;-;14.00;-;-;1.00;-;-;1.00;-;6.00;3.00;3.00;1.00;1.00;-;2.00
Николай Рассказов;Крылья Советов;247;84;АП П;-;2.00;-;-;-;2.00;2.00;-;-;-;-;-;-;-;-;-;46.00;80 %;2.00;50 %;3.00;67 %;8.00;88 %;1.00;100 %;-;-;1.00;100 %;4.00;75 %;6.00;2.00;2.00;3.00;1.00;1.00;15.00;40 %;5.00;40 %;10.00;40 %;2.00;50 %;5.00;40 %;3.00;33 %;2.00;50 %;4.00;9.00;1;1.00;1.00;-;77.00;57.00;74 %;-;-;-;-;0.30;-;-;-;0.62;0.45;0.17;-;-;37.00;1.00;2.00;7.00;1.00;-;1.00;3.00;6.00;2.00;4.00;1.00;2.00;1.00;1.00
