Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Артём Карпукас;Локомотив Москва;223;63;ЗП ЛЦ;-;-;-;-;-;-;2.00;1.00;-;-;1.00;-;-;-;-;-;28.00;71 %;-;-;-;-;9.00;44 %;1.00;0 %;-;-;2.00;50 %;1.00;0 %;7.00;1.00;-;5.00;1.00;1.00;13.00;69 %;10.00;80 %;3.00;33 %;3.00;67 %;1.00;100 %;-;-;5.00;60 %;3.00;6.00;1;1.00;1.00;-;51.00;39.00;76 %;-;-;-;-;-;-;-;-;2.31;1.57;0.74;-;-;20.00;-;-;4.00;-;-;1.00;-;9.00;8.00;1.00;2.00;1.00;-;3.00
Наир Тикнизян;Локомотив Москва;206;63;ЗЛ;-;-;1.00;-;0 %;-;-;-;-;-;-;-;1.00;2.00;-;0.21;24.00;75 %;-;-;-;-;3.00;33 %;1.00;0 %;1.00;0 %;3.00;33 %;-;-;8.00;4.00;-;2.00;-;-;9.00;33 %;8.00;38 %;1.00;0 %;3.00;33 %;1.00;0 %;-;-;2.00;50 %;4.00;3.00;1;1.00;1.00;-;43.00;29.00;67 %;0 %;2.00;-;-;-;0.10;-;0.00;2.31;1.57;0.74;-;-;18.00;-;-;1.00;-;-;1.00;-;3.00;3.00;-;1.00;-;-;1.00
Александр Трошечкин;Пари Нижний Новгород;206;63;П ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;67 %;-;-;-;-;2.00;100 %;-;-;-;-;-;-;-;-;2.00;-;1.00;-;-;-;8.00;50 %;7.00;43 %;1.00;100 %;3.00;67 %;-;-;-;-;2.00;100 %;4.00;1.00;1;1.00;1.00;-;20.00;13.00;65 %;-;-;-;-;-;-;-;-;0.15;1.25;-1.10;0.02;0.02;4.00;-;-;2.00;-;-;-;-;4.00;3.00;1.00;2.00;-;-;2.00
Дмитрий Живоглядов;Пари Нижний Новгород;211;63;ЗП П;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;31.00;71 %;-;-;1.00;0 %;7.00;57 %;1.00;100 %;1.00;100 %;9.00;67 %;2.00;100 %;3.00;-;-;2.00;-;1.00;8.00;50 %;5.00;60 %;3.00;33 %;1.00;0 %;3.00;33 %;1.00;0 %;3.00;100 %;3.00;3.00;1;1.00;1.00;-;46.00;33.00;72 %;-;-;-;-;-;-;-;-;0.15;1.25;-1.10;-;-;22.00;-;-;4.00;1.00;1.00;6.00;2.00;4.00;3.00;1.00;-;1.00;-;3.00
Денис Макаров;Динамо Москва;264;62;АП П;1.00;-;1.00;1.00;100 %;2.00;2.00;1.00;-;-;1.00;-;2.00;2.00;1.00;0.04;26.00;73 %;2.00;100 %;2.00;50 %;11.00;73 %;-;-;-;-;5.00;60 %;5.00;80 %;9.00;3.00;-;3.00;1.00;2.00;11.00;36 %;4.00;25 %;7.00;43 %;5.00;20 %;1.00;100 %;-;-;1.00;0 %;1.00;5.00;1;1.00;1.00;-;47.00;32.00;68 %;50 %;-;1.00;-;0.85;0.02;0.04;25.00;1.44;0.95;0.49;-;-;19.00;2.00;1.00;8.00;-;-;3.00;4.00;4.00;1.00;3.00;1.00;1.00;-;-
Ираклий Квеквескири;Факел Воронеж;192;61;ЗП ЛЦ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;2.00;1.00;0.03;30.00;83 %;-;-;-;-;5.00;40 %;1.00;0 %;-;-;2.00;0 %;1.00;0 %;1.00;-;1.00;3.00;3.00;1.00;13.00;54 %;8.00;50 %;5.00;60 %;3.00;33 %;-;-;-;-;4.00;25 %;-;7.00;1;1.00;1.00;-;54.00;41.00;76 %;50 %;1.00;-;-;-;0.01;-;0.00;0.17;0.16;0.01;-;-;25.00;-;-;2.00;-;-;-;-;7.00;4.00;3.00;1.00;-;-;1.00
Максим Витюгов;Крылья Советов;242;57;ЗП ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;21.00;90 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;2.00;5.00;3.00;-;11.00;82 %;6.00;67 %;5.00;100 %;5.00;80 %;3.00;100 %;-;-;-;-;5.00;7.00;1;1.00;1.00;-;46.00;40.00;87 %;-;-;-;-;-;-;-;-;0.16;0.17;-0.01;0.02;0.02;19.00;-;-;-;-;-;-;-;9.00;4.00;5.00;4.00;3.00;-;-
Амир Батырев;Сочи;170;55;ЗП ЛЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;26.00;65 %;2.00;0 %;2.00;50 %;4.00;25 %;-;-;-;-;2.00;50 %;2.00;50 %;7.00;2.00;-;3.00;1.00;1.00;5.00;20 %;5.00;20 %;-;-;-;-;-;-;-;-;5.00;20 %;3.00;3.00;1;-;-;1.00;38.00;25.00;66 %;-;-;-;-;-;-;-;-;0.38;1.13;-0.75;-;-;17.00;-;1.00;1.00;-;-;1.00;1.00;1.00;1.00;-;-;-;-;1.00
Хорен Байрамян;Ростов;199;52;П Л;-;-;-;-;-;2.00;-;-;-;-;-;-;-;1.00;1.00;0.25;27.00;74 %;1.00;100 %;4.00;25 %;5.00;80 %;2.00;50 %;-;-;2.00;100 %;5.00;40 %;4.00;-;-;-;-;3.00;7.00;29 %;2.00;0 %;5.00;40 %;1.00;0 %;2.00;100 %;2.00;100 %;2.00;0 %;1.00;3.00;1;-;-;1.00;42.00;30.00;71 %;100 %;-;-;-;0.48;0.25;-;0.00;1.64;1.17;0.47;-;-;20.00;1.00;1.00;4.00;1.00;-;2.00;2.00;2.00;-;2.00;-;2.00;2.00;-
Луис Герардо Чавез Магалон;Динамо Москва;244;52;ЗП ЛЦ;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;-;-;-;21.00;95 %;1.00;100 %;-;-;6.00;100 %;-;-;-;-;4.00;100 %;1.00;0 %;1.00;-;-;1.00;-;-;6.00;67 %;5.00;80 %;1.00;0 %;1.00;100 %;1.00;0 %;1.00;0 %;3.00;67 %;3.00;2.00;1;-;-;1.00;32.00;29.00;91 %;-;-;-;-;0.18;-;-;-;1.17;1.64;-0.47;0.19;0.10;20.00;1.00;-;6.00;-;-;4.00;-;4.00;4.00;-;1.00;-;-;2.00
Руслан Литвинов;Спартак Москва;199;52;ЗП ПЦ;-;-;-;-;-;-;2.00;1.00;-;-;-;-;-;-;-;-;32.00;88 %;-;-;1.00;100 %;5.00;60 %;2.00;50 %;-;-;2.00;0 %;2.00;50 %;3.00;1.00;1.00;1.00;-;1.00;6.00;33 %;5.00;20 %;1.00;100 %;2.00;0 %;-;-;-;-;2.00;50 %;-;3.00;1;-;-;1.00;43.00;34.00;79 %;-;-;-;-;-;-;-;-;0.54;0.91;-0.37;-;-;28.00;-;1.00;3.00;1.00;-;-;1.00;2.00;1.00;1.00;-;-;-;1.00
Мохаммад Мохеби;Ростов;219;52;П П;-;-;-;-;-;1.00;1.00;2.00;-;-;-;-;1.00;2.00;-;0.16;33.00;70 %;1.00;100 %;3.00;0 %;4.00;25 %;2.00;50 %;-;-;2.00;0 %;4.00;25 %;9.00;-;1.00;-;-;3.00;16.00;44 %;2.00;0 %;14.00;50 %;4.00;100 %;5.00;20 %;5.00;20 %;-;-;-;3.00;1;-;-;1.00;58.00;36.00;62 %;0 %;1.00;1.00;-;0.15;0.08;-;0.00;1.64;1.17;0.47;-;-;23.00;1.00;-;1.00;1.00;-;-;1.00;7.00;-;7.00;4.00;1.00;1.00;-
Данила Прохин;Ростов;212;52;З ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;31.00;81 %;-;-;1.00;0 %;10.00;70 %;5.00;80 %;1.00;0 %;7.00;71 %;2.00;0 %;4.00;-;1.00;6.00;2.00;4.00;7.00;71 %;7.00;71 %;-;-;2.00;100 %;-;-;-;-;2.00;50 %;3.00;4.00;1;-;-;1.00;50.00;41.00;82 %;-;-;-;-;-;-;-;-;1.64;1.17;0.47;0.29;0.10;25.00;-;-;7.00;4.00;-;5.00;-;5.00;5.00;-;2.00;-;-;1.00
Илья Рожков;Рубин Казань;233;52;ЗП Л;-;-;-;-;-;-;-;1.00;-;-;-;-;-;2.00;1.00;0.16;35.00;80 %;-;-;3.00;33 %;7.00;71 %;2.00;100 %;-;-;4.00;75 %;4.00;25 %;5.00;1.00;1.00;3.00;-;2.00;12.00;33 %;6.00;33 %;6.00;33 %;2.00;50 %;3.00;33 %;1.00;0 %;1.00;100 %;3.00;7.00;1;-;-;1.00;62.00;45.00;73 %;50 %;1.00;-;-;0.10;0.08;-;0.00;0.70;0.11;0.59;-;-;28.00;-;1.00;5.00;2.00;-;3.00;1.00;4.00;2.00;2.00;1.00;1.00;-;1.00
Лука Джорджевич;Сочи;160;50;Ф Ц;-;-;-;-;-;-;1.00;1.00;-;1.00;1.00;-;-;-;-;-;6.00;83 %;-;-;1.00;0 %;-;-;-;-;-;-;1.00;100 %;1.00;0 %;-;-;-;1.00;-;-;2.00;50 %;1.00;100 %;1.00;0 %;1.00;0 %;-;-;-;-;1.00;100 %;-;-;1;-;-;1.00;8.00;6.00;75 %;-;-;-;-;-;-;-;-;0.25;1.11;-0.86;0.20;0.20;5.00;-;-;-;-;-;1.00;-;1.00;1.00;-;-;-;-;1.00
Владислав Лазарев;Балтика;268;50;ЗП П;-;-;2.00;-;0 %;3.00;-;2.00;-;-;-;-;-;2.00;1.00;0.25;31.00;90 %;1.00;100 %;1.00;100 %;5.00;100 %;1.00;100 %;-;-;2.00;100 %;3.00;100 %;2.00;-;-;1.00;1.00;2.00;6.00;67 %;2.00;100 %;4.00;50 %;1.00;100 %;3.00;67 %;1.00;100 %;-;-;1.00;5.00;1;-;-;1.00;46.00;40.00;87 %;50 %;1.00;-;-;0.53;0.12;-;0.00;1.19;1.15;0.04;-;-;28.00;1.00;1.00;5.00;1.00;-;2.00;3.00;4.00;2.00;2.00;1.00;2.00;1.00;-
Сергей Пряхин;Балтика;229;50;П ПЦ;1.00;-;2.00;1.00;50 %;-;2.00;-;-;-;-;-;-;3.00;1.00;0.69;26.00;73 %;-;-;2.00;0 %;3.00;33 %;1.00;0 %;-;-;1.00;100 %;2.00;0 %;7.00;1.00;-;1.00;-;2.00;13.00;31 %;3.00;33 %;10.00;30 %;3.00;0 %;3.00;33 %;1.00;0 %;1.00;100 %;1.00;6.00;1;-;-;1.00;51.00;33.00;65 %;33 %;1.00;1.00;-;0.25;0.23;0.69;1.45;1.19;1.15;0.04;-;-;19.00;-;-;1.00;-;-;1.00;-;4.00;1.00;3.00;-;1.00;-;1.00
Кирилл Заика;Сочи;220;50;ЗЛ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;14.00;71 %;-;-;1.00;0 %;4.00;50 %;1.00;0 %;-;-;2.00;50 %;1.00;100 %;4.00;1.00;-;3.00;-;2.00;11.00;73 %;8.00;75 %;3.00;67 %;-;-;2.00;100 %;1.00;100 %;7.00;86 %;5.00;3.00;1;-;-;1.00;35.00;28.00;80 %;-;-;-;-;-;-;-;-;0.25;1.11;-0.86;-;-;10.00;-;-;2.00;-;-;1.00;1.00;8.00;6.00;2.00;-;2.00;1.00;6.00
Александр Долгов;Факел Воронеж;169;49;АП ПЦ;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;-;-;-;17.00;65 %;-;-;1.00;0 %;2.00;50 %;-;-;-;-;-;-;1.00;0 %;11.00;-;2.00;-;-;-;6.00;17 %;-;-;6.00;17 %;1.00;0 %;3.00;0 %;1.00;0 %;-;-;-;-;1;-;-;1.00;25.00;12.00;48 %;-;-;-;-;-;-;-;-;0.30;0.55;-0.25;-;-;11.00;-;-;1.00;-;-;-;-;1.00;-;1.00;-;-;-;-
Алексей Ионов;Ростов;185;49;АП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9.00;78 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;-;-;2.00;-;1.00;4.00;75 %;2.00;100 %;2.00;50 %;-;-;1.00;100 %;-;-;2.00;100 %;-;-;1;1.00;1.00;-;14.00;11.00;79 %;-;-;-;-;-;-;-;-;0.28;0.97;-0.69;-;-;7.00;-;-;-;-;-;-;-;3.00;2.00;1.00;-;1.00;-;2.00
Андрей Лангович;Ростов;187;49;З П;-;-;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;36.00;86 %;-;-;1.00;100 %;6.00;67 %;1.00;100 %;-;-;2.00;100 %;3.00;67 %;5.00;1.00;-;3.00;1.00;6.00;5.00;80 %;3.00;100 %;2.00;50 %;-;-;-;-;-;-;2.00;100 %;1.00;5.00;1;1.00;1.00;-;53.00;47.00;89 %;-;-;-;-;-;-;-;-;0.28;0.97;-0.69;0.48;0.24;31.00;-;1.00;4.00;1.00;-;2.00;2.00;4.00;3.00;1.00;-;-;-;2.00
Сергей Паршивлюк;Динамо Москва;211;49;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20.00;95 %;-;-;-;-;3.00;67 %;1.00;0 %;1.00;0 %;2.00;50 %;-;-;-;-;-;6.00;2.00;-;4.00;100 %;3.00;100 %;1.00;100 %;1.00;100 %;-;-;-;-;-;-;5.00;-;1;1.00;1.00;-;29.00;28.00;97 %;-;-;-;-;-;-;-;-;0.97;0.28;0.69;-;-;19.00;-;-;2.00;-;-;1.00;-;4.00;3.00;1.00;1.00;-;-;-
Кирилл Щетинин;Ростов;209;49;П ЛЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;1.00;1.00;0.03;11.00;82 %;-;-;-;-;3.00;33 %;-;-;-;-;2.00;50 %;-;-;2.00;-;-;2.00;1.00;2.00;7.00;57 %;6.00;67 %;1.00;0 %;1.00;100 %;-;-;-;-;5.00;60 %;-;-;1;1.00;1.00;-;21.00;16.00;76 %;100 %;-;-;-;-;0.03;-;0.00;0.28;0.97;-0.69;-;-;9.00;-;-;1.00;-;-;1.00;-;4.00;4.00;-;1.00;-;-;3.00
Табо Целе;Факел Воронеж;214;49;ЗП ЛЦ;-;-;-;-;-;1.00;4.00;1.00;-;-;1.00;-;-;-;-;-;40.00;90 %;1.00;100 %;1.00;0 %;14.00;93 %;-;-;-;-;6.00;67 %;2.00;0 %;4.00;-;1.00;4.00;2.00;2.00;14.00;57 %;5.00;60 %;9.00;56 %;2.00;100 %;2.00;50 %;1.00;0 %;3.00;33 %;3.00;5.00;1;-;-;1.00;65.00;54.00;83 %;-;-;-;-;-;-;-;-;0.30;0.55;-0.25;-;-;36.00;1.00;-;13.00;-;-;4.00;-;8.00;3.00;5.00;2.00;1.00;-;1.00
Наиль Умяров;Спартак Москва;241;49;ЗП Ц;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;23.00;83 %;1.00;0 %;-;-;6.00;50 %;-;-;-;-;5.00;60 %;2.00;100 %;5.00;1.00;-;1.00;-;-;5.00;100 %;2.00;100 %;3.00;100 %;2.00;100 %;-;-;-;-;1.00;100 %;3.00;4.00;1;1.00;1.00;-;36.00;32.00;89 %;-;-;-;-;-;-;-;-;0.33;0.60;-0.27;-;-;19.00;-;-;3.00;-;-;3.00;2.00;5.00;2.00;3.00;2.00;-;-;1.00
Александр Ломовицкий;Рубин Казань;234;48;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.11;24.00;79 %;-;-;2.00;0 %;2.00;100 %;-;-;-;-;4.00;100 %;3.00;33 %;2.00;-;-;-;-;1.00;11.00;73 %;6.00;83 %;5.00;60 %;-;-;2.00;50 %;2.00;50 %;6.00;83 %;1.00;2.00;1;1.00;1.00;-;40.00;31.00;78 %;0 %;-;1.00;-;0.09;0.11;-;0.00;1.7;0.09;0.98;-;-;19.00;-;-;2.00;-;-;4.00;1.00;8.00;5.00;3.00;-;1.00;1.00;5.00
Тимофей Маргасов;Сочи;186;48;ЗП П;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;20.00;70 %;-;-;2.00;50 %;7.00;57 %;2.00;50 %;1.00;0 %;4.00;25 %;4.00;75 %;4.00;-;1.00;1.00;-;1.00;14.00;57 %;7.00;57 %;7.00;57 %;7.00;57 %;-;-;-;-;3.00;67 %;3.00;5.00;1;1.00;1.00;-;44.00;31.00;70 %;-;-;-;-;-;-;-;-;0.25;0.15;0.10;-;-;14.00;-;1.00;4.00;1.00;-;1.00;3.00;8.00;4.00;4.00;4.00;-;-;2.00
Георгий Мелкадзе;Сочи;167;48;Ф Ц;-;-;-;-;-;-;4.00;-;-;-;1.00;-;-;-;-;-;8.00;63 %;-;-;1.00;0 %;1.00;0 %;-;-;-;-;-;-;1.00;0 %;7.00;-;-;-;-;1.00;11.00;0 %;1.00;0 %;10.00;0 %;6.00;0 %;2.00;0 %;2.00;0 %;-;-;-;-;1;1.00;1.00;-;20.00;6.00;30 %;-;-;-;-;0.13;-;-;-;0.25;0.15;0.10;-;-;5.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Кирилл Маляров;Балтика;202;47;ЗП П;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;23.00;74 %;1.00;0 %;1.00;100 %;8.00;75 %;1.00;0 %;-;-;4.00;75 %;7.00;71 %;5.00;2.00;1.00;3.00;1.00;2.00;9.00;67 %;3.00;100 %;6.00;50 %;3.00;67 %;1.00;0 %;-;-;2.00;100 %;4.00;-;1;1.00;1.00;-;39.00;29.00;74 %;-;-;-;-;-;-;-;-;0.79;1.86;-1.07;-;-;17.00;-;1.00;6.00;-;-;3.00;5.00;6.00;3.00;3.00;2.00;-;-;2.00
Максим Максимов;Факел Воронеж;157;47;Ф ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;9.00;89 %;-;-;-;-;2.00;100 %;-;-;-;-;2.00;100 %;-;-;9.00;4.00;1.00;-;-;-;14.00;21 %;2.00;0 %;12.00;25 %;8.00;25 %;-;-;-;-;2.00;0 %;1.00;1.00;1;1.00;1.00;-;26.00;13.00;50 %;-;-;-;-;-;-;-;-;0.15;0.15;0.00;0.05;0.05;8.00;-;-;2.00;-;-;2.00;-;3.00;-;3.00;2.00;-;-;-
Никита Моцпан;Факел Воронеж;191;47;АП Ц;-;-;-;-;-;-;2.00;1.00;-;-;-;-;-;-;-;-;12.00;92 %;-;-;-;-;1.00;0 %;-;-;-;-;-;-;-;-;3.00;-;-;5.00;1.00;-;12.00;50 %;7.00;57 %;5.00;40 %;2.00;100 %;-;-;-;-;5.00;80 %;1.00;2.00;1;1.00;1.00;-;27.00;20.00;74 %;-;-;-;-;-;-;-;-;0.15;0.15;0.00;-;-;11.00;-;-;-;-;-;-;-;6.00;4.00;2.00;2.00;-;-;4.00
Тамерлан Мусаев;Балтика;167;47;Ф ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.00;38 %;1.00;0 %;1.00;0 %;1.00;0 %;1.00;0 %;1.00;0 %;1.00;0 %;-;-;8.00;-;1.00;-;-;1.00;19.00;11 %;2.00;0 %;17.00;12 %;8.00;13 %;2.00;50 %;2.00;50 %;-;-;-;4.00;1;1.00;1.00;-;33.00;10.00;30 %;-;-;-;-;-;-;-;-;0.79;1.86;-1.07;-;-;3.00;-;-;-;-;-;-;-;2.00;-;2.00;1.00;1.00;1.00;-
Артур Юсупов;Сочи;178;42;ЗП ЛЦ;-;-;-;-;-;1.00;2.00;-;-;-;1.00;-;-;-;-;-;20.00;75 %;1.00;100 %;-;-;4.00;75 %;1.00;100 %;-;-;3.00;100 %;2.00;100 %;3.00;2.00;-;-;-;-;6.00;17 %;6.00;17 %;-;-;-;-;-;-;-;-;5.00;20 %;2.00;4.00;1;1.00;1.00;-;32.00;22.00;69 %;-;-;-;-;-;-;-;-;0.12;0.13;-0.01;-;-;15.00;1.00;-;3.00;1.00;-;3.00;2.00;1.00;1.00;-;-;-;-;1.00
Хорхе Карраскаль;Динамо Москва;202;39;АП П;-;-;-;-;-;1.00;2.00;1.00;-;-;-;-;-;1.00;1.00;0.08;9.00;89 %;1.00;100 %;-;-;3.00;100 %;1.00;100 %;-;-;3.00;100 %;-;-;2.00;1.00;-;-;-;3.00;8.00;50 %;4.00;50 %;4.00;50 %;1.00;100 %;-;-;-;-;2.00;50 %;1.00;1.00;1;-;-;1.00;23.00;18.00;78 %;100 %;-;-;-;0.03;0.08;-;0.00;0.70;0.97;-0.27;-;-;8.00;1.00;-;3.00;1.00;-;3.00;-;4.00;2.00;2.00;1.00;-;-;1.00
Дмитрий Иванисеня;Крылья Советов;202;39;ЗП ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;19.00;89 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;-;2.00;-;-;4.00;50 %;3.00;67 %;1.00;0 %;-;-;-;-;-;-;2.00;50 %;2.00;2.00;1;-;-;1.00;27.00;23.00;85 %;-;-;-;-;-;-;-;-;0.54;0.28;0.26;0.02;0.02;17.00;-;-;-;-;-;-;-;2.00;2.00;-;-;-;-;1.00
Владислав Карапузов;Пари Нижний Новгород;211;37;П ЛЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;1.00;-;0.03;19.00;79 %;-;-;-;-;4.00;75 %;1.00;100 %;-;-;2.00;50 %;1.00;0 %;3.00;-;-;2.00;1.00;-;5.00;40 %;3.00;0 %;2.00;100 %;-;-;1.00;100 %;1.00;100 %;3.00;0 %;3.00;4.00;1;-;-;1.00;32.00;24.00;75 %;0 %;-;1.00;-;0.02;0.03;-;0.00;0.05;0.52;-0.47;-;-;15.00;-;-;3.00;1.00;-;1.00;-;2.00;-;2.00;-;1.00;1.00;-
Дмитрий Стоцкий;Пари Нижний Новгород;196;37;ЗП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12.00;83 %;-;-;1.00;0 %;1.00;100 %;1.00;100 %;-;-;1.00;100 %;1.00;100 %;1.00;-;-;-;-;1.00;8.00;63 %;5.00;60 %;3.00;67 %;2.00;50 %;-;-;-;-;3.00;67 %;2.00;1.00;1;-;-;1.00;24.00;19.00;79 %;-;-;-;-;-;-;-;-;0.05;0.52;-0.47;-;-;10.00;-;-;1.00;1.00;-;1.00;1.00;5.00;3.00;2.00;1.00;-;-;2.00
Хесус Медина;Спартак Москва;187;35;П П;-;-;-;-;-;-;1.00;-;-;-;1.00;-;1.00;1.00;-;0.15;14.00;79 %;-;-;1.00;0 %;2.00;50 %;2.00;100 %;-;-;-;-;1.00;100 %;4.00;1.00;-;1.00;-;1.00;6.00;33 %;4.00;0 %;2.00;100 %;1.00;100 %;-;-;-;-;2.00;0 %;1.00;4.00;1;-;-;1.00;27.00;19.00;70 %;0 %;1.00;-;-;0.09;0.15;-;0.00;0.36;-;0.36;-;-;11.00;-;-;1.00;2.00;-;-;1.00;2.00;-;2.00;1.00;-;-;-
Антон Зиньковский;Спартак Москва;210;35;П Л;-;-;-;-;-;1.00;1.00;1.00;-;-;-;-;-;-;-;-;13.00;69 %;-;-;2.00;100 %;3.00;67 %;-;-;-;-;1.00;0 %;3.00;100 %;7.00;2.00;1.00;1.00;1.00;2.00;9.00;11 %;3.00;0 %;6.00;17 %;-;-;3.00;33 %;3.00;33 %;3.00;0 %;-;1.00;1;-;-;1.00;26.00;13.00;50 %;-;-;-;-;0.16;-;-;-;0.36;-;0.36;-;-;9.00;-;2.00;2.00;-;-;-;3.00;1.00;-;1.00;-;1.00;1.00;-
Игорь Дмитриев;Урал Екатеринбург;229;34;АП Л;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;-;11.00;55 %;1.00;100 %;4.00;50 %;1.00;100 %;-;-;-;-;1.00;100 %;4.00;50 %;4.00;-;-;1.00;-;3.00;5.00;60 %;3.00;33 %;2.00;100 %;1.00;0 %;2.00;100 %;2.00;100 %;2.00;50 %;-;1.00;1;-;-;1.00;20.00;13.00;65 %;-;-;-;-;0.60;-;-;-;1.20;-;1.20;-;-;6.00;1.00;2.00;1.00;-;-;1.00;2.00;3.00;1.00;2.00;-;2.00;2.00;1.00
Даниил Куликов;Локомотив Москва;238;34;ЗП ЛЦ;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;-;8.00;63 %;1.00;100 %;-;-;3.00;67 %;-;-;-;-;1.00;100 %;-;-;2.00;-;1.00;1.00;-;1.00;5.00;80 %;4.00;75 %;1.00;100 %;1.00;0 %;1.00;100 %;1.00;100 %;3.00;100 %;2.00;3.00;1;-;-;1.00;20.00;15.00;75 %;-;-;-;-;0.27;-;-;-;0.70;0.41;0.29;0.06;0.06;5.00;1.00;-;2.00;-;-;1.00;-;4.00;3.00;1.00;-;1.00;1.00;3.00
Евгений Марков;Факел Воронеж;166;34;Ф Ц;-;-;2.00;-;0 %;-;-;-;-;-;-;-;-;1.00;-;0.05;5.00;100 %;-;-;-;-;2.00;100 %;-;-;-;-;2.00;100 %;-;-;5.00;1.00;-;-;-;-;8.00;13 %;1.00;0 %;7.00;14 %;2.00;50 %;-;-;-;-;-;-;-;-;1;-;-;1.00;14.00;6.00;43 %;0 %;-;-;1.00;-;0.05;-;0.00;0.28;0.54;-0.26;-;-;5.00;-;-;2.00;-;-;2.00;-;1.00;-;1.00;1.00;-;-;-
Гилерме Счеттине;Урал Екатеринбург;183;34;Ф ПЦ;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;2.00;-;0.24;12.00;75 %;-;-;1.00;0 %;3.00;33 %;1.00;100 %;-;-;3.00;33 %;2.00;0 %;8.00;-;2.00;-;-;-;14.00;50 %;-;-;14.00;50 %;10.00;50 %;2.00;100 %;-;-;-;-;-;1.00;1;-;-;1.00;31.00;17.00;55 %;0 %;2.00;-;-;-;0.12;-;0.00;1.20;-;1.20;-;-;9.00;-;-;1.00;1.00;-;1.00;-;7.00;-;7.00;5.00;2.00;-;-
