Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Руслан Аюкин;КамАЗ Набережные Челны;204;90;ЗЛ;-;-;-;-;-;0.22;1.1;1.35;0.11;0.34;0.34;-;-;0.90;0.11;0.07;46.07;75 %;0.56;40 %;2.70;25 %;13.26;64 %;1.91;53 %;0.34;33 %;10.45;70 %;4.49;57 %;7.8;1.80;0.34;3.60;0.11;1.57;10.79;56 %;7.42;64 %;3.37;40 %;3.48;65 %;0.34;67 %;-;-;2.47;59 %;5.17;5.96;10;1.1;0.34;0.11;71.80;54.38;76 %;13 %;0.45;0.34;-;0.16;0.07;-;0.00;0.96;0.74;0.21;0.05;0.07;34.49;0.22;0.67;8.43;1.1;0.11;7.30;2.58;6.7;4.72;1.35;2.25;0.22;-;1.46
Владимир Азаров;ФК Акрон Тольятти;198;90;АП Ц;0.32;-;0.64;0.32;50 %;1.29;2.89;0.64;-;-;-;-;-;1.29;0.32;0.11;34.71;73 %;0.96;33 %;2.25;29 %;6.43;40 %;0.96;33 %;-;-;2.57;50 %;6.43;50 %;9.32;1.93;0.96;1.93;0.32;0.96;12.54;41 %;3.54;45 %;9.00;39 %;4.82;33 %;0.64;0 %;0.32;0 %;2.57;50 %;1.29;4.82;8;0.64;0.64;1.93;56.89;38.25;67 %;25 %;0.64;0.32;-;0.33;0.09;0.34;2.94;1.25;0.84;0.41;0.05;0.14;25.39;0.32;0.64;2.57;0.32;-;1.29;3.21;5.14;1.61;3.54;1.61;-;-;1.29
Владлен Бабаев;Сокол Саратов;213;90;АП Ц;0.30;-;0.70;0.30;43 %;0.60;0.50;1.50;-;0.10;-;-;0.10;1.70;1.10;0.17;31.80;80 %;0.60;50 %;1.70;29 %;6.70;72 %;0.70;71 %;-;-;3.20;81 %;3.90;56 %;7.00;1.30;1.50;2.40;0.90;2.10;15.40;42 %;4.60;37 %;10.80;44 %;2.90;28 %;4.00;73 %;1.20;67 %;1.50;47 %;3.80;4.80;11;1.10;0.70;-;61.10;43.80;72 %;65 %;0.40;0.20;-;0.28;0.10;0.58;1.72;1.17;1.36;-0.20;0.03;0.08;25.50;0.30;0.50;4.80;0.50;-;2.60;2.20;6.50;1.70;4.80;0.80;2.90;0.80;0.70
Максим Бачинский;Ленинградец;195;90;Ф Ц;0.21;-;0.84;0.21;25 %;0.63;2.74;1.37;-;0.11;0.21;-;0.21;1.37;0.74;0.17;13.58;65 %;0.32;67 %;1.37;31 %;3.5;52 %;0.42;25 %;-;-;1.26;50 %;1.89;44 %;12.74;1.5;0.63;1.68;0.63;1.47;26.95;29 %;6.00;37 %;20.95;27 %;12.11;23 %;2.11;55 %;1.16;45 %;1.47;57 %;1.58;1.68;11;1.5;0.63;0.11;47.26;22.21;47 %;54 %;0.42;0.21;-;0.11;0.12;0.79;1.26;0.80;1.2;-0.22;0.01;0.06;8.84;0.21;0.42;1.58;0.11;-;0.63;0.84;7.89;2.21;5.68;2.84;1.16;0.53;0.84
Ильнур Бадртдинов;КамАЗ Набережные Челны;191;90;АП П;-;-;0.57;-;0 %;0.34;0.91;1.48;-;0.34;0.11;-;0.23;0.45;0.34;0.07;15.55;67 %;0.11;100 %;1.25;27 %;2.27;55 %;0.34;67 %;-;-;1.13;50 %;1.36;58 %;8.17;1.82;0.91;2.95;0.91;0.57;20.43;34 %;7.60;37 %;12.82;32 %;5.79;16 %;3.6;37 %;2.16;37 %;3.29;48 %;3.6;4.9;11;0.91;0.57;0.34;45.40;25.76;57 %;75 %;0.11;-;-;0.11;0.16;-;0.00;0.89;1.5;-0.16;0.01;0.03;10.44;0.11;0.34;1.25;0.23;-;0.57;0.79;6.92;2.84;4.9;0.91;1.13;0.79;1.59
Алан Багаев;Алания Владикавказ;219;90;З ЛЦ;-;-;0.09;-;0 %;0.09;1.11;0.74;0.28;1.1;0.28;-;-;0.37;0.09;0.04;53.67;83 %;-;-;0.74;13 %;13.65;59 %;5.7;42 %;1.48;19 %;6.73;47 %;1.66;33 %;4.43;0.92;-;11.25;1.29;1.11;14.39;78 %;11.99;81 %;2.40;62 %;6.55;86 %;0.37;75 %;0.09;100 %;2.58;64 %;7.65;8.58;11;0.92;-;0.09;86.31;73.59;85 %;25 %;0.09;0.09;0.09;0.04;0.11;-;0.00;1.14;0.97;0.17;0.09;0.14;44.45;-;0.09;8.11;2.12;0.28;3.14;0.55;11.16;9.68;1.48;5.62;0.28;0.09;1.66
Солтмурад Бакаев;Родина Москва;-;90;П П;-;-;-;-;-;3.75;0.94;0.94;-;-;-;-;-;-;-;-;50.62;76 %;2.81;100 %;13.12;29 %;8.44;89 %;0.94;0 %;-;-;0.94;100 %;15.00;63 %;4.69;-;0.94;2.81;2.81;3.75;16.88;56 %;8.44;33 %;8.44;78 %;2.81;33 %;6.56;86 %;1.88;100 %;6.56;43 %;3.75;11.25;2;-;0.94;1.88;87.19;66.56;76 %;-;-;-;-;0.46;-;-;-;1.48;1.43;0.05;-;-;38.44;2.81;3.75;7.50;-;-;0.94;9.38;9.38;2.81;6.56;0.94;5.62;1.88;2.81
Никита Бакалюк;Кубань Краснодар;179;90;ЗП ЛЦ;-;-;-;-;-;0.79;2.37;-;0.79;0.79;-;-;-;0.79;-;0.05;52.11;88 %;-;-;-;-;8.68;82 %;2.37;100 %;0.79;100 %;5.53;71 %;1.58;100 %;3.95;0.79;0.79;5.53;2.37;0.79;13.42;53 %;11.05;50 %;2.37;67 %;3.95;60 %;-;-;-;-;3.16;50 %;5.53;8.68;3;1.58;1.58;0.79;82.11;67.89;83 %;0 %;0.79;-;-;0.24;0.06;-;0.00;1.31;0.58;0.73;-;-;45.79;-;-;7.11;2.37;0.79;3.95;1.58;7.11;5.53;1.58;2.37;-;-;1.58
Никита Балахонцев;Тюмень;188;90;П Л;-;-;0.56;-;0 %;0.85;1.97;1.69;-;-;0.56;-;-;1.41;0.28;0.13;25.11;82 %;1.13;50 %;0.56;0 %;5.36;63 %;0.85;100 %;-;-;3.39;67 %;3.10;73 %;7.34;0.56;1.97;1.41;0.56;0.85;17.21;48 %;5.8;50 %;12.13;47 %;5.36;58 %;3.10;36 %;1.97;29 %;2.54;44 %;2.26;3.39;10;0.56;0.56;2.26;52.76;36.11;68 %;20 %;0.85;0.28;-;0.08;0.09;-;0.00;0.91;1.11;-0.20;-;-;20.60;0.56;-;3.39;0.85;-;2.26;2.26;8.18;2.54;5.64;3.10;1.13;0.56;1.13
Вячеслав Бардыбахин;Енисей Красноярск;210;90;З П;-;-;0.28;-;0 %;0.19;1.77;0.84;0.28;0.74;0.28;-;0.09;0.65;0.19;0.07;49.33;88 %;0.37;25 %;1.40;7 %;7.17;79 %;1.68;78 %;0.19;50 %;4.00;77 %;2.5;32 %;5.21;1.77;0.74;5.40;0.74;1.86;18.52;55 %;11.73;55 %;6.79;55 %;3.91;55 %;3.16;71 %;0.65;14 %;4.65;56 %;4.47;5.86;11;0.93;0.09;0.09;81.81;66.08;81 %;29 %;0.28;-;0.19;0.10;0.11;-;0.00;1.25;0.99;0.26;0.06;0.09;43.28;0.09;0.09;5.68;1.30;0.09;3.7;0.65;10.14;6.42;3.72;2.14;2.23;0.09;2.61
Дмитрий Барков;Арсенал Тула;-;90;П П;-;-;-;-;-;-;1.36;4.9;-;-;-;-;-;-;-;-;25.91;79 %;-;-;-;-;4.9;67 %;-;-;-;-;1.36;100 %;1.36;100 %;8.18;2.73;-;1.36;1.36;1.36;30.00;59 %;9.55;71 %;20.45;53 %;13.64;50 %;-;-;-;-;2.73;50 %;1.36;2.73;2;-;-;2.73;61.36;43.64;71 %;-;-;-;-;0.08;-;-;-;1.4;0.11;0.93;-;-;20.45;-;-;2.73;-;-;1.36;1.36;17.73;6.82;10.91;6.82;-;-;1.36
