Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Тимур Аюпов;Урал Екатеринбург;214;90;ЗП ЛЦ;0.16;-;0.48;0.16;33 %;0.63;1.43;1.11;-;0.32;-;-;-;1.74;0.48;0.28;28.84;82 %;0.48;33 %;0.32;0 %;6.65;71 %;1.58;70 %;-;-;5.7;66 %;0.63;50 %;5.55;0.63;0.48;2.54;0.95;1.11;12.36;45 %;6.65;36 %;5.70;56 %;3.17;60 %;0.63;50 %;0.32;0 %;2.54;38 %;3.64;4.12;8;1.11;0.95;0.16;52.29;38.50;74 %;27 %;0.63;0.63;-;0.04;0.16;1.79;0.56;1.4;1.26;-0.22;0.00;0.02;23.61;0.16;-;4.75;1.11;-;3.33;0.32;5.55;2.38;3.17;1.90;0.32;-;0.95
Срджан Бабич;Спартак Москва;240;90;З ЛЦ;0.40;-;0.40;0.40;100 %;-;0.40;-;-;-;-;-;-;1.21;0.80;0.17;60.27;97 %;-;-;-;-;11.25;96 %;2.41;100 %;-;-;2.81;100 %;0.40;100 %;0.40;-;0.40;5.62;1.61;2.81;8.44;76 %;5.62;79 %;2.81;71 %;5.22;77 %;-;-;-;-;1.61;100 %;5.22;4.42;3;0.80;-;0.40;82.77;77.95;94 %;67 %;0.40;-;-;-;0.14;0.43;2.33;1.54;1.14;0.40;0.03;0.04;58.26;-;-;10.85;2.41;-;2.81;0.40;6.43;4.42;2.1;4.2;-;-;1.61
Сергей Бабкин;Крылья Советов;232;90;ЗП ЛЦ;0.38;0.19;0.38;0.38;100 %;0.19;0.75;2.45;0.19;0.19;-;-;-;1.13;0.75;0.11;33.51;90 %;0.19;100 %;-;-;4.71;88 %;0.56;100 %;-;-;1.69;100 %;0.38;100 %;2.45;1.13;0.56;3.58;0.94;1.13;12.24;72 %;4.71;60 %;7.53;80 %;1.69;56 %;4.14;91 %;1.32;86 %;1.88;70 %;5.8;5.46;8;1.13;1.13;0.38;59.12;51.40;87 %;67 %;0.19;0.19;-;0.01;0.10;0.29;3.45;1.29;1.21;0.09;0.01;0.04;30.13;0.19;-;4.14;0.56;-;1.69;0.38;8.85;2.82;6.3;0.94;3.77;1.13;1.32
Абдула Багамаев;Факел Воронеж;195;90;П ПЦ;-;-;-;-;-;-;2.40;-;-;1.20;1.20;-;-;4.80;2.40;0.12;15.60;62 %;-;-;-;-;3.60;33 %;1.20;100 %;-;-;2.40;50 %;-;-;8.40;-;2.40;2.40;-;3.60;18.00;47 %;7.20;50 %;10.80;44 %;4.80;25 %;4.80;75 %;3.60;67 %;4.80;50 %;1.20;6.00;4;-;-;4.80;51.60;31.20;60 %;50 %;1.20;1.20;-;-;0.03;-;0.00;1.26;1.00;0.26;-;-;9.60;-;-;1.20;1.20;-;1.20;-;8.40;3.60;4.80;1.20;3.60;2.40;2.40
Солтмурад Бакаев;Рубин Казань;-;90;Ф ПЦ;-;-;-;-;-;-;15.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15.00;-;-;-;-;-;30.00;0 %;-;-;30.00;0 %;15.00;0 %;-;-;-;-;-;-;-;-;1;-;-;15.00;30.00;-;0 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Зелимхан Бакаев;Зенит;225;90;АП П;-;0.60;0.60;-;0 %;0.60;2.42;3.2;-;0.60;0.60;-;-;0.60;-;0.02;56.78;78 %;1.81;0 %;4.83;13 %;12.68;57 %;1.81;67 %;0.60;100 %;3.2;40 %;4.23;57 %;10.27;1.21;1.21;3.62;1.81;2.42;26.58;43 %;10.27;35 %;16.31;48 %;4.23;43 %;6.4;80 %;3.62;83 %;4.83;50 %;3.2;4.83;4;1.21;1.21;1.21;96.04;66.44;69 %;0 %;-;0.60;-;0.30;0.03;-;0.00;1.27;0.89;0.38;-;-;44.09;-;0.60;7.25;1.21;0.60;1.21;2.42;11.48;3.62;7.85;1.81;4.83;3.2;2.42
Фабиан Бальбуэна;Динамо Москва;221;90;З ПЦ;-;0.13;0.25;-;0 %;0.25;0.25;0.51;0.76;1.66;-;-;-;0.13;0.13;0.03;47.93;83 %;0.38;67 %;-;-;13.64;64 %;3.31;65 %;0.64;40 %;6.50;61 %;1.15;44 %;3.31;1.27;0.25;6.76;0.25;0.89;10.84;73 %;10.45;72 %;0.38;100 %;4.46;71 %;-;-;-;-;3.19;64 %;6.50;4.84;8;0.89;-;0.13;71.77;60.30;84 %;100 %;-;-;-;0.07;0.26;-;0.00;1.26;1.34;-0.08;0.10;0.12;39.77;0.25;-;8.80;2.17;0.25;3.95;0.51;7.90;7.52;0.38;3.19;-;-;2.4
Кейта Балде;Спартак Москва;-;90;Ф Ц;-;-;-;-;-;-;6.43;-;-;-;3.21;-;-;-;-;-;6.43;0 %;-;-;-;-;3.21;0 %;-;-;-;-;-;-;-;-;9.64;3.21;-;-;-;-;19.29;0 %;3.21;0 %;16.07;0 %;16.07;0 %;-;-;-;-;3.21;0 %;6.43;-;2;-;-;6.43;32.14;6.43;20 %;-;-;-;-;-;-;-;-;1.61;0.84;0.77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Михайло Баньяц;ФК Краснодар;-;90;П ЛЦ;-;-;-;-;-;-;4.50;-;-;-;-;-;-;-;-;-;31.50;100 %;-;-;-;-;13.50;100 %;4.50;100 %;-;-;9.00;100 %;4.50;100 %;-;-;-;4.50;4.50;4.50;13.50;67 %;9.00;50 %;4.50;100 %;4.50;100 %;-;-;-;-;4.50;100 %;4.50;9.00;3;-;-;13.50;63.00;58.50;93 %;-;-;-;-;-;-;-;-;0.23;-;0.23;-;-;31.50;-;-;13.50;4.50;-;9.00;4.50;9.00;4.50;4.50;4.50;-;-;4.50
Матео Барач;Крылья Советов;-;90;З ЛЦ;-;-;0.40;-;0 %;-;0.40;0.80;0.40;0.40;0.40;-;-;0.40;0.40;0.03;33.85;81 %;0.40;0 %;-;-;7.96;40 %;3.58;33 %;0.80;0 %;2.79;14 %;-;-;5.18;2.39;0.40;5.58;-;0.40;11.95;67 %;7.96;70 %;3.98;60 %;5.97;73 %;1.19;67 %;-;-;1.59;100 %;7.57;5.18;6;0.80;-;1.59;60.13;49.38;82 %;100 %;-;-;-;-;0.07;-;0.00;0.96;0.72;0.23;0.02;0.05;27.48;-;-;3.19;1.19;-;0.40;-;7.96;5.58;2.39;4.38;0.80;-;1.59
