Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Роман Емельянов;Урал Екатеринбург;–;90;ЗП ЛЦ;–;–;0;–;–;–;6;–;–;–;–;–;–;–;–;–;63;100 %;–;–;–;–;9;100 %;–;–;–;–;–;–;3;100 %;3;–;–;6;–;6;12;25 %;6;50 %;6;0 %;–;–;–;–;–;–;6;50 %;3;21;2;–;–;6;105;96;91 %;–;–;–;–;–;–;–;–;0.69;1.26;-0.57;–;–;63;–;–;9;–;–;–;3;3;3;0;–;–;–;3
Иван Енин;Торпедо Москва;194;90;ЗП ЛЦ;–;–;0.12;–;0 %;0.24;1.12;0.35;0.12;0.77;0.18;–;0.06;0.47;0.06;0.05;30.93;87 %;0.12;100 %;0.24;0 %;4.79;68 %;0.83;57 %;0.12;0 %;2.42;66 %;0.12;0 %;4.43;1.42;0.65;4.43;0.77;0.53;13.54;52 %;7.69;53 %;5.85;51 %;2.9;49 %;0.89;53 %;0.12;50 %;3.31;70 %;4.38;4.2;22;1.6;0.53;0.24;54.7;43.23;79 %;13 %;0.18;0.18;0.06;0.03;0.12;–;0;0.72;2.2;-1.48;0.13;0.09;27.02;0.12;–;3.25;0.47;–;1.6;–;7.4;4.8;2.96;1.42;0.47;0.06;2.31
Хожимат Эркинов;Торпедо Москва;204;90;АП ЛЦ;–;0.07;0.43;–;0 %;0.78;1;1.78;0.07;0.21;0.28;–;0.21;0.78;0.36;0.12;23.25;80 %;0.85;67 %;1.85;27 %;2.7;58 %;0.28;25 %;0.07;0 %;0.64;56 %;1.85;46 %;7.96;2.6;0.78;2.84;0.28;3.6;21.47;36 %;6.9;39 %;14.57;35 %;2.56;19 %;6.26;48 %;2.91;41 %;4.12;40 %;2.7;4.69;20;0.92;0.57;0.5;56.73;37.32;66 %;45 %;0.21;0.21;–;0.19;0.15;–;0;0.83;2.18;-1.35;0;0.02;18.7;0.57;0.5;1.56;0.07;–;0.36;0.85;7.82;2.7;5.12;0.5;2.99;1.21;1.64
Никита Ермаков;ЦСКА Москва;206;90;АП ЛЦ;–;–;0.5;–;0 %;0.5;2.16;0.33;0.17;0.33;0.17;–;–;0.67;–;0.07;37.6;76 %;0.5;67 %;0.67;0 %;7.99;56 %;1;67 %;0.17;0 %;2.66;56 %;2.5;33 %;8.65;1.33;1.33;4.16;1.5;1.66;24.29;38 %;13.64;40 %;10.65;36 %;5.16;45 %;2.83;53 %;1;33 %;6.99;43 %;6.82;7.65;22;–;–;3.66;80.02;53.9;67 %;0 %;0.33;0.33;–;0.26;0.11;–;0;1.4;0.75;0.65;0.02;0.11;28.45;0.33;–;4.49;0.67;–;1.5;0.83;9.32;5.49;3.83;2.33;1.5;0.33;2.99
Александр Ерохин;Зенит;215;90;П ПЦ;0.54;–;1.34;0.54;40 %;0.81;0.81;0.81;0.27;0.81;–;–;0.54;2.15;0.81;0.26;30.09;79 %;0.27;100 %;1.7;25 %;2.96;45 %;0.54;50 %;–;–;1.34;20 %;1.88;43 %;8.33;1.61;1.34;3.76;1.88;–;15.85;51 %;7.79;62 %;8.6;40 %;6.18;52 %;0.54;50 %;0.54;50 %;2.42;56 %;2.15;3.76;20;0.27;–;5.1;55.34;38.42;69 %;38 %;0.81;0.27;0.27;0.09;0.12;0.49;2.4;2.15;0.5;1.65;0.02;0.06;23.64;0.27;0.27;1.34;0.27;–;0.27;0.81;8.6;4.84;3.22;3.22;0.27;0.27;1.34
Никита Ершов;Факел Воронеж;–;90;П ЛЦ;–;–;0;–;–;–;–;–;–;3.91;–;–;–;–;–;–;27.39;100 %;–;–;–;–;–;–;–;–;–;–;–;–;3.91;100 %;15.65;3.91;–;–;–;–;23.48;0 %;11.74;0 %;11.74;0 %;3.91;0 %;3.91;0 %;–;–;3.91;0 %;3.91;3.91;1;–;–;3.91;58.7;35.22;60 %;–;–;–;–;–;–;–;–;1.76;2.35;-0.59;–;–;27.39;–;–;–;–;–;–;3.91;–;0;0;–;–;–;0
Роман Евгеньев;Крылья Советов;215;90;З ПЦ;0.04;0.04;0.39;0.04;9 %;0.21;0.36;0.21;0.36;0.82;0.14;–;–;0.5;0.21;0.09;44.31;85 %;0.11;100 %;0.11;67 %;9.15;66 %;2.53;69 %;0.5;79 %;3.56;60 %;0.5;50 %;3.42;1.3;0.14;7.44;0.75;1.32;13.93;66 %;10.51;68 %;3.42;61 %;7.73;63 %;0.46;85 %;0.04;100 %;1.78;58 %;7.9;5.2;29;0.93;0.11;0.11;72.48;60.65;84 %;43 %;0.18;0.07;0.04;0.07;0.17;2.43;0.41;1.36;1.6;0.3;0.08;0.09;37.61;0.11;0.07;6.5;1.75;0.39;2.14;0.25;9.22;7.12;2.1;4.88;0.39;0.04;1.3
Алексей Евсеев;Урал Екатеринбург;–;90;АП Ц;–;–;0;–;–;–;–;–;–;–;–;–;–;–;–;–;47.37;70 %;–;–;–;–;9.47;0 %;4.74;100 %;–;–;–;–;4.74;100 %;14.21;4.74;–;–;–;4.74;4.74;100 %;4.74;100 %;0;–;–;–;–;–;–;–;4.74;100 %;0;–;1;–;–;4.74;56.84;42.63;75 %;–;–;–;–;0.66;–;–;–;0.66;3.8;-2.42;–;–;33.16;–;–;–;4.74;–;–;4.74;4.74;4.74;0;–;–;–;4.74
Роман Ежов;Крылья Советов;221;90;П П;0.14;0.14;0.72;0.14;20 %;0.72;0.43;1.78;–;0.1;0.14;–;0.92;1.25;0.58;0.14;32.14;75 %;0.82;76 %;1.98;29 %;5.59;66 %;0.53;64 %;–;–;2.31;60 %;3.32;52 %;7.61;1.3;0.87;2.55;0.72;3.8;14.79;43 %;5.78;44 %;9.1;42 %;2.6;39 %;4.1;51 %;2.17;51 %;2.75;49 %;2.89;4.87;22;1.1;0.58;0.05;59.89;42.01;70 %;46 %;0.19;0.43;0.05;0.29;0.11;0.97;1.3;1.41;1.16;0.24;0.01;0.06;24.23;0.63;0.58;3.66;0.34;–;1.4;1.73;6.36;2.55;3.81;1.1;2.7;1.11;1.35
Лукас Фассон;Локомотив Москва;–;90;З ЛЦ;–;–;0.56;–;0 %;0.56;1.68;0.56;–;–;–;–;–;1.68;0.56;0.52;73.23;91 %;0.56;100 %;0.56;0 %;21.24;82 %;4.47;63 %;0.56;0 %;9.5;76 %;1.68;33 %;3.35;–;–;10.62;1.68;1.12;12.3;73 %;10.06;72 %;2.24;75 %;7.27;69 %;0.56;100 %;–;–;1.12;100 %;3.91;8.39;3;1.12;0.56;0.56;100.62;89.44;89 %;33 %;1.12;–;–;0.13;0.31;–;0;2.2;0.44;1.76;–;–;66.52;0.56;–;17.33;2.8;–;7.27;0.56;8.94;7.27;1.68;5.3;0.56;–;1.12
Роберто Фернандез Урбиета;Динамо Москва;217;90;З ЛЦ;0.11;–;0.59;0.16;27 %;0.27;1.2;0.32;0.38;1.8;0.32;0.11;–;0.49;0.16;0.09;46.08;86 %;0.11;100 %;–;–;9.22;73 %;2.32;79 %;0.05;0 %;4.4;71 %;0.22;75 %;2.69;0.86;0.22;9.59;0.81;1.78;14.93;63 %;11.96;63 %;2.96;62 %;7.38;59 %;0.65;58 %;0.11;0 %;2.64;63 %;7.71;8.25;19;1.2;0.11;–;79.44;66.99;84 %;33 %;0.27;–;0.05;0;0.19;0.85;1.18;1.29;1.5;0.23;0.18;0.13;39.72;0.11;–;6.68;1.83;–;2.86;0.16;9.38;7.54;1.83;4.37;0.38;–;1.67
Александр Филин;Химки;209;90;З ЛЦ;–;–;0.19;–;0 %;0.19;1.11;1.3;0.37;0.74;0.19;–;–;0.19;–;0.03;59.35;84 %;0.19;50 %;0.28;33 %;12.63;74 %;4.18;71 %;0.74;38 %;5.67;70 %;1.21;85 %;5.29;1.76;0.19;9.29;1.2;1.3;14.58;63 %;10.96;61 %;3.62;69 %;3.99;60 %;1.3;79 %;0.19;50 %;3.99;63 %;5.76;8.92;11;1.2;0.19;–;90.28;75.23;83 %;0 %;0.19;–;–;0.06;0.17;–;0;1.22;1.62;-0.4;0.1;0.11;50.06;0.09;0.09;9.38;2.97;0.28;3.99;1.2;9.2;6.69;2.51;2.41;1.2;0.09;2.51
Егор Филипенко;Урал Екатеринбург;220;90;З ЛЦ;0.08;0.08;0.16;0.08;50 %;0.16;0.73;0.41;0.49;1.22;0.16;–;–;0.33;0.16;0.05;44.23;87 %;0.08;100 %;–;–;6.52;74 %;0.9;64 %;–;–;2.44;77 %;0.24;67 %;2.28;1.22;0.16;10.1;1.87;1.3;14.99;72 %;12.46;73 %;2.52;65 %;7.82;71 %;0.41;100 %;–;–;2.93;75 %;8.55;6.6;13;1.6;0.33;–;76.15;65.89;87 %;50 %;0.16;–;–;0.02;0.16;0.64;1.56;1.7;1.4;0.03;0.09;0.11;38.61;0.08;–;4.81;0.57;–;1.87;0.16;10.75;9.12;1.63;5.54;0.41;–;2.2
Сесар Габриель Флорентин;Оренбург;236;90;П ПЦ;0.11;0.21;0.58;0.11;18 %;1.43;1.11;1.22;0.05;0.21;0.21;–;0.05;1.91;0.69;0.12;60.18;83 %;1.6;40 %;2.23;33 %;13.21;69 %;5.4;76 %;0.9;71 %;8.28;66 %;7.16;54 %;7.85;1.59;0.8;3.5;1.22;4.56;17.19;54 %;6.69;40 %;10.51;63 %;2.33;45 %;4.3;74 %;1.49;68 %;3.24;46 %;3.4;6.9;20;1.1;0.8;0.05;94.88;74.88;79 %;36 %;0.8;0.32;0.11;0.33;0.06;1.11;0.9;1.75;1.41;0.34;0.01;0.03;50.09;0.42;0.74;9.13;3.82;0.64;5.47;3.87;9.29;2.65;6.63;1.6;3.18;1.1;1.49
Кирилл Фольмер;ФК Ахмат;–;90;АП Ц;–;–;4;–;0 %;–;2;–;–;–;2;–;–;10;6;1.14;36;78 %;–;–;2;100 %;8;100 %;4;50 %;–;–;6;100 %;10;80 %;4;–;–;–;–;4;18;56 %;10;20 %;8;100 %;6;67 %;4;100 %;4;100 %;4;0 %;2;6;3;–;–;6;74;54;73 %;60 %;2;2;–;2.96;0.11;–;0;4.24;1.36;2.88;0.06;0.03;28;–;2;8;2;–;6;8;10;2;8;4;4;4;0
Даниил Фомин;Динамо Москва;224;90;П ЛЦ;0.17;0.07;0.48;0.17;36 %;0.48;1.38;0.41;0.21;0.52;0.17;–;–;1.45;0.59;0.23;43.64;83 %;0.83;38 %;0.38;18 %;10.51;72 %;1.41;51 %;0.14;75 %;6.13;70 %;2.27;50 %;5.13;1.24;0.69;4.82;1.38;1.55;12.71;53 %;8.23;52 %;4.48;55 %;3.72;54 %;1.3;67 %;0.55;56 %;3.55;55 %;4.82;5.96;28;0.96;0.1;–;70.71;55.76;79 %;40 %;0.45;0.34;0.07;0.17;0.16;1.36;0.74;1.37;1.23;0.15;0.03;0.07;36.2;0.31;0.07;7.58;0.72;0.1;4.31;1.14;6.75;4.31;2.45;2;0.69;0.31;1.96
Батчи;ФК Краснодар;220;90;АП Л;0.34;0.23;0.8;0.34;43 %;0.91;0.34;1.25;0.11;0.11;0.23;–;0.11;1.93;1.14;0.15;32.95;88 %;1.14;30 %;1.36;50 %;4.32;71 %;0.34;67 %;–;–;2.16;84 %;2.39;57 %;6.93;2.16;0.91;2.27;1.2;3.7;15.68;33 %;3.75;36 %;11.93;32 %;2.39;19 %;5.45;44 %;2.61;39 %;1.25;45 %;2.5;4.9;14;1.2;0.91;0.57;61.14;45.11;74 %;59 %;0.34;0.45;–;0.3;0.08;0.43;2.31;1.56;1.9;0.46;0;0.02;29.09;0.34;0.68;3.7;0.23;–;1.82;1.36;5.23;1.36;3.86;0.45;2.39;1.2;0.57
Рамазан Гаджимурадов;Урал Екатеринбург;190;90;АП П;–;–;0.49;–;0 %;0.82;1.64;3.45;–;0.16;0.66;–;0.33;2.14;0.49;0.14;27.92;67 %;1.64;50 %;2.79;35 %;6.41;67 %;0.99;33 %;–;–;2.63;56 %;6.57;60 %;11;2.3;0.82;1.48;0.66;3.61;18.23;34 %;3.28;25 %;14.95;36 %;3.28;35 %;5.75;40 %;3.45;38 %;1.64;30 %;1.97;3.45;10;0.99;0.99;0.66;58.14;34.49;59 %;23 %;0.49;1.15;–;0.25;0.07;–;0;1.7;1.51;-0.44;0.01;0.07;18.72;0.82;0.99;4.27;0.33;–;1.48;3.94;6.24;0.82;5.42;1.15;2.3;1.31;0.49
Лука Гагнидзе;Динамо Москва;215;90;П ПЦ;–;0.14;0.29;0.07;25 %;0.8;1.8;0.58;–;0.36;0.22;–;0.22;0.87;0.14;0.04;33.04;83 %;0.51;71 %;1.8;33 %;4.99;72 %;1.3;78 %;0.07;0 %;1.81;72 %;2.39;52 %;6.7;1.81;0.8;3.83;1.16;1.23;17.49;45 %;9.61;46 %;7.88;44 %;2.46;41 %;3.25;62 %;1.45;65 %;5.6;46 %;3.54;4.7;20;0.87;0.43;0.58;61.66;44.82;73 %;17 %;0.51;0.22;–;0.14;0.05;–;0;1.25;1.5;0.2;0;0.04;27.33;0.36;0.36;3.61;1.1;–;1.3;1.23;7.88;4.41;3.47;1.1;2.2;0.94;2.31
Адольфо Юлиан Гайч;ЦСКА Москва;199;90;Ф Ц;0.76;–;3.78;0.76;20 %;0.76;1.51;–;–;–;0.76;–;1.51;6.81;2.27;1;15.88;48 %;–;–;–;–;2.27;0 %;–;–;–;–;1.51;0 %;0.76;100 %;13.61;1.51;–;0.76;–;2.27;25.71;35 %;5.29;29 %;20.42;37 %;12.1;44 %;3.78;60 %;2.27;33 %;3.3;25 %;2.27;3.78;8;–;–;6.5;56.72;27.23;48 %;33 %;3.3;0.76;0.76;0.08;0.15;1.32;0.76;2.21;0.96;1.25;–;–;7.56;–;–;–;–;–;–;0.76;9.8;1.51;7.56;5.29;2.27;0.76;0.76
Милан Гайич;ЦСКА Москва;224;90;ЗП П;–;0.11;0.32;–;0 %;0.57;0.79;0.32;0.14;0.29;0.14;–;0.14;1.4;0.32;0.09;37.43;74 %;0.82;43 %;2.76;29 %;6.6;59 %;1.54;35 %;0.18;40 %;3.98;58 %;4.48;48 %;6.6;0.97;0.43;2.73;0.65;1.18;9.82;41 %;5.34;45 %;4.48;37 %;2.51;39 %;1.86;44 %;1.29;42 %;2.22;50 %;3.84;5.2;29;0.97;0.25;0.07;58.77;42.24;72 %;31 %;0.47;0.25;–;0.32;0.09;–;0;1.64;0.8;0.84;0.04;0.08;27.82;0.36;0.79;3.91;0.54;0.07;2.29;2.15;4.5;2.4;1.65;0.97;0.82;0.54;1.11
Илья Гапонов;Крылья Советов;205;90;З ПЦ;0.09;–;0.28;0.09;33 %;–;0.37;0.09;0.37;1.31;0.09;–;0.09;0.37;0.19;0.1;46.03;87 %;–;–;0.09;0 %;11.76;75 %;2.71;66 %;0.37;25 %;5.32;75 %;0.28;67 %;2.71;1.21;0.09;5.13;0.65;2.52;11.39;66 %;8.4;61 %;2.99;78 %;3.64;69 %;1.21;92 %;–;–;2.8;53 %;5.79;5.32;16;0.84;0.19;0.65;71.51;61.15;86 %;50 %;0.09;0.09;–;0.01;0.27;1.8;0.93;1.25;1.55;-0.3;0.07;0.08;39.87;–;–;8.78;1.77;0.09;4.1;0.19;7.47;5.13;2.33;2.52;1.12;–;1.49
Бенхамин Антонио Гарре;Крылья Советов;229;90;АП Л;0.27;0.09;0.63;0.27;43 %;0.9;0.9;1.97;–;0.09;0.18;–;–;1.43;0.72;0.19;36.81;78 %;0.9;50 %;2.51;50 %;5.28;78 %;2.15;63 %;0.27;100 %;3.4;68 %;6.36;56 %;7.61;1.88;1.88;2.15;0.54;4.66;19.16;43 %;4.93;33 %;14.24;46 %;1.97;14 %;8.33;62 %;4.21;55 %;2.69;40 %;4.3;4.48;13;0.99;0.63;0.18;72.36;50.51;70 %;50 %;0.18;0.45;0.09;0.27;0.13;0.7;1.42;1.5;1.12;-0.07;0.01;0.04;28.57;0.45;1.25;4.12;1.34;0.27;2.33;3.58;8.15;1.61;6.54;0.27;5.19;2.33;1.7
Юрий Газинский;Урал Екатеринбург;213;90;ЗП ЛЦ;0.28;0.19;0.75;0.28;38 %;0.56;0.75;0.56;0.19;0.28;0.09;–;0.19;0.94;0.37;0.23;51.92;81 %;0.56;67 %;1.3;45 %;13.28;65 %;2.53;56 %;0.56;50 %;7.3;58 %;3.56;58 %;6.83;1.59;0.47;4.12;1.31;0.75;11.32;57 %;6.27;49 %;5.5;67 %;3.18;56 %;1.12;75 %;0.28;67 %;2.43;58 %;5.15;6.92;14;1.12;0.75;0.19;77.46;61.93;80 %;40 %;0.47;0.09;–;0.12;0.25;0.82;1.22;1.44;1.1;0.43;0.02;0.09;42.29;0.37;0.47;8.7;1.4;0.28;4.21;2.6;6.46;3.9;3.37;1.78;0.84;0.19;1.4
Роман Мори Диаман Гбане;Химки;210;90;ЗП ПЦ;–;0.07;0.15;–;0 %;0.44;2.3;0.58;0.15;0.51;0.36;0.07;–;1.2;0.51;0.09;39.48;78 %;0.51;86 %;0.15;0 %;8.85;62 %;2.32;59 %;0.22;67 %;5.15;54 %;1.9;47 %;7.48;2.3;1.45;6.24;1.52;1.38;22.28;59 %;11.98;58 %;10.31;59 %;7.62;68 %;2.98;66 %;1.45;55 %;4.5;55 %;6.53;6.46;22;0.87;0.51;0.73;78.53;58.72;75 %;50 %;0.44;0.07;–;0.1;0.09;–;0;1.12;1.43;-0.31;0.13;0.1;30.85;0.44;–;5.52;1.38;0.15;2.76;0.51;13.06;6.97;6.1;5.15;1.96;0.8;2.47
Алексей Герасимов;Урал Екатеринбург;180;90;З ЛЦ;–;–;0.17;–;0 %;–;1.68;0.34;1.1;2.18;0.34;–;–;0.34;–;0.08;49.03;89 %;–;–;0.17;100 %;11.75;81 %;4.87;83 %;0.67;75 %;3.2;61 %;0.17;100 %;2.69;0.84;0.34;5.88;0.5;0.67;10.75;53 %;8.4;48 %;2.35;71 %;5.37;72 %;0.5;100 %;0.17;100 %;1.85;27 %;8.56;4.87;9;1.1;0.34;0.5;74.55;63.47;85 %;0 %;0.34;–;–;0.02;0.23;–;0;0.79;1.78;-0.99;0.11;0.07;43.66;–;0.17;9.57;4.3;0.5;1.85;0.17;5.71;4.3;1.68;3.86;0.5;0.17;0.5
Ярослав Гладышев;Динамо Москва;208;90;АП П;0.44;0.18;1.76;0.44;25 %;1.76;1.24;0.53;0.18;0.26;0.35;0.09;0.62;2.3;1.6;0.35;32.56;74 %;1.85;57 %;1.32;20 %;5.56;71 %;0.71;75 %;0.09;100 %;1.68;68 %;3.44;62 %;6.79;0.97;0.88;1.94;0.35;1.24;12.44;33 %;5.21;29 %;7.24;37 %;2.74;23 %;2.21;48 %;1.41;31 %;2.74;29 %;3.71;3.88;26;0.62;0.53;1.68;56.56;38.03;67 %;52 %;0.53;0.44;–;0.35;0.17;0.8;1.24;1.63;1.2;0.43;–;–;24.18;1.6;0.26;3.97;0.53;0.09;1.15;2.12;4.15;1.5;2.65;0.62;1.6;0.44;0.79
Неманья Главчич;Химки;201;90;АП ПЦ;0.11;0.11;0.43;0.11;25 %;1.19;0.98;1.95;0.22;0.43;0.33;–;–;0.43;0.11;0.05;53.35;79 %;0.54;60 %;3.14;34 %;10.52;64 %;1.63;67 %;–;–;5.53;65 %;6.61;49 %;7.7;1.63;0.76;4.77;1.52;1.52;18;48 %;8.67;49 %;9.33;47 %;4.99;37 %;2.82;54 %;1.8;40 %;4.12;61 %;3.69;7.48;17;0.76;0.43;1.8;85.23;63.65;75 %;25 %;0.22;0.11;–;0.25;0.11;0.42;2.38;0.98;1.98;-1;0.01;0.05;42.29;0.33;1.8;6.72;1.8;–;3.58;3.25;8.57;4.23;4.34;1.84;1.52;0.43;2.49
Данил Глебов;Ростов;217;90;ЗП Ц;0.13;0.1;0.23;0.13;57 %;0.23;0.37;0.9;0.2;0.64;0.13;0.03;0.03;0.6;0.2;0.05;46.29;85 %;0.3;33 %;0.43;23 %;9.8;63 %;2.11;62 %;0.13;50 %;5.15;64 %;1.94;50 %;4.72;1.14;0.37;4.38;1.27;1.3;10.64;57 %;6.56;54 %;4.8;62 %;2.61;46 %;1.7;63 %;0.74;55 %;2.58;68 %;6.19;6.96;28;0.94;–;–;72.34;59.87;83 %;33 %;0.2;0.2;–;0.08;0.09;0.39;2.56;1.7;1.47;-0.4;0.1;0.11;39.16;0.1;0.1;6.19;1.3;0.07;3.31;0.97;6.5;3.51;2.54;1.2;0.67;0.4;1.74
Кирилл Глебов;ЦСКА Москва;217;90;ЗП П;–;–;0;–;–;0.69;1.38;3.46;–;–;0.69;–;–;0.69;–;0.06;30.46;70 %;1.38;50 %;2.77;0 %;4.15;67 %;0.69;100 %;–;–;2.8;100 %;2.77;25 %;12.46;1.38;2.8;–;–;4.85;22.15;41 %;13.15;42 %;9;38 %;3.46;40 %;4.85;43 %;3.46;40 %;7.62;36 %;2.8;5.54;6;0.69;0.69;3.46;67.85;42.92;63 %;0 %;–;0.69;–;0.08;0.09;–;0;2.24;1.27;0.96;–;–;21.46;0.69;–;2.77;0.69;–;2.8;0.69;9;5.54;3.46;1.38;2.8;1.38;2.77
Денис Глушаков;Химки;195;90;П ПЦ;0.06;0.06;0.8;0.06;8 %;0.31;0.61;0.55;0.18;0.61;0.12;–;0.12;1.35;0.55;0.22;33.5;79 %;0.61;30 %;0.98;19 %;5.23;65 %;1.48;67 %;0.12;0 %;3.26;57 %;2.77;42 %;5.66;1.35;0.49;3.14;0.86;0.31;10.51;41 %;5.53;38 %;4.98;44 %;2.7;43 %;0.61;50 %;0.37;50 %;2.95;42 %;4.18;5.1;21;1.5;0.74;0.25;55.27;40.64;74 %;41 %;0.43;0.37;–;0.12;0.16;3.57;0.28;1.3;1.76;-0.73;0.07;0.08;26.37;0.18;0.18;3.38;0.98;–;1.84;1.17;4.3;2.9;2.21;1.17;0.31;0.18;1.23
Максим Глушенков;Крылья Советов;225;90;Ф ПЦ;0.4;0.36;1.73;0.4;23 %;1.53;1.2;1.37;–;0.04;0.24;–;0.44;3.13;1.12;0.47;32.33;72 %;1.65;66 %;1.29;25 %;5.14;56 %;1.65;68 %;0.32;75 %;2.77;57 %;5.6;56 %;10.64;1.61;0.92;1.81;0.68;2.1;14.74;41 %;3.41;35 %;11.33;43 %;1.81;22 %;4.2;57 %;2.33;55 %;1.97;51 %;2.37;3.17;29;1.4;0.8;0.12;58.67;38.11;65 %;36 %;1.8;0.84;0.08;0.53;0.15;1.17;0.85;1.61;1.18;0.43;–;–;23.41;1.8;0.32;2.89;1.12;0.24;1.57;2.81;6.2;1.2;4.82;0.4;2.29;1.29;1
Лео Гогличидзе;Урал Екатеринбург;212;90;ЗЛ;–;0.05;0.05;–;0 %;0.27;1.52;1.24;0.16;0.65;0.22;0.05;–;0.27;–;0.01;47.68;82 %;0.49;56 %;2;30 %;7.41;57 %;1.52;36 %;0.05;0 %;5.3;61 %;3.25;47 %;5.2;1.8;0.49;5.47;1.14;2.92;14.23;59 %;8.71;61 %;5.52;54 %;3.3;59 %;2.76;63 %;0.81;40 %;3.19;64 %;4.49;5.36;26;1.3;0.43;0.38;75.44;60.23;80 %;0 %;0.05;0.22;–;0.1;0.04;–;0;1.17;1.27;-0.1;0.06;0.1;39.13;0.27;0.6;4.22;0.54;–;3.8;1.52;8.33;5.36;2.98;1.95;1.73;0.32;2.6
Ренато Гойкович;Оренбург;227;90;З ПЦ;0.04;0.08;0.38;0.04;11 %;0.13;0.84;0.59;0.46;1.5;0.21;–;0.04;0.5;0.21;0.12;38.37;87 %;0.25;50 %;0.17;75 %;8.8;69 %;2.2;58 %;0.59;57 %;3.32;61 %;0.38;56 %;2.4;0.55;0.13;9.85;0.59;0.88;15.23;77 %;12.2;78 %;3.3;72 %;7.62;77 %;0.21;100 %;–;–;2.52;82 %;9.3;4.75;24;0.88;–;0.13;69.21;60.04;87 %;42 %;0.25;0.04;–;0.06;0.23;2.77;0.36;1.68;1.36;0.31;0.13;0.07;33.2;0.13;0.13;5.55;1.18;0.34;2.2;0.21;11.7;9.51;2.19;5.85;0.21;–;2.6
Егор Голенков;Ростов;193;90;Ф Ц;0.33;–;1.75;0.33;19 %;0.99;1.53;0.77;0.22;0.55;0.55;–;0.44;2.41;1.1;0.39;19.95;70 %;0.66;67 %;0.33;33 %;2.52;52 %;0.11;100 %;–;–;0.99;44 %;1.32;42 %;12.94;1.64;0.99;0.88;0.33;0.66;30.37;40 %;4.71;40 %;25.65;41 %;17.54;49 %;1.97;56 %;1.1;50 %;0.88;13 %;1.86;2.41;29;0.55;0.33;2.63;58.65;32.34;55 %;45 %;0.77;0.33;0.22;0.1;0.16;1.18;0.85;1.17;2.3;-0.86;0.01;0.09;14.03;0.44;0.11;1.32;0.11;–;0.44;0.55;12.28;1.86;10.41;8.55;1.1;0.55;0.11
Петар Голубович;Химки;195;90;З ПЦ;–;–;0.24;–;0 %;0.16;1.19;0.32;0.56;0.95;0.24;–;–;0.48;0.16;0.08;38.37;81 %;0.08;0 %;0.71;44 %;7.94;61 %;2.46;48 %;0.56;29 %;4.13;54 %;1.51;32 %;4.53;0.71;0.64;5.88;0.79;0.87;12.95;59 %;9.29;60 %;3.65;57 %;4.61;52 %;1.11;64 %;0.4;40 %;2.62;52 %;6.51;6.67;12;0.95;0.16;–;66.41;52.82;80 %;33 %;0.08;0.16;0.08;0.06;0.16;–;0;0.86;1.83;-0.97;0.13;0.13;31.06;–;0.32;4.85;1.19;0.16;2.22;0.48;7.63;5.56;2.7;2.38;0.71;0.16;1.35
