Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Тур
Илья Кухарчук;Пари Нижний Новгород;169;48;Ф ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;71 %;-;-;-;-;2.00;100 %;-;-;-;-;1.00;100 %;-;-;5.00;1.00;1.00;1.00;1.00;-;8.00;13 %;4.00;0 %;4.00;25 %;4.00;0 %;1.00;100 %;-;-;1.00;0 %;2.00;3.00;1;1.00;1.00;-;22.00;12.00;55 %;-;-;-;-;0.05;-;-;-;1.8;0.84;0.24;-;-;5.00;-;-;2.00;-;-;1.00;-;1.00;-;1.00;-;1.00;-;-;8
Юрий Медведев;Сочи;204;48;ЗП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20.00;80 %;-;-;1.00;0 %;2.00;100 %;-;-;-;-;3.00;100 %;2.00;50 %;1.00;-;-;1.00;-;3.00;5.00;80 %;3.00;67 %;2.00;100 %;2.00;100 %;-;-;-;-;2.00;100 %;3.00;3.00;1;1.00;1.00;-;34.00;29.00;85 %;-;-;-;-;-;-;-;-;-;0.89;-0.89;0.25;0.25;16.00;-;-;2.00;-;-;3.00;1.00;4.00;2.00;2.00;2.00;-;-;2.00;8
Мигель Силвейра Дос Сантос;Сочи;228;48;АП ПЦ;-;-;-;-;-;-;2.00;2.00;-;-;-;-;-;-;-;-;7.00;71 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;2.00;-;2.00;1.00;-;1.00;9.00;56 %;4.00;50 %;5.00;60 %;-;-;3.00;100 %;1.00;100 %;4.00;50 %;-;3.00;1;1.00;1.00;-;23.00;15.00;65 %;-;-;-;-;-;-;-;-;-;0.89;-0.89;-;-;5.00;-;-;1.00;-;-;-;-;5.00;2.00;3.00;-;3.00;1.00;2.00;8
Дмитрий Стоцкий;Пари Нижний Новгород;192;48;ЗП П;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;27.00;56 %;-;-;-;-;8.00;13 %;-;-;-;-;4.00;50 %;-;-;5.00;-;-;3.00;-;-;9.00;78 %;6.00;67 %;3.00;100 %;1.00;100 %;-;-;-;-;6.00;67 %;8.00;4.00;1;1.00;1.00;-;49.00;35.00;71 %;-;-;-;-;-;-;-;-;1.8;0.84;0.24;0.11;0.11;15.00;-;-;1.00;-;-;2.00;-;7.00;4.00;3.00;1.00;-;-;4.00;8
Алексей Сутормин;Зенит;227;48;ЗП П;-;-;-;-;-;-;1.00;1.00;-;-;1.00;-;-;-;-;-;36.00;83 %;-;-;2.00;0 %;6.00;83 %;-;-;-;-;2.00;50 %;2.00;50 %;4.00;1.00;-;-;-;1.00;7.00;14 %;5.00;20 %;2.00;0 %;2.00;0 %;-;-;-;-;2.00;0 %;-;2.00;1;-;-;1.00;47.00;35.00;74 %;-;-;-;-;0.93;-;-;-;1.13;0.36;0.77;-;-;30.00;-;-;5.00;-;-;1.00;1.00;1.00;1.00;-;-;-;-;-;8
Роман Зобнин;Спартак Москва;248;48;П ЛЦ;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;-;-;-;34.00;85 %;1.00;100 %;1.00;0 %;7.00;57 %;1.00;0 %;-;-;3.00;67 %;3.00;0 %;4.00;-;3.00;5.00;1.00;1.00;6.00;50 %;1.00;0 %;5.00;60 %;-;-;3.00;67 %;1.00;100 %;-;-;5.00;3.00;1;1.00;1.00;-;52.00;41.00;79 %;-;-;-;-;0.25;-;-;-;0.89;-;0.89;-;-;29.00;1.00;-;4.00;-;-;2.00;-;3.00;-;3.00;-;2.00;1.00;-;8
Тимур Аюпов;Урал Екатеринбург;211;46;ЗП ЛЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;7.00;86 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;1.00;-;-;1.00;-;1.00;5.00;80 %;4.00;75 %;1.00;100 %;2.00;50 %;-;-;-;-;2.00;100 %;2.00;-;1;1.00;1.00;-;15.00;13.00;87 %;-;-;-;-;0.06;-;-;-;0.40;0.35;0.05;-;-;6.00;-;-;1.00;-;-;1.00;-;4.00;3.00;1.00;1.00;-;-;2.00;8
Густаво Мантуан;Зенит;233;46;АП Л;-;1.00;-;-;-;1.00;-;2.00;-;-;-;-;-;-;-;-;21.00;86 %;1.00;100 %;-;-;5.00;60 %;1.00;100 %;-;-;1.00;100 %;-;-;2.00;-;1.00;-;-;4.00;8.00;25 %;3.00;0 %;5.00;40 %;3.00;33 %;3.00;33 %;2.00;0 %;-;-;-;3.00;1;1.00;1.00;-;37.00;27.00;73 %;-;-;-;-;-;-;-;-;0.08;0.53;-0.45;-;-;18.00;1.00;-;3.00;1.00;-;1.00;-;2.00;-;2.00;1.00;1.00;-;-;8
Даниил Куликов;Локомотив Москва;183;43;ЗП ЛЦ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;19.00;68 %;-;-;-;-;6.00;50 %;-;-;-;-;4.00;50 %;1.00;0 %;2.00;-;1.00;2.00;2.00;-;10.00;50 %;7.00;29 %;3.00;100 %;-;-;1.00;100 %;1.00;100 %;7.00;29 %;1.00;5.00;1;-;-;1.00;36.00;24.00;67 %;-;-;-;-;-;-;-;-;0.80;0.11;0.69;0.04;0.04;13.00;-;-;3.00;-;-;2.00;-;5.00;2.00;3.00;-;1.00;1.00;2.00;8
Дмитрий Рыбчинский;Локомотив Москва;192;43;АП П;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;13.00;69 %;-;-;3.00;33 %;1.00;100 %;-;-;-;-;1.00;100 %;1.00;100 %;2.00;1.00;-;1.00;-;1.00;6.00;17 %;1.00;0 %;5.00;20 %;3.00;0 %;2.00;50 %;1.00;100 %;-;-;2.00;2.00;1;-;-;1.00;24.00;15.00;63 %;-;-;-;-;0.64;-;-;-;0.80;0.11;0.69;-;-;9.00;-;1.00;1.00;-;-;1.00;1.00;1.00;-;1.00;-;1.00;1.00;-;8
