Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Роберт Ренан Алвеш Барбоса;Зенит;–;90;З ЛЦ;–;–;–;–;–;–;–;0.93;–;–;–;–;–;–;–;–;88.14;93 %;–;–;–;–;21.34;87 %;1.86;0 %;–;–;6.49;86 %;–;–;2.78;0.93;0.93;8.35;0.93;1.86;12.99;79 %;10.21;73 %;2.78;100 %;2.78;33 %;–;–;–;–;1.86;100 %;1.86;5.57;1;0.93;–;–;111.34;101.13;91 %;–;–;–;–;–;–;–;–;0.8;0.71;0.09;–;–;81.65;–;–;18.56;–;–;5.57;–;10.21;7.42;2.78;0.93;–;–;1.86
Клаудиньо;Зенит;–;90;П ЛЦ;–;–;1.03;–;0 %;1.03;–;3.1;–;–;–;–;–;4.14;–;0.38;76.55;92 %;1.03;100 %;3.1;0 %;15.52;87 %;7.24;86 %;1.03;0 %;6.21;100 %;6.21;33 %;8.28;1.03;1.03;–;–;2.07;13.45;31 %;4.14;0 %;9.31;44 %;–;–;5.17;40 %;4.14;50 %;1.03;0 %;–;5.17;1;1.03;1.03;–;102.41;81.72;80 %;0 %;3.1;1.03;–;0.04;0.09;–;0;0.84;0.78;0.06;–;–;70.34;1.03;–;13.45;6.21;–;6.21;2.07;4.14;–;4.14;–;2.07;2.07;–
Илья Рожков;Рубин Казань;–;90;ЗП Л;–;1.36;–;–;–;2.73;1.36;–;–;–;–;–;–;–;–;–;51.82;79 %;2.73;100 %;2.73;100 %;9.55;71 %;4.09;67 %;–;–;6.82;60 %;2.73;100 %;9.55;4.09;–;4.09;–;2.73;12.27;44 %;6.82;60 %;5.45;25 %;1.36;100 %;1.36;0 %;–;–;–;–;6.82;5.45;1;1.36;1.36;–;79.09;61.36;78 %;–;–;–;–;0.31;–;–;–;1.45;1.42;0.03;–;–;40.91;2.73;2.73;6.82;2.73;–;4.09;2.73;5.45;4.09;1.36;1.36;–;–;–
Михаил Рядно;ЦСКА Москва;–;90;З ЛЦ;–;–;–;–;–;–;–;1.38;–;–;–;–;–;–;–;–;51.23;81 %;–;–;–;–;15.23;64 %;–;–;–;–;6.92;40 %;–;–;4.15;1.38;–;5.54;2.77;–;18;69 %;13.85;70 %;4.15;67 %;12.46;67 %;–;–;–;–;2.77;50 %;5.54;2.77;1;–;–;1.38;78.92;63.69;81 %;–;–;–;–;–;–;–;–;1.33;1.15;0.18;–;–;41.54;–;–;9.69;–;–;2.77;–;12.46;9.69;2.77;8.31;–;–;1.38
Илья Самошников;Локомотив Москва;–;90;З П;–;9;–;–;–;9;9;–;–;–;–;–;–;–;–;–;90;90 %;–;–;9;100 %;27;67 %;9;100 %;–;–;18;50 %;18;100 %;–;–;–;9;9;–;27;33 %;18;0 %;9;100 %;9;100 %;–;–;–;–;–;–;9;–;1;–;–;9;126;99;79 %;–;–;–;–;0.18;–;–;–;0.81;0.18;0.63;–;–;81;–;9;18;9;–;9;18;9;–;9;9;–;–;–
Владислав Сарвели;Локомотив Москва;–;90;ЗП ЛЦ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;27;100 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;9;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;–;9;36;36;100 %;–;–;–;–;–;–;–;–;0.81;0.18;0.63;–;–;27;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Гилерме Счеттине;Урал Екатеринбург;–;90;Ф Ц;–;–;5.62;–;0 %;2.81;–;2.81;–;–;–;–;–;5.62;2.81;0.76;25.31;67 %;–;–;–;–;5.62;50 %;–;–;–;–;5.62;0 %;–;–;22.5;8.44;–;–;–;8.44;42.19;40 %;2.81;0 %;39.38;43 %;22.5;50 %;8.44;67 %;2.81;0 %;2.81;0 %;–;–;1;–;–;2.81;81.56;45;55 %;50 %;2.81;–;–;–;0.14;–;0;0.76;–;0.76;–;–;16.88;–;–;2.81;–;–;–;–;16.88;–;16.88;11.25;5.62;–;–
Андрей Семёнов;ФК Ахмат;–;90;З ПЦ;–;–;–;–;–;–;0.89;–;–;–;–;–;–;–;–;–;62.38;90 %;–;–;–;–;23.17;81 %;6.24;71 %;–;–;12.48;86 %;0.89;0 %;2.67;0.89;–;4.46;0.89;2.67;10.69;75 %;8.91;70 %;1.78;100 %;4.46;80 %;–;–;–;–;2.67;33 %;2.67;5.35;1;0.89;–;–;83.76;74.85;89 %;–;–;–;–;0.02;–;–;–;1.45;1.27;0.19;–;–;56.14;–;–;18.71;4.46;–;10.69;–;8.02;6.24;1.78;3.56;–;–;0.89
Эдгар Севикян;Пари Нижний Новгород;–;90;Ф ЛЦ;–;–;–;–;–;–;–;–;–;–;1.58;–;–;–;–;–;11.05;100 %;–;–;–;–;1.58;100 %;–;–;–;–;–;–;–;–;4.74;–;–;1.58;–;1.58;9.47;0 %;3.16;0 %;6.32;0 %;3.16;0 %;1.58;0 %;1.58;0 %;–;–;1.58;1.58;1;1.58;1.58;–;25.26;15.79;63 %;–;–;–;–;0.17;–;–;–;1.18;0.69;0.49;–;–;11.05;–;–;1.58;–;–;–;–;–;–;–;–;–;–;–
Тимофей Шипунов;Сочи;–;90;АП ПЦ;–;–;–;–;–;–;1.91;1.91;–;–;–;–;–;1.91;–;0.15;38.3;75 %;–;–;–;–;11.49;67 %;–;–;–;–;7.66;50 %;3.83;100 %;9.57;1.91;3.83;–;–;3.83;26.81;21 %;13.4;0 %;13.4;43 %;5.74;67 %;5.74;33 %;–;–;5.74;0 %;–;7.66;1;1.91;1.91;–;82.34;45.96;56 %;0 %;–;1.91;–;–;0.08;–;0;1.72;0.19;1.53;–;–;28.72;–;–;7.66;–;–;3.83;3.83;5.74;–;5.74;3.83;1.91;–;–
