Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Никита Глушков;Динамо Махачкала;–;90;АП Ц;–;–;0.56;–;0 %;–;0.56;1.67;0.56;0.56;–;–;–;–;–;–;34.44;79 %;–;–;2.22;50 %;4.44;63 %;1.11;50 %;–;–;3.33;50 %;2.22;100 %;7.78;–;1.67;2.78;1.67;1.11;16.11;28 %;6.11;18 %;10;33 %;3.33;0 %;2.78;40 %;2.22;25 %;3.33;0 %;2.78;9.44;2;1.11;1.11;–;65.56;45;69 %;–;–;–;–;0.13;–;–;–;1.24;0.77;0.48;0.01;0.02;27.22;–;1.11;2.78;0.56;–;1.67;2.22;4.44;1.11;3.33;–;1.11;0.56;–
Никита Глушков;Енисей Красноярск;–;90;АП Ц;–;–;1.45;–;0 %;2.18;–;1.45;–;–;–;–;0.73;3.63;0.73;0.28;34.11;81 %;1.45;100 %;0.73;0 %;6.53;56 %;–;–;–;–;2.18;0 %;4.35;83 %;13.79;0.73;0.73;1.45;0.73;2.18;23.95;42 %;1.45;50 %;22.5;42 %;–;–;14.52;50 %;10.89;47 %;0.73;100 %;2.18;7.26;2;0.73;0.73;0.73;74.03;50.08;68 %;20 %;0.73;2.18;–;0.37;0.08;–;0;1.3;0.89;0.14;–;–;27.58;1.45;–;3.63;–;–;–;3.63;10.16;0.73;9.44;–;7.26;5.8;0.73
Александр Канаплин;Енисей Красноярск;–;90;АП Ц;–;0.6;0.6;–;0 %;1.2;0.6;3.6;–;–;–;–;–;0.6;–;0.01;32.4;87 %;0.6;0 %;0.6;100 %;7.8;85 %;0.6;0 %;–;–;3;80 %;3.6;67 %;4.8;–;1.2;1.8;1.8;1.8;21;63 %;6.6;64 %;14.4;63 %;4.2;43 %;7.8;77 %;4.8;75 %;1.8;67 %;3;1.2;2;0.6;–;0.6;61.8;48;78 %;0 %;0.6;–;–;0.22;0.01;–;0;0.96;0.97;-0.01;0.1;0.08;28.2;–;0.6;6.6;–;–;2.4;2.4;13.2;4.2;9;1.8;6;3.6;1.2
Давид Хубаев;ФК Акрон Тольятти;–;90;АП Ц;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;37.67;83 %;2.9;0 %;–;–;8.37;50 %;4.19;50 %;2.9;100 %;8.37;50 %;4.19;100 %;6.28;–;2.9;4.19;–;2.9;14.65;43 %;4.19;50 %;10.47;40 %;2.9;100 %;2.9;0 %;2.9;0 %;4.19;50 %;2.9;4.19;2;–;–;4.19;62.79;46.05;73 %;–;–;–;–;–;–;–;–;2.7;0.15;1.93;–;–;31.4;–;–;4.19;2.9;2.9;4.19;4.19;6.28;2.9;4.19;2.9;–;–;2.9
Данил Кленкин;ФК Волгарь;–;90;АП Ц;–;0.55;–;–;–;1.1;–;2.21;–;–;–;–;–;0.55;–;0.03;40.86;62 %;–;–;3.31;0 %;12.15;55 %;3.31;50 %;–;–;6.63;33 %;8.83;31 %;7.18;0.55;0.55;1.1;1.1;2.21;8.28;47 %;4.42;63 %;3.87;29 %;2.21;25 %;1.1;50 %;1.1;50 %;–;–;2.21;7.18;2;1.1;0.55;–;62.39;41.41;66 %;0 %;–;0.55;–;0.13;0.06;–;0;0.98;1.67;-0.7;–;–;25.4;–;–;6.63;1.66;–;2.21;2.76;3.87;2.76;1.1;0.55;0.55;0.55;–
Давид Кокоев;Нефтехимик Нижнекамск;–;90;АП Ц;–;–;–;–;–;0.85;2.55;1.7;–;–;–;–;–;1.7;–;0.1;23.77;57 %;0.85;100 %;2.55;100 %;5.94;43 %;–;–;–;–;0.85;0 %;4.25;80 %;5.94;2.55;0.85;0.85;–;–;14.43;35 %;6.79;38 %;7.64;33 %;2.55;0 %;0.85;100 %;0.85;100 %;2.55;33 %;3.4;5.94;2;0.85;0.85;0.85;50.09;28.02;56 %;0 %;0.85;0.85;–;0.25;0.06;–;0;1.5;1.18;-0.13;–;–;13.58;0.85;2.55;2.55;–;–;–;3.4;5.9;2.55;2.55;–;0.85;0.85;0.85
Владимир Марухин;Нефтехимик Нижнекамск;–;90;АП Ц;–;–;–;–;–;1.48;1.48;1.48;–;–;–;–;–;1.48;–;0.15;28.03;58 %;1.48;0 %;2.95;50 %;1.48;0 %;2.95;0 %;–;–;–;–;4.43;0 %;11.8;4.43;4.43;1.48;1.48;1.48;17.7;17 %;2.95;0 %;14.75;20 %;2.95;50 %;1.48;0 %;–;–;1.48;0 %;5.9;17.7;1;1.48;1.48;–;78.2;45.74;58 %;0 %;–;1.48;–;0.44;0.1;–;0;1.74;0.44;1.3;–;–;16.23;–;1.48;–;–;–;–;–;2.95;–;2.95;1.48;–;–;–
Антон Орлов;Енисей Красноярск;–;90;АП Ц;0.96;–;0.96;0.96;100 %;–;2.87;1.91;–;–;–;–;–;0.96;0.96;0.05;32.55;76 %;–;–;0.96;0 %;9.57;70 %;0.96;0 %;–;–;3.83;50 %;2.87;67 %;14.36;2.87;3.83;0.96;–;–;15.32;25 %;6.7;57 %;8.62;0 %;3.83;25 %;0.96;0 %;0.96;0 %;2.87;67 %;2.87;4.79;2;1.91;1.91;–;61.28;38.3;63 %;100 %;–;–;–;0.36;0.05;0.05;20;1.25;0.46;0.79;–;–;24.89;–;–;6.7;–;–;1.91;1.91;3.83;3.83;–;0.96;–;–;1.91
Иван Тимошенко;Родина Москва;–;90;АП Ц;0.97;–;3.41;0.97;29 %;1.46;2.43;0.49;–;–;0.49;–;–;3.41;1.46;0.91;17.03;60 %;0.49;100 %;–;–;5.35;64 %;–;–;–;–;2.92;50 %;1.95;75 %;11.19;1.46;0.49;–;–;0.49;18;35 %;1.95;0 %;16.05;39 %;10.7;45 %;0.49;0 %;0.49;0 %;–;–;1.46;3.41;2;0.97;0.49;–;44.27;23.35;53 %;43 %;1.46;–;0.49;0.54;0.27;0.94;1.7;1.77;0.56;1.21;0.07;0.15;10.22;0.49;–;3.41;–;–;1.46;1.46;6.32;–;6.32;4.86;–;–;–
Нури Абдоков;Кубань Краснодар;–;90;Ф Ц;–;–;5.14;–;0 %;5.14;2.57;7.71;–;–;2.57;–;–;5.14;5.14;2.75;28.29;64 %;7.71;33 %;2.57;100 %;5.14;50 %;–;–;–;–;–;–;10.29;25 %;10.29;–;–;2.57;2.57;–;20.57;50 %;–;–;20.57;50 %;2.57;0 %;10.29;100 %;10.29;100 %;–;–;–;7.71;1;–;–;2.57;61.71;41.14;67 %;100 %;–;–;–;–;0.54;–;0;1.41;0.75;0.67;–;–;18;2.57;2.57;2.57;–;–;–;2.57;10.29;–;10.29;–;10.29;10.29;–
