№;Игрок;Позиция;Команда;МИН;Г;ГП;КП;КП+;КП%;УД;УД+;УД%;xG;Ф;ФП;ОФ;ЖК;КК;ТТД;ТТД+;ТТД%;ТШ;ГМ;ГМ+;ГМ%;ПОТ;ПТС;ВОЗ;ВЗС;НОМ;ПАС;ПАС+;ПАС%;ПСВ;ПСВ+;ПСВ%;ПCН;ПCН+;ПCН%;ДПС;ДПС+;ДПС%;КСП;КСП+;КСП%;ПФТ;ПФТ+;ПФТ%;ПСШ;ПСШ+;ПСШ%;НАВ;НАВ+;НАВ%;ППУ;ППУ+;ППУ%;ППС;ППШ;ЕД;ЕД+;ЕД%;ЕДВ;ЕДВ+;ЕДВ%;ЕДО;ЕДО+;ЕДО%;ЕДА;ЕДА+;ЕДА%;ОБВ;ОБВ+;ОБВ%;ОТБ;ОТБ+;ОТБ%;ПХ;ШТУ;ПШУ;ПШУ+;ПШУ%;УГЛ;АУТ;АУТ+;АУТ%
29;Оливье Яо Жан Шарль;ПВ;СКА Хабаровск;244;0.7;0;0.4;0.4;100 %;3.3;1.5;44 %;0.51;1.1;1.5;0.4;0;0;35;20.7;59 %;7;1.5;0.7;50 %;7;0.7;7.7;5.9;1.1;12.5;8.9;71 %;3.7;2.2;60 %;4.4;4.1;92 %;0.7;0;0 %;11.8;8.9;75 %;5.9;4.1;69 %;1.8;0.4;20 %;1.1;0;0 %;0.4;0.4;100 %;19.2;2.6;14.4;6.6;46 %;2.2;0.7;33 %;2.2;1.5;67 %;12.2;5.2;42 %;4.1;1.8;45 %;1.1;1.1;100 %;1.1;0;0;0;0 %;0;0.4;0.4;100 %
79;Омар Попов;ЦФД;Краснодар 2;136;0.7;0;0.7;0.7;100 %;2.6;2;75 %;0.48;3.3;2.6;0;0;0;47.6;29.1;61 %;9.3;1.3;0.7;50 %;7.9;2;15.9;11.9;1.3;13.9;8.6;62 %;6;2;33 %;2.6;2;75 %;0;0;0 %;13.9;8.6;62 %;5.3;4;75 %;2.6;1.3;50 %;0;0;0 %;0;0;0 %;27.1;5.3;25.1;13.2;53 %;5.3;2.6;50 %;4.6;2.6;57 %;20.5;10.6;52 %;2;0.7;33 %;4;3.3;83 %;2.6;0;0;0;0 %;0;0;0;0 %
3;Павел Аликин;ПЦЗ;Родина Москва;190;0;0;0;0;0 %;0.5;0;0 %;0.05;0.9;0.5;0;0;0;49.7;39.3;79 %;0.9;0.5;0;0 %;4.7;3.3;17.1;2.4;0;26.5;21.8;82 %;14.7;10.9;74 %;0.9;0.9;100 %;2.4;0.9;40 %;24.2;20.8;86 %;0.5;0;0 %;0.5;0;0 %;0;0;0 %;0;0;0 %;16.6;1.4;12.3;8.1;65 %;5.7;3.8;67 %;8.1;6.6;82 %;4.3;1.4;33 %;0;0;0 %;0.5;0.5;100 %;8.1;0.5;0;0;0 %;0;0;0;0 %
77;Павел Котов;ЛЗ;Нефтехимик;818;0;0.1;0.3;0.3;100 %;1;0;0 %;0.06;0.9;0.2;0.1;0.2;0;62.4;46.7;75 %;0.9;0;0;0 %;11.2;7;13.8;4.3;0.8;41.3;30.8;75 %;28.6;19.5;68 %;5.2;5.2;100 %;2.3;1.1;48 %;38.9;29.7;76 %;11.2;9;80 %;4.5;2.5;56 %;1.2;0.4;36 %;1;1;100 %;21.7;0.2;9.1;5.2;57 %;2.1;0.8;37 %;6.7;4;59 %;2.4;1.2;50 %;0;0;0 %;3.1;2.1;68 %;4.2;1.5;0;0;0 %;0.4;9.9;8.3;83 %
34;Павел Кузнецов;ЛП;Шинник;61;0;0;0;0;0 %;0;0;0 %;0.00;1.5;0;0;0;0;29.5;10.3;35 %;1.5;0;0;0 %;7.4;4.4;4.4;0;1.5;10.3;4.4;43 %;5.9;1.5;25 %;1.5;1.5;100 %;0;0;0 %;10.3;4.4;43 %;4.4;3;67 %;0;0;0 %;0;0;0 %;0;0;0 %;17.7;0;16.2;4.4;27 %;3;0;0 %;7.4;4.4;60 %;8.9;0;0 %;0;0;0 %;3;3;100 %;1.5;0;0;0;0 %;0;0;0;0 %
69;Павел Шакуро;ЛЗ;Акрон;764;0;0;0.4;0.4;100 %;0.4;0;0 %;0.01;1.1;0.9;0;0.7;0;68.8;52.2;76 %;1.3;0.1;0;0 %;11.7;4.6;12.1;4.9;0.6;44.3;35.1;79 %;22.7;16.3;72 %;9.5;9.1;95 %;3.4;1.8;52 %;40.9;33.3;82 %;19.3;15.5;80 %;3.7;1.8;48 %;1.9;0;0 %;0.1;0.1;100 %;34.2;0.7;12.3;6.1;50 %;2;1.1;53 %;6.6;4;61 %;5.7;2.1;38 %;3.3;1.4;43 %;3.1;2;65 %;3.8;0.1;0;0;0 %;0;5.7;5.5;98 %
35;Пётр Косаревский;ВРТ;Велес Москва;1051;0;0;0;0;0 %;0;0;0 %;0.00;0.2;0.1;0;0.3;0;51.6;47;91 %;0;0;0;0 %;4;4;8.3;0;0.1;42.4;38.4;91 %;34.9;30.9;89 %;0;0;0 %;14.8;11.4;77 %;27.6;27.1;98 %;0.1;0.1;100 %;0;0;0 %;0;0;0 %;0.3;0.3;100 %;25;0;1.1;0.8;69 %;0.5;0.4;83 %;1.1;0.8;69 %;0;0;0 %;0.1;0.1;100 %;0.4;0.2;40 %;6.9;2.8;0;0;0 %;0;0;0;0 %
9;Ражаб Магомедов;ЛАП;Динамо Махачкала;785;0.2;0;0.2;0.2;100 %;1.7;0.7;40 %;0.27;0.9;0.6;1.1;0.1;0;60.8;37.4;62 %;5;0.9;0.2;25 %;10.4;2.3;10.5;6.5;1.1;29.4;22.7;77 %;10.8;6.4;60 %;8.6;8.1;95 %;0.9;0.2;25 %;28.4;22.5;79 %;11.4;8.6;76 %;2.3;1.5;65 %;0.6;0;0 %;0.6;0.5;80 %;39;1.9;21.9;7;32 %;8.7;3;34 %;3.8;2.2;58 %;18.1;4.8;27 %;3.8;1.1;30 %;1.3;0.8;64 %;2.3;0.2;0;0;0 %;0.6;0.3;0.3;100 %
10;Рамазан Абдурагимов;ПФД;Динамо Махачкала;262;0;0;0.3;0.3;100 %;0.7;0.3;50 %;0.04;1.7;1;0.7;0;0;56;34.7;62 %;6.5;0.7;0;0 %;10.6;2.4;11;7.6;2.1;22.3;16.8;75 %;6.2;3.4;56 %;7.2;6.9;95 %;0.3;0;0 %;22;16.8;77 %;11;8.9;81 %;0.7;0;0 %;1;0;0 %;1.7;1.7;100 %;32.6;2.1;21;7.6;36 %;3.8;1.4;36 %;4.1;1.7;42 %;16.8;5.8;35 %;5.5;2.4;44 %;1;0.7;67 %;2.7;0;0;0;0 %;0;0;0;0 %
14;Рамазан Гаджимурадов;ЛАП;Динамо Махачкала;302;0;0;0;0;0 %;2.1;0;0 %;0.11;0.9;3.3;0.3;0.3;0;53.3;30.1;56 %;1.8;0.6;0;0 %;12.2;3.6;9.2;5.7;1.5;22.4;16.1;72 %;6.3;3;48 %;6.9;6.6;96 %;1.5;0.6;40 %;20.9;15.5;74 %;6.9;4.5;65 %;3.9;2.1;54 %;1.2;0;0 %;0;0;0 %;29.8;1.2;21.5;7.2;33 %;5.4;1.5;28 %;6.6;2.4;36 %;14.9;4.8;32 %;7.2;2.7;38 %;1.5;1.2;80 %;0.9;2.4;0.3;0;0 %;0.9;1.2;0.9;75 %
