№;Игрок;Позиция;Команда;МИН;Г;ГП;КП;КП+;КП%;УД;УД+;УД%;xG;Ф;ФП;ОФ;ЖК;КК;ТТД;ТТД+;ТТД%;ТШ;ГМ;ГМ+;ГМ%;ПОТ;ПТС;ВОЗ;ВЗС;НОМ;ПАС;ПАС+;ПАС%;ПСВ;ПСВ+;ПСВ%;ПCН;ПCН+;ПCН%;ДПС;ДПС+;ДПС%;КСП;КСП+;КСП%;ПФТ;ПФТ+;ПФТ%;ПСШ;ПСШ+;ПСШ%;НАВ;НАВ+;НАВ%;ППУ;ППУ+;ППУ%;ППС;ППШ;ЕД;ЕД+;ЕД%;ЕДВ;ЕДВ+;ЕДВ%;ЕДО;ЕДО+;ЕДО%;ЕДА;ЕДА+;ЕДА%;ОБВ;ОБВ+;ОБВ%;ОТБ;ОТБ+;ОТБ%;ПХ;ШТУ;ПШУ;ПШУ+;ПШУ%;УГЛ;АУТ;АУТ+;АУТ%
52;Вадим Конюхов;ЛЗ;Уфа;92;0;0;0;0;0 %;1;0;0 %;0.02;2.9;2;0;1;0;60.7;38.2;63 %;2;0;0;0 %;12.7;2.9;9.8;2.9;2;28.4;18.6;66 %;8.8;4.9;56 %;4.9;4.9;100 %;2;1;50 %;26.4;17.6;67 %;7.8;4.9;63 %;6.8;2;29 %;5.9;0;0 %;0;0;0 %;28.4;2;19.6;9.8;50 %;3.9;2;50 %;6.8;3.9;57 %;12.7;5.9;46 %;5.9;4.9;83 %;5.9;2;33 %;2;0;0;0;0 %;0;3.9;3.9;100 %
30;Валентин Гришин;ВРТ;Краснодар 2;195;0;0;0;0;0 %;0;0;0 %;0.00;0;0.9;0;0;0;41.1;31.8;78 %;0;0;0;0 %;9.2;9.2;8.8;0;0;32.3;23.1;71 %;28.2;18.9;67 %;0;0;0 %;16.6;11.1;67 %;15.7;12;76 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;17.1;0;0.5;0.5;100 %;0;0;0 %;0.5;0.5;100 %;0;0;0 %;0;0;0 %;0.5;0.5;100 %;6.5;2.8;0;0;0 %;0;0;0;0 %
77;Валентин Пальцев;ПВ;КамАЗ;747;0;0;0.2;0.2;100 %;0.7;0.6;83 %;0.04;1.1;3.3;0.1;0;0;61.6;44.5;72 %;2;0.2;0;0 %;10.5;3.7;17.7;7.1;0.8;28.9;21;73 %;16.9;10.2;61 %;4.1;3.7;91 %;1.4;1;67 %;27.5;20;73 %;5.9;4.3;73 %;1.9;1.4;75 %;0.4;0.1;33 %;1.2;1.1;90 %;26.7;1;20.1;12.2;60 %;8.1;5.1;63 %;9.5;7.1;75 %;10.6;5.1;48 %;3.4;1.7;50 %;3.4;3.3;96 %;4.3;0.4;0.1;0.1;100 %;0.2;1;0.5;50 %
2;Валерий Кичин;ЛЦЗ;Енисей;908;0.2;0;0.1;0.1;100 %;1.4;0.5;36 %;0.19;0.6;0.8;0;0.3;0;104;83.6;80 %;2.4;0.3;0.2;67 %;15.7;10.2;20.9;4;0.7;70.6;55.9;79 %;44.6;30.7;69 %;7.1;7.1;100 %;5.8;3.8;64 %;64.7;52.1;81 %;11.8;9.1;77 %;2.2;0.7;32 %;1.7;0.2;12 %;0;0;0 %;52.5;0.8;13.1;9.2;70 %;5;4;80 %;9;6.8;76 %;4.1;2.4;59 %;1.8;1.5;83 %;3.6;1.9;53 %;7.9;2.9;0.1;0.1;100 %;0;2.9;2.6;90 %
26;Валерий Почивалин;ЛЗ;Велес Москва;1233;0;0.1;0.3;0.3;100 %;0.3;0.1;50 %;0.01;0.6;1.5;0;0.3;0;88;68.8;78 %;1.9;0.1;0;0 %;13.2;6.6;20.3;5.2;0.6;55.8;44;79 %;31.1;21.2;68 %;11.3;11.2;99 %;2.3;1.2;52 %;53.6;42.8;80 %;11.7;9.2;79 %;2.9;1.1;38 %;2.3;0.3;13 %;0.8;0.7;91 %;36.2;0.7;16.4;10.3;63 %;2.7;1.7;62 %;10.7;7.5;71 %;5.8;2.8;48 %;2;1.2;59 %;4.7;3.3;70 %;6;0.7;0;0;0 %;0;7.3;7.2;99 %
13;Валерий Соломаха;ЛФД;Волга Ульяновск;47;0;0;0;0;0 %;1.9;1.9;100 %;0.23;1.9;1.9;0;0;0;68.9;34.5;50 %;11.5;1.9;0;0 %;11.5;0;13.4;13.4;1.9;23;15.3;67 %;9.6;9.6;100 %;3.8;1.9;50 %;0;0;0 %;23;15.3;67 %;5.7;3.8;67 %;3.8;3.8;100 %;1.9;0;0 %;0;0;0 %;36.4;5.7;30.6;7.7;25 %;21.1;7.7;36 %;3.8;0;0 %;26.8;7.7;29 %;1.9;0;0 %;3.8;0;0 %;1.9;0;0;0;0 %;0;0;0;0 %
10;Валерий Царукян;ЛАП;Волгарь Астрахань;892;0;0.2;0.6;0.6;100 %;1.7;0.6;35 %;0.15;1.1;2.6;0.1;0.1;0;65.5;41.4;63 %;1.6;0.5;0;0 %;12.9;3.9;12;5.8;0.9;32.2;23.7;74 %;13.1;7.5;57 %;6.5;6.3;97 %;1.9;1;53 %;30.3;22.7;75 %;12;8.7;72 %;5.4;2.4;44 %;0.8;0;0 %;0.9;0.8;89 %;33.2;0.6;21.4;7.2;33 %;3.3;0.2;6 %;9.7;3.3;34 %;11.7;3.8;33 %;6.3;2.7;44 %;3.7;2;54 %;3;1.7;0.3;0.2;67 %;2.4;0.1;0.1;100 %
92;Валерий Чуперка;ПОП;Кубань Краснодар;562;0.2;0.5;0.3;0.3;100 %;1;0.2;17 %;0.16;1.1;1.3;0;0.5;0;61.7;50.1;81 %;0.5;0.3;0.2;50 %;6.7;3.5;13.1;4;0.6;40.7;35.1;86 %;17.8;13.6;77 %;7.4;7;96 %;2.1;1;46 %;38.6;34.1;88 %;11.2;9.1;81 %;2.2;1.1;50 %;0.6;0.2;25 %;0.3;0.3;100 %;33;0.2;9;4.5;50 %;0.6;0.3;50 %;6.7;4;60 %;2.2;0.5;21 %;1.1;0.6;57 %;3;2.1;68 %;3.7;1;0;0;0 %;0.8;0.2;0.2;100 %
38;Василий Алейников;ЦФД;СКА Хабаровск;281;0.6;0;0.3;0.3;100 %;2.9;1.3;44 %;0.29;0.3;1.6;0;0;0;47.4;25.6;54 %;6.7;1.6;0.6;40 %;9;2.2;6.4;3.8;1.3;20.2;15.1;75 %;4.8;1.9;40 %;6.4;5.4;85 %;0;0;0 %;20.2;15.1;75 %;6.1;4.5;74 %;1.6;1;60 %;0.3;0;0 %;0.6;0.3;50 %;31.7;3.5;18.9;4.2;22 %;5.1;1.3;25 %;4.2;0.6;15 %;14.7;3.5;24 %;3.5;1;27 %;1.3;0.6;50 %;1;1;0.6;0.3;50 %;1;0;0;0 %
33;Вачхолз Уэсли Ната;ЛОП;Родина Москва;795;0.2;0;0.3;0.3;100 %;1.2;0.6;45 %;0.13;1.5;1.9;0;0.3;0;68.3;53.4;78 %;2.8;0.5;0.2;50 %;6.1;1.7;16.1;6.6;0.1;37.8;32.7;87 %;14.9;11.4;77 %;8.5;8.2;96 %;1;0.8;78 %;36.8;31.9;87 %;11.2;9.3;83 %;1.6;1;64 %;0.3;0.1;33 %;0.8;0.8;100 %;34.8;1.2;17.9;9.1;51 %;5.3;2.6;49 %;9.4;5.4;58 %;8.5;3.6;43 %;1.9;1;53 %;3.5;2.3;65 %;4.5;0.9;0;0;0 %;0.5;0.1;0.1;100 %
6;Виктор Свежов;ЛЦП;КамАЗ;764;0;0;0;0;0 %;0;0;0 %;0.00;2.7;2.2;0;0.1;0.1;71.6;53.5;75 %;0.5;0;0;0 %;9.3;4.5;18.6;7.9;0.6;39.9;31.9;80 %;21.1;15.1;72 %;5.8;5.4;94 %;1.9;0.8;44 %;38;31.1;82 %;10;8.1;81 %;1.3;0.5;36 %;0.7;0;0 %;0.2;0.2;100 %;30.3;0.4;16.8;7.8;46 %;2.6;1.1;41 %;10.6;5.4;51 %;6.2;2.4;38 %;0.9;0.2;25 %;5.7;2.6;46 %;4.4;1.1;0;0;0 %;0;0.6;0.6;100 %
44;Виталий Лисакович;ЛФД;Рубин Казань;676;0.3;0;0.4;0.4;100 %;3.2;0.8;25 %;0.38;1.9;0.8;0;0.1;0;47;26.9;57 %;6.5;1.5;0.3;18 %;11.1;2;8.7;6.1;2.1;19.3;13;68 %;10.7;6.1;58 %;3.5;3.1;88 %;0.5;0.3;50 %;18.8;12.8;68 %;8;4.9;62 %;2.5;1.1;42 %;0.3;0;0 %;0.3;0.3;100 %;26.8;2.7;17.3;7.2;42 %;4.3;1.3;31 %;3.1;1.5;48 %;14.2;5.7;40 %;5.6;3.1;55 %;1.2;0.7;56 %;1.3;0.7;0.4;0;0 %;0.4;0;0;0 %
5;Виталий Стежко;ЛЦЗ;Енисей;694;0;0.1;0.1;0.1;100 %;0.4;0.1;33 %;0.08;1.3;0.3;0;0.1;0;87.1;76.8;88 %;1.4;0.3;0;0 %;5.8;5.2;20.7;2.1;0;60.8;55;90 %;38.1;32.4;85 %;4;4;100 %;2.2;1.4;65 %;58.6;53.6;91 %;5.4;4.9;90 %;0.1;0;0 %;0;0;0 %;0.1;0.1;100 %;46.4;0.9;13.1;9.5;72 %;6.6;4.8;73 %;11.7;8.9;77 %;1.4;0.5;36 %;0.1;0.1;100 %;1.3;0.9;70 %;6.7;1;0;0;0 %;0;0;0;0 %
9;Владимир Азаров;ПВ;Акрон;616;0.1;0.3;0.6;0.6;100 %;1.5;0.9;60 %;0.12;2;0.7;0.1;0.3;0;59.2;39.4;67 %;6.1;0.3;0.1;50 %;11.4;2;11;7.3;1.5;30.7;22.5;73 %;12.4;7.6;61 %;7.5;7.3;98 %;0.6;0.1;25 %;30.1;22.4;74 %;11.4;7.7;68 %;3.9;1.2;30 %;2.2;0.3;13 %;0.6;0.6;100 %;33;2.6;19.1;9.2;48 %;3.8;1.9;50 %;5.4;3.1;57 %;13.7;6.1;45 %;3.8;2;54 %;4.1;2.8;68 %;2.5;0.3;0;0;0 %;0.4;0.6;0.3;50 %
8;Владимир Кабахидзе;ЛОП;Велес Москва;1226;0;0;0;0;0 %;0.8;0.2;27 %;0.03;1.8;2.1;0.1;0.2;0;76.1;61.8;81 %;0.5;0.1;0;0 %;7.9;2.8;18;7.4;0.7;45;38.6;86 %;20.9;15.6;75 %;8.5;8.4;98 %;1.3;0.7;56 %;43.7;37.9;87 %;13.1;10.8;83 %;1.4;0.5;37 %;0.4;0;0 %;0.2;0.2;100 %;36.6;0.1;16.4;10;61 %;2.1;1.3;62 %;9;6.2;69 %;7.5;3.8;51 %;2.9;2.1;73 %;4.6;2.7;59 %;5.6;0.7;0;0;0 %;0.1;0.1;0.1;100 %
55;Владимир Ковачевич;ПЦЗ;Динамо Махачкала;1147;0.1;0;0.1;0.1;100 %;0.2;0.1;33 %;0.07;1.2;1.1;0.2;0.3;0;73;60.2;82 %;1.5;0.2;0.1;50 %;8.6;6.2;23;4.3;0.5;42.2;34.2;81 %;28;20.6;74 %;4.4;4.4;100 %;2.1;1.2;56 %;40.1;33;82 %;3.7;2.9;79 %;1.2;0.5;47 %;0.2;0.1;33 %;0.3;0.2;75 %;21.5;1.1;16.2;12.1;75 %;7.8;5.7;73 %;11.4;9.1;80 %;4.8;3;62 %;0.2;0.2;100 %;2.8;2.4;83 %;5.7;2.7;0;0;0 %;0;3.8;3.4;88 %
77;Владимир Лобкарев;ПВ;Кубань Краснодар;52;0;0;0;0;0 %;1.7;0;0 %;0.03;1.7;3.5;0;1.7;0;39.8;29.4;74 %;3.5;0;0;0 %;6.9;3.5;13.8;6.9;0;17.3;12.1;70 %;6.9;3.5;50 %;5.2;3.5;67 %;1.7;0;0 %;15.6;12.1;78 %;0;0;0 %;1.7;1.7;100 %;0;0;0 %;0;0;0 %;19;0;10.4;5.2;50 %;3.5;1.7;50 %;3.5;1.7;50 %;6.9;3.5;50 %;3.5;1.7;50 %;1.7;0;0 %;5.2;0;0;0;0 %;0;0;0;0 %
20;Владимир Марухин;ПП;Волга Ульяновск;182;0;0;0;0;0 %;1;0.5;50 %;0.07;1;1;0;0;0;62.8;33.1;53 %;3.5;0;0;0 %;17.8;4.9;9.9;3.5;1.5;30.7;17.3;56 %;19.8;10.4;53 %;4.5;3.5;78 %;1.5;0.5;33 %;29.2;16.8;58 %;18.8;10.9;58 %;5.9;1;17 %;4.5;0;0 %;0;0;0 %;33.1;1;19.8;5.4;28 %;2.5;1;40 %;8.9;2.5;28 %;10.9;3;27 %;4.9;2;40 %;5.4;1.5;27 %;4;1.5;0.5;0.5;100 %;0;0.5;0.5;100 %
65;Владимир Москвичёв;ЦОП;Нефтехимик;1224;0;0.1;0.2;0.2;100 %;0.4;0.2;60 %;0.01;1.5;0.9;0;0.1;0;67.3;54.5;81 %;0.5;0;0;0 %;6.1;3.8;22.1;7.5;0.1;35;29.5;84 %;17.5;12.9;74 %;5.2;5.1;99 %;1.5;0.4;24 %;33.5;29.1;87 %;8.8;7.5;86 %;1.2;0.7;56 %;0.5;0;0 %;0.4;0.2;60 %;21.9;0.2;16.8;10;59 %;4.3;2.6;59 %;11.4;6.8;59 %;5.4;3.2;59 %;1.3;0.8;61 %;4.5;2.8;62 %;7;0.8;0;0;0 %;0;0.1;0.1;100 %
50;Владимир Сугробов;ВРТ;СКА Хабаровск;13;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;20.8;13.8;67 %;0;0;0;0 %;6.9;6.9;0;0;0;20.8;13.8;67 %;13.8;6.9;50 %;0;0;0 %;6.9;6.9;100 %;13.8;6.9;50 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;13.8;0;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0;0;0 %;0;0;0;0 %
29;Владимир Хозин;ЛЦЗ;Енисей;216;0;0;0.4;0.4;100 %;2.1;1.2;60 %;0.02;0.8;0;0;0.4;0;81.7;62.5;77 %;0.4;0;0;0 %;12.5;8.8;19.2;4.2;0;48.3;35.8;74 %;34.6;22.9;66 %;2.1;2.1;100 %;2.9;1.2;43 %;45.4;34.6;76 %;7.9;5.4;68 %;1.2;0.4;33 %;0;0;0 %;0;0;0 %;34.2;0.4;15;10.4;69 %;7.1;4.6;65 %;11.7;8.8;75 %;3.3;1.7;50 %;1.2;1.2;100 %;2.9;2.5;86 %;5.8;1.2;0.4;0;0 %;0;0;0;0 %
46;Владимир Ярлыков;ЛЦЗ;Краснодар 2;95;0.9;0;0;0;0 %;0.9;0.9;100 %;0.14;1.9;0;0;0.9;0;55.9;48.3;86 %;1.9;0.9;0.9;100 %;1.9;1.9;15.2;0.9;0;34.1;32.2;94 %;18;16.1;89 %;4.7;4.7;100 %;6.6;6.6;100 %;27.5;25.6;93 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;24.6;0.9;12.3;7.6;62 %;9.5;6.6;70 %;10.4;6.6;64 %;1.9;0.9;50 %;0;0;0 %;1.9;0.9;50 %;3.8;1.9;0;0;0 %;0;0;0;0 %
46;Владимир Ярлыков;ЛЦЗ;Краснодар 2;189;0;0;0;0;0 %;0;0;0 %;0.00;1.4;0.5;0;0.5;0;68.6;55.2;81 %;1;0;0;0 %;6.7;5.2;20;1.9;1;40.5;34.8;86 %;23.3;17.6;76 %;3.3;3.3;100 %;4.3;2.9;67 %;36.2;31.9;88 %;1.9;1;50 %;0;0;0 %;0;0;0 %;0;0;0 %;25.7;1;15.2;9.5;63 %;6.7;4.3;64 %;11.4;8.1;71 %;3.8;1.4;38 %;0;0;0 %;2.4;1.9;80 %;7.1;1.9;0;0;0 %;0;0;0;0 %
19;Владислав Брагин;ПФА;Волгарь Астрахань;54;0;0;0;0;0 %;1.7;0;0 %;0.50;1.7;0;0;0;0;35;20;57 %;10;1.7;0;0 %;3.3;0;5;3.3;0;16.7;13.3;80 %;1.7;1.7;100 %;5;5;100 %;0;0;0 %;16.7;13.3;80 %;8.3;6.7;80 %;0;0;0 %;0;0;0 %;0;0;0 %;26.7;8.3;15;5;33 %;8.3;0;0 %;3.3;3.3;100 %;11.7;1.7;14 %;1.7;1.7;100 %;1.7;1.7;100 %;0;0;0;0;0 %;0;0;0;0 %
89;Владислав Лазарев;ПЦП;Балтика;990;0.1;0;0.4;0.4;100 %;1.5;0.8;53 %;0.15;2.1;1.8;0.2;0.3;0;53.1;39;73 %;3.5;0.4;0.1;25 %;7.2;2.1;14;7.5;0.5;27.6;21.5;78 %;13.9;9.4;67 %;6;5.5;92 %;0.6;0.3;43 %;27;21.2;78 %;9.2;6.7;73 %;2.7;1.5;53 %;0.5;0.3;50 %;0.5;0.5;83 %;25;1.2;13.7;6.7;49 %;3.6;1.6;45 %;5.5;3.4;62 %;8.3;3.4;41 %;1.5;0.9;63 %;3;1.7;58 %;3.5;0.5;0.1;0;0 %;0.5;0;0;0 %
95;Владислав Луташев;ЦФД;Енисей;176;0;0;1;1;100 %;1.5;0.5;33 %;0.44;1;0.5;0.5;0;0;36.8;18.4;50 %;13.8;0.5;0;0 %;4.6;0.5;7.2;7.2;1;12.8;9.7;76 %;4.1;2;50 %;2.6;2.6;100 %;0;0;0 %;12.8;9.7;76 %;4.1;3.6;88 %;1.5;0.5;33 %;0;0;0 %;1.5;1.5;100 %;23.5;5.6;17.9;4.6;26 %;7.7;2.6;33 %;2;0;0 %;15.9;4.6;29 %;1.5;1;67 %;0;0;0 %;1.5;0;0;0;0 %;0;0;0;0 %
70;Владислав Самко;ЛВ;Краснодар;970;0.1;0;0.6;0.6;100 %;1.3;0.5;36 %;0.16;1.5;3.3;0.2;0.3;0;65.4;50;76 %;3;0.7;0.1;13 %;7.5;1.8;11.9;5.7;0.9;37.4;31.8;85 %;17.1;12.8;75 %;6.4;6.1;96 %;1.7;1.2;72 %;35.7;30.6;86 %;12.2;10;82 %;3.3;2;61 %;0.1;0;0 %;0.9;0.9;100 %;35;1.2;17.5;9.1;52 %;2.7;0.8;31 %;7.9;4.6;59 %;9.6;4.5;46 %;3.6;2.6;72 %;4;2.1;53 %;2.5;1.7;0.2;0;0 %;0.9;0.6;0.6;100 %
97;Владислав Скавыш;ПОП;Енисей;26;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;58.8;48.5;82 %;0;0;0;0 %;6.9;0;6.9;3.5;0;48.5;41.5;86 %;20.8;17.3;83 %;6.9;3.5;50 %;0;0;0 %;48.5;41.5;86 %;38.1;31.2;82 %;0;0;0 %;0;0;0 %;3.5;3.5;100 %;45;0;3.5;0;0 %;0;0;0 %;3.5;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;3.5;0;0;0;0 %;0;0;0;0 %
9;Владлен Бабаев;ПВ;КамАЗ;712;0;0;0;0;0 %;1.3;0.3;20 %;0.12;0.4;1;0.4;0.3;0;54.9;37.9;69 %;3;0.4;0;0 %;8.6;1.9;9.6;3.7;1.1;30.3;24;79 %;12.6;10.1;80 %;6.2;5.7;92 %;0.5;0.4;75 %;29.8;23.6;79 %;11.9;9.2;78 %;3.4;2.1;63 %;1.8;0.5;29 %;1.4;1.4;100 %;32.2;1.6;16.6;7.5;45 %;4.8;1.5;32 %;5.8;3.2;54 %;10.7;4.3;40 %;3.2;2;64 %;1.8;1.3;71 %;1.6;0.4;0;0;0 %;0.8;0.1;0.1;100 %
80;Вячеслав Бардыбахин;ПЗ;Енисей;755;0;0;0;0;0 %;1;0.1;13 %;0.03;2.1;0.7;0.2;0.2;0;89;72;81 %;3.3;0;0;0 %;9.3;3.8;17.9;6;1;53;46.3;87 %;24.9;20.7;83 %;11.9;11.9;100 %;1.5;1.2;77 %;51.5;45.1;88 %;12.9;11;85 %;2.3;1.2;53 %;1.4;0.2;17 %;0.5;0.5;100 %;39.2;1.8;20.9;13.1;63 %;3.8;2.6;69 %;12.6;8.3;66 %;8.2;4.8;58 %;3.8;2.3;59 %;6;4.2;70 %;5;1;0;0;0 %;0;7.3;7.3;100 %
5;Вячеслав Зинков;ПОП;Шинник;1063;0;0;0.2;0.2;100 %;0.8;0.2;20 %;0.10;0.8;1.3;0;0.1;0;66.5;46.2;69 %;1.7;0.2;0;0 %;10.3;3.4;16.4;8.2;0.4;36.9;27.4;74 %;20.6;13.5;66 %;5.1;4.7;92 %;1.3;0.8;60 %;35.6;26.7;75 %;11.6;9;77 %;3.6;1.6;45 %;0.4;0;0 %;1.1;1.1;100 %;31.7;0.8;18.1;8.6;47 %;8.2;4.1;49 %;8.6;4.5;52 %;9.6;4.1;42 %;1.6;1.2;74 %;3;1;33 %;3.6;0.9;0.2;0;0 %;1.3;0;0;0 %
84;Вячеслав Литвинов;ПЦЗ;Краснодар;432;0.2;0;0.2;0.2;100 %;0.2;0.2;100 %;0.08;1.7;0.8;0;0.2;0;72.1;59.2;82 %;1.2;0.2;0.2;100 %;6.7;5.4;17.9;1.2;0.2;43.5;37.3;86 %;22.9;17.1;75 %;2.7;2.5;92 %;4;2.3;58 %;39.6;35;88 %;1.5;0.6;43 %;0.4;0.2;50 %;0;0;0 %;0;0;0 %;29;0.6;14.4;9;62 %;5.2;2.7;52 %;12.3;8.3;68 %;2.1;0.6;30 %;0.4;0.2;50 %;2.3;1.9;82 %;7.9;2.3;0;0;0 %;0;0;0;0 %
99;Геворк Саркисян;ЦФД;Велес Москва;597;0.9;0.2;0.2;0.2;100 %;1.8;1.4;75 %;0.34;0.6;1.4;0.8;0.2;0;43.1;23.1;53 %;4.2;1.2;0.9;75 %;9.5;2.9;7.5;3.6;1.2;18.5;12.2;66 %;6.6;3.3;50 %;4.7;3.9;84 %;0.2;0;0 %;18.4;12.2;66 %;7.8;5.6;71 %;1.2;0.8;63 %;0.5;0;0 %;0.3;0.3;100 %;29.2;2.3;17.6;5.4;31 %;5.4;1.8;33 %;4.7;2.6;55 %;13;2.9;22 %;3.5;1.5;43 %;0.8;0.3;40 %;2.3;0;0;0;0 %;0.2;0.2;0.2;100 %
9;Гедеон Гузина;ПФД;Балтика;1064;0.3;0.1;0.3;0.3;100 %;2.2;0.5;23 %;0.36;1.5;1.5;1;0.1;0;64.2;34.4;54 %;11.5;0.9;0.3;27 %;12.5;1.9;16.1;12;1.2;25.6;15.5;60 %;11.7;5.9;51 %;3;2.5;83 %;1.1;0.3;31 %;24.5;15.1;62 %;10.2;5.9;58 %;2.6;0.8;32 %;1.2;0.2;14 %;0.6;0.6;100 %;39.5;7.6;30.4;12.9;43 %;17.3;7.9;46 %;5.2;2.8;54 %;25.2;10.2;40 %;2.2;1;46 %;1.9;1.4;73 %;2;0.1;0;0;0 %;0;0.2;0.1;50 %
33;Георгий Арутюнян;ПЦЗ;Краснодар;284;0;0;0;0;0 %;0;0;0 %;0.00;0.6;0.3;0;0;0;60.5;48.5;80 %;2.2;0;0;0 %;8.9;8.6;15.8;1;0.3;39.9;31.4;79 %;29.5;21.2;72 %;1.3;1.3;100 %;2.5;1.6;63 %;37.4;29.8;80 %;2.9;2.5;89 %;0;0;0 %;0;0;0 %;0;0;0 %;31.1;1.6;8.9;6.3;71 %;4.4;2.5;57 %;6.7;5.7;86 %;2.2;0.6;29 %;0.3;0.3;100 %;0.6;0.6;100 %;5.4;0.6;0;0;0 %;0;0;0;0 %
23;Георгий Натабашвили;ВРТ;Алания;99;0;0;0;0;0 %;0;0;0 %;0.00;0;0.9;0;0.9;0;28.2;21.8;77 %;0;0;0;0 %;5.5;5.5;5.5;0;0;21.8;16.4;75 %;20;14.5;73 %;0;0;0 %;13.6;8.2;60 %;8.2;8.2;100 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;17.3;0;1.8;1.8;100 %;0.9;0.9;100 %;1.8;1.8;100 %;0;0;0 %;0;0;0 %;0;0;0 %;2.7;0.9;0;0;0 %;0;0;0;0 %
21;Георгий Юдинцев;ПЗ;Родина Москва;946;0;0.2;0.6;0.6;100 %;0.5;0.2;40 %;0.01;1.7;0.2;0.1;0.3;0;79.8;59.8;75 %;1;0;0;0 %;14.2;6.8;16.4;4.9;1;51.4;39.3;76 %;31.3;22;70 %;7.1;6.9;97 %;3.8;1.6;43 %;47.6;37.7;79 %;14.1;10.9;78 %;4.9;2.2;45 %;3.4;0.4;11 %;0.7;0.7;100 %;33.7;0.1;12.7;6.8;53 %;2.1;1.2;59 %;7.4;4.4;59 %;5.3;2.4;45 %;2.2;1.1;52 %;2.8;1.8;66 %;4.4;0.3;0;0;0 %;0;8.6;8.2;96 %
7;Герман Паскин;ЛП;Волга Ульяновск;586;0.3;0;0.2;0.2;100 %;1.7;0.6;36 %;0.22;1.1;0.9;0;0.5;0;51.1;30.3;59 %;2.9;0.5;0.3;67 %;10.4;2.9;10;3.8;0.9;24.7;17.4;70 %;13.2;8.6;65 %;4.3;4.1;96 %;0;0;0 %;24.7;17.4;70 %;9.7;6.6;68 %;2.6;0.6;24 %;1.4;0;0 %;0.6;0.6;100 %;28.6;1.1;17.2;4.9;29 %;3.4;0.6;18 %;6.5;2.5;38 %;10.8;2.5;23 %;3.2;1.1;33 %;3.7;1.5;42 %;3.7;0;0;0;0 %;0;0.2;0.2;100 %
88;Гиа Григалава;ЛЦЗ;Арсенал Тула;720;0;0;0.1;0.1;100 %;0;0;0 %;0.00;1;1.5;0;0.4;0;86.4;71.9;83 %;0.6;0;0;0 %;10.2;7.5;20.2;3;0.9;57.5;48.4;84 %;40.6;31.8;78 %;3.4;3.4;100 %;5.5;3.2;59 %;52;45.1;87 %;7.6;6.8;89 %;1.5;1;67 %;0;0;0 %;0.1;0.1;100 %;40.2;0.4;11.8;8.1;69 %;6;4.1;69 %;9.5;7.1;75 %;2.2;1;44 %;0.4;0.1;33 %;1.9;1.5;80 %;5.4;2.6;0;0;0 %;0;0.8;0.6;83 %
8;Гиорги Махатадзе;ПОП;Кубань Краснодар;948;0;0.2;0.4;0.4;100 %;0.6;0.1;17 %;0.02;0.9;0.7;0;0.3;0;84.7;64.7;76 %;0.7;0.2;0;0 %;13.7;6.2;19.1;7.6;1.2;52.3;41.3;79 %;29.7;20.6;69 %;6.3;6.1;97 %;3.6;2.1;58 %;48.7;39.2;81 %;13.2;10;76 %;4.9;2;40 %;0.8;0.3;38 %;1.1;1;92 %;40.2;0.1;15;8;53 %;3.4;2.1;61 %;9.1;5;55 %;5.9;2.9;50 %;3;1.6;53 %;4.4;2.7;61 %;5.6;1.5;0;0;0 %;1;0.2;0.2;100 %
3;Годфри Биток Стефен;ЛЗ;Волга Ульяновск;498;0;0;0;0;0 %;0.2;0;0 %;0.00;0.5;0.4;0;0.2;0;86.7;69.8;80 %;0;0;0;0 %;12.3;5.8;14.8;4.2;0.7;56.9;46.8;82 %;28.4;20.8;73 %;14.6;14.3;98 %;1.8;0.9;50 %;55.1;45.9;83 %;20.4;17.2;84 %;3.3;1.1;33 %;2.5;0;0 %;0.4;0.4;100 %;36.7;0;13.9;7.8;56 %;2.7;1.8;67 %;7.8;4.5;58 %;6.1;3.3;53 %;4.5;3.1;68 %;1.8;1.4;80 %;5.2;0.5;0;0;0 %;0;11.6;11.2;97 %
14;Гоча Гогричиани;ПФД;Балтика;114;0.8;0.8;0.8;0.8;100 %;3.2;2.4;75 %;0.33;2.4;0.8;0;0;0;61.6;29.2;47 %;11.1;1.6;0.8;50 %;12.6;1.6;14.2;8.7;0.8;21.3;11.1;52 %;11.8;3.2;27 %;3.9;3.2;80 %;0.8;0;0 %;20.5;11.1;54 %;5.5;2.4;43 %;1.6;1.6;100 %;1.6;1.6;100 %;0.8;0.8;100 %;40.3;6.3;29.2;8.7;30 %;18.9;6.3;33 %;4.7;2.4;50 %;24.5;6.3;26 %;1.6;0;0 %;0.8;0;0 %;3.2;0;0;0;0 %;0;0;0;0 %
