Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Данил Казанцев;Сокол Саратов;177;33;ЗП ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.02;15.00;80 %;-;-;-;-;3.00;33 %;-;-;-;-;1.00;0 %;-;-;4.00;2.00;-;1.00;-;-;2.00;50 %;1.00;0 %;1.00;100 %;1.00;0 %;-;-;-;-;-;-;4.00;2.00;1;-;-;1.00;25.00;20.00;80 %;0 %;-;1.00;-;-;0.02;-;0.00;0.22;1.11;-0.89;-;-;12.00;-;-;1.00;-;-;-;-;1.00;-;1.00;-;-;-;-
Дмитрий Лесников;ФК Волгарь;180;33;Ф ЛЦ;-;-;1.00;-;0 %;1.00;-;1.00;-;-;-;-;-;2.00;-;0.38;5.00;80 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;-;-;3.00;-;1.00;11.00;55 %;6.00;67 %;5.00;40 %;1.00;0 %;-;-;-;-;5.00;60 %;1.00;3.00;1;-;-;1.00;23.00;15.00;65 %;0 %;-;-;2.00;-;0.19;-;0.00;0.46;0.27;0.19;-;-;4.00;-;-;-;-;-;-;-;6.00;4.00;2.00;-;-;-;3.00
Андрес Фабиан Понсе Нуньес;ФК Акрон Тольятти;166;33;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.02;10.00;50 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;7.00;-;-;-;-;-;13.00;31 %;2.00;0 %;11.00;36 %;6.00;0 %;1.00;100 %;1.00;100 %;-;-;2.00;1.00;1;-;-;1.00;27.00;12.00;44 %;0 %;1.00;-;-;-;0.02;-;0.00;0.63;0.46;0.17;-;-;5.00;-;-;1.00;-;-;1.00;-;4.00;-;4.00;-;1.00;1.00;-
Илья Стефанович;Торпедо Москва;174;33;Ф ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;8.00;63 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;-;-;-;-;-;6.00;50 %;-;-;6.00;50 %;4.00;25 %;-;-;-;-;-;-;-;-;1;-;-;1.00;14.00;8.00;57 %;-;-;-;-;0.17;-;-;-;0.46;0.63;-0.17;-;-;5.00;-;-;-;-;-;-;-;3.00;-;3.00;1.00;-;-;-
Кирилл Ушатов;ФК Волгарь;179;33;П ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.00;63 %;-;-;-;-;3.00;33 %;-;-;-;-;-;-;-;-;4.00;3.00;-;4.00;-;-;8.00;25 %;5.00;20 %;3.00;33 %;-;-;1.00;0 %;-;-;3.00;0 %;5.00;3.00;1;-;-;1.00;24.00;15.00;63 %;-;-;-;-;-;-;-;-;0.46;0.27;0.19;-;-;5.00;-;-;1.00;-;-;-;-;2.00;1.00;1.00;-;-;-;-
Анатолий Макаров;Арсенал Тула;180;30;П ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;5.00;60 %;-;-;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;-;1.00;1.00;1.00;-;3.00;67 %;2.00;50 %;1.00;100 %;1.00;100 %;-;-;-;-;1.00;100 %;2.00;1.00;1;1.00;1.00;-;12.00;8.00;67 %;-;-;-;-;-;-;-;-;0.33;0.21;0.12;-;-;3.00;-;-;-;-;-;-;-;2.00;1.00;1.00;1.00;-;-;1.00
Батраз Гурциев;Алания Владикавказ;198;28;АП П;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;1.00;0.03;4.00;75 %;-;-;-;-;-;-;-;-;-;-;-;-;1.00;0 %;3.00;1.00;-;-;-;1.00;7.00;14 %;1.00;0 %;6.00;17 %;3.00;0 %;3.00;33 %;2.00;50 %;-;-;-;-;1;-;-;1.00;13.00;6.00;46 %;100 %;-;-;-;-;0.03;-;0.00;0.25;0.36;-0.11;-;-;3.00;-;-;-;-;-;-;-;1.00;-;1.00;-;1.00;1.00;-
Михаил Костюков;Динамо Махачкала;183;28;Ф ПЦ;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;1.00;1.00;0.12;8.00;50 %;-;-;-;-;2.00;0 %;1.00;0 %;-;-;1.00;0 %;1.00;0 %;5.00;1.00;-;1.00;-;1.00;14.00;50 %;2.00;100 %;12.00;42 %;8.00;63 %;1.00;0 %;1.00;0 %;-;-;2.00;-;1;-;-;1.00;26.00;15.00;58 %;100 %;-;-;-;-;0.12;-;0.00;0.68;0.05;0.63;-;-;4.00;-;-;-;-;-;-;-;7.00;2.00;5.00;5.00;-;-;-
Стефан Мелентьевич;Химки;183;28;ЗП ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;9.00;78 %;1.00;0 %;-;-;1.00;0 %;1.00;0 %;-;-;2.00;50 %;-;-;1.00;-;-;-;-;-;4.00;50 %;2.00;50 %;2.00;50 %;1.00;100 %;-;-;-;-;1.00;0 %;-;3.00;1;-;-;1.00;16.00;12.00;75 %;-;-;-;-;-;-;-;-;0.53;0.43;0.10;-;-;7.00;-;-;-;-;-;1.00;-;2.00;1.00;1.00;1.00;-;-;-
Степан Мельников;Алания Владикавказ;199;28;АП Л;-;-;-;-;-;-;-;3.00;-;-;-;-;-;-;-;-;10.00;60 %;-;-;1.00;0 %;1.00;100 %;1.00;100 %;-;-;1.00;100 %;2.00;50 %;2.00;-;-;1.00;-;-;6.00;50 %;2.00;50 %;4.00;50 %;-;-;3.00;67 %;1.00;0 %;1.00;100 %;-;3.00;1;-;-;1.00;19.00;12.00;63 %;-;-;-;-;-;-;-;-;0.25;0.36;-0.11;-;-;6.00;-;-;1.00;1.00;-;1.00;1.00;3.00;1.00;2.00;-;2.00;-;1.00
