Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Марат Бокоев;ФК Акрон Тольятти;206;31;ЗЛ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21.00;57 %;1.00;0 %;-;-;4.00;0 %;2.00;50 %;1.00;0 %;2.00;0 %;1.00;0 %;8.00;5.00;1.00;2.00;-;2.00;4.00;50 %;3.00;67 %;1.00;0 %;1.00;0 %;-;-;-;-;1.00;100 %;3.00;2.00;1;1.00;1.00;-;33.00;21.00;64 %;-;-;-;-;-;-;-;-;0.13;1.45;-1.32;-;-;12.00;-;-;-;1.00;-;-;-;2.00;2.00;-;-;-;-;1.00
Игорь Дружинин;Тюмень;180;31;ЗП ПЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;13.00;92 %;-;-;-;-;4.00;75 %;-;-;-;-;1.00;0 %;-;-;2.00;1.00;1.00;1.00;-;1.00;9.00;44 %;4.00;0 %;5.00;80 %;-;-;2.00;100 %;-;-;1.00;0 %;4.00;1.00;1;-;-;1.00;29.00;22.00;76 %;-;-;-;-;-;-;-;-;0.20;0.14;0.06;-;-;12.00;-;-;3.00;-;-;-;-;4.00;-;4.00;-;2.00;-;-
Шамиль Саадуев;Черноморец;245;31;П ПЦ;1.00;-;1.00;1.00;100 %;-;-;1.00;-;-;-;-;-;3.00;1.00;0.07;14.00;86 %;-;-;-;-;5.00;80 %;1.00;100 %;-;-;-;-;3.00;100 %;3.00;-;2.00;1.00;-;2.00;12.00;33 %;6.00;33 %;6.00;33 %;2.00;50 %;3.00;33 %;2.00;0 %;1.00;100 %;1.00;2.00;1;-;-;1.00;36.00;22.00;61 %;33 %;1.00;1.00;-;0.04;0.02;0.07;14.29;0.07;0.35;-0.28;0.09;0.09;12.00;-;-;4.00;1.00;-;-;3.00;4.00;2.00;2.00;1.00;1.00;-;1.00
Павел Шадрин;Тюмень;178;31;Ф ЛЦ;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;-;8.00;75 %;1.00;100 %;1.00;0 %;2.00;50 %;1.00;100 %;-;-;1.00;100 %;2.00;50 %;6.00;2.00;-;1.00;-;-;12.00;25 %;7.00;29 %;5.00;20 %;1.00;0 %;1.00;0 %;-;-;6.00;17 %;1.00;-;1;-;-;1.00;21.00;10.00;48 %;-;-;-;-;-;-;-;-;0.20;0.14;0.06;-;-;6.00;1.00;-;1.00;1.00;-;1.00;1.00;3.00;2.00;1.00;-;-;-;1.00
Тимофей Шипунов;СКА-Хабаровск;220;31;АП Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.02;20.00;85 %;-;-;-;-;7.00;86 %;-;-;-;-;6.00;83 %;-;-;2.00;1.00;1.00;2.00;1.00;-;6.00;50 %;2.00;50 %;4.00;50 %;2.00;50 %;2.00;100 %;1.00;100 %;-;-;3.00;2.00;1;-;-;1.00;33.00;25.00;76 %;0 %;1.00;-;-;0.04;0.02;-;0.00;0.09;0.84;-0.75;-;-;17.00;-;-;6.00;-;-;5.00;-;3.00;1.00;2.00;1.00;2.00;1.00;-
Константин Шильцов;Родина Москва;176;30;П П;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;8.00;88 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;2.00;-;-;-;-;-;10.00;40 %;5.00;40 %;5.00;40 %;2.00;50 %;2.00;50 %;2.00;50 %;2.00;50 %;-;2.00;1;-;-;1.00;20.00;13.00;65 %;-;-;-;-;-;-;-;-;0.31;0.56;-0.25;-;-;7.00;-;-;1.00;-;-;1.00;-;4.00;2.00;2.00;1.00;1.00;1.00;1.00
Дмитрий Югалдин;Сокол Саратов;187;28;П Л;-;-;-;-;-;-;-;1.00;-;1.00;-;-;1.00;1.00;-;0.01;11.00;91 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;2.00;-;-;2.00;1.00;2.00;5.00;40 %;4.00;25 %;1.00;100 %;2.00;0 %;1.00;100 %;-;-;2.00;50 %;2.00;3.00;1;-;-;1.00;24.00;19.00;79 %;0 %;1.00;-;-;-;0.01;-;0.00;0.24;0.61;-0.37;-;-;10.00;-;-;-;-;-;-;-;2.00;1.00;1.00;-;1.00;-;1.00
Георгий Гонгадзе;Торпедо Москва;175;27;Ф ЛЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;1.00;-;-;-;6.00;50 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;1.00;-;1.00;-;-;6.00;67 %;-;-;6.00;67 %;5.00;60 %;-;-;-;-;-;-;1.00;-;1;-;-;1.00;13.00;8.00;62 %;-;-;-;-;-;-;-;-;0.07;0.20;-0.13;0.17;0.17;3.00;-;-;-;-;-;-;-;4.00;-;4.00;3.00;-;-;-
Виталий Горулев;Ленинградец;179;27;АП Ц;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;-;-;11.00;91 %;-;-;-;-;2.00;100 %;-;-;-;-;1.00;100 %;3.00;100 %;-;-;-;1.00;1.00;-;1.00;100 %;1.00;100 %;-;-;-;-;-;-;-;-;-;-;1.00;3.00;1;-;-;1.00;16.00;15.00;94 %;-;-;-;-;0.25;-;-;-;0.34;0.05;0.29;-;-;10.00;-;-;2.00;-;-;1.00;3.00;1.00;1.00;-;-;-;-;-
Антон Килин;ФК Акрон Тольятти;194;27;АП Л;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;5.00;40 %;-;-;-;-;-;-;-;-;-;-;1.00;0 %;-;-;2.00;-;-;-;-;-;4.00;25 %;1.00;0 %;3.00;33 %;3.00;0 %;-;-;-;-;-;-;3.00;1.00;1;-;-;1.00;13.00;7.00;54 %;-;-;-;-;-;-;-;-;0.63;0.07;0.56;0.04;0.04;2.00;-;-;-;-;-;-;-;1.00;-;1.00;-;-;-;-
