Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Владимир Ковачевич;Динамо Махачкала;245;97;З ПЦ;1.00;-;1.00;1.00;100 %;-;-;-;-;1.00;-;-;-;1.00;1.00;0.27;14.00;86 %;-;-;-;-;6.00;100 %;1.00;100 %;-;-;1.00;100 %;-;-;1.00;1.00;-;1.00;-;1.00;8.00;75 %;8.00;75 %;-;-;5.00;60 %;-;-;-;-;2.00;100 %;5.00;1.00;1;1.00;-;-;32.00;28.00;88 %;100 %;-;-;-;-;0.27;0.27;3.70;1.5;1.15;-0.10;0.03;0.03;12.00;-;-;6.00;1.00;-;1.00;-;6.00;6.00;-;3.00;-;-;2.00
Ислам Машуков;Алания Владикавказ;185;97;Ф Ц;-;-;1.00;-;0 %;-;1.00;-;-;-;-;-;1.00;3.00;-;0.41;12.00;92 %;-;-;-;-;2.00;50 %;-;-;-;-;2.00;50 %;-;-;3.00;-;-;1.00;1.00;1.00;10.00;70 %;2.00;50 %;8.00;75 %;6.00;83 %;-;-;-;-;1.00;0 %;2.00;2.00;1;1.00;-;-;30.00;23.00;77 %;0 %;2.00;-;1.00;0.37;0.14;-;0.00;1.15;1.5;0.10;-;-;11.00;-;-;1.00;-;-;1.00;-;7.00;1.00;6.00;5.00;-;-;-
Евгений Осипов;Кубань Краснодар;214;97;З ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64.00;83 %;-;-;-;-;21.00;81 %;4.00;100 %;-;-;11.00;73 %;1.00;100 %;6.00;3.00;-;12.00;4.00;2.00;16.00;75 %;11.00;73 %;5.00;80 %;11.00;73 %;-;-;-;-;1.00;100 %;5.00;13.00;1;1.00;-;-;100.00;85.00;85 %;-;-;-;-;-;-;-;-;2.19;0.48;1.71;0.16;0.05;53.00;-;-;17.00;4.00;-;8.00;1.00;12.00;8.00;4.00;8.00;-;-;1.00
Константин Плиев;Алания Владикавказ;175;97;З ПЦ;-;-;-;-;-;-;1.00;-;1.00;2.00;1.00;-;-;-;-;-;74.00;85 %;-;-;1.00;0 %;13.00;85 %;5.00;80 %;-;-;7.00;86 %;4.00;50 %;7.00;2.00;-;3.00;-;5.00;12.00;50 %;12.00;50 %;-;-;5.00;40 %;-;-;-;-;5.00;60 %;9.00;4.00;1;1.00;-;-;105.00;88.00;84 %;-;-;-;-;0.10;-;-;-;1.15;1.5;0.10;-;-;63.00;-;-;11.00;4.00;-;6.00;2.00;6.00;6.00;-;2.00;-;-;3.00
Константин Савичев;ФК Акрон Тольятти;221;97;З П;-;-;-;-;-;-;-;-;-;1.00;-;-;-;1.00;-;0.02;56.00;80 %;-;-;3.00;67 %;6.00;67 %;-;-;-;-;3.00;33 %;4.00;50 %;7.00;2.00;-;5.00;-;2.00;11.00;55 %;6.00;50 %;5.00;60 %;1.00;100 %;3.00;100 %;1.00;100 %;3.00;67 %;9.00;14.00;1;1.00;-;-;98.00;81.00;83 %;0 %;-;1.00;-;0.10;0.02;-;0.00;0.48;2.19;-1.71;0.24;0.12;45.00;-;2.00;4.00;-;-;1.00;2.00;6.00;3.00;3.00;1.00;3.00;1.00;2.00
Давид Шавлохов;Алания Владикавказ;200;97;З ЛЦ;-;-;-;-;-;-;1.00;1.00;1.00;2.00;-;-;-;-;-;-;81.00;84 %;-;-;1.00;0 %;19.00;53 %;6.00;17 %;-;-;11.00;64 %;4.00;0 %;8.00;2.00;-;6.00;1.00;7.00;12.00;58 %;9.00;78 %;3.00;0 %;4.00;50 %;2.00;0 %;2.00;0 %;4.00;100 %;5.00;2.00;1;1.00;-;-;107.00;89.00;83 %;-;-;-;-;0.11;-;-;-;1.15;1.5;0.10;-;-;68.00;-;-;10.00;1.00;-;7.00;-;7.00;7.00;-;2.00;-;-;4.00
Идар Шумахов;Динамо Махачкала;228;97;З ЛЦ;-;-;-;-;-;-;-;3.00;-;-;-;-;-;-;-;-;26.00;77 %;-;-;-;-;6.00;67 %;1.00;0 %;-;-;1.00;100 %;-;-;4.00;3.00;-;4.00;1.00;-;9.00;78 %;6.00;83 %;3.00;67 %;3.00;67 %;2.00;100 %;1.00;100 %;2.00;100 %;6.00;3.00;1;1.00;-;-;44.00;36.00;82 %;-;-;-;-;0.10;-;-;-;1.5;1.15;-0.10;0.31;0.31;20.00;-;-;4.00;-;-;1.00;-;7.00;5.00;2.00;2.00;2.00;1.00;2.00
Александр Смирнов;Кубань Краснодар;210;97;ЗЛ;-;-;-;-;-;-;2.00;1.00;-;-;-;-;-;1.00;1.00;0.04;55.00;75 %;-;-;12.00;8 %;6.00;83 %;1.00;0 %;-;-;2.00;50 %;9.00;33 %;5.00;1.00;2.00;4.00;3.00;3.00;11.00;64 %;10.00;70 %;1.00;0 %;3.00;100 %;-;-;-;-;4.00;50 %;3.00;17.00;1;1.00;-;-;92.00;72.00;78 %;100 %;-;-;-;0.58;0.04;-;0.00;2.19;0.48;1.71;-;-;41.00;-;1.00;5.00;-;-;1.00;3.00;7.00;7.00;-;3.00;-;-;2.00
Иван Темников;Кубань Краснодар;188;97;З П;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.05;59.00;68 %;-;-;8.00;25 %;15.00;40 %;5.00;0 %;-;-;8.00;50 %;13.00;23 %;7.00;1.00;1.00;3.00;1.00;-;7.00;57 %;4.00;75 %;3.00;33 %;2.00;50 %;2.00;0 %;2.00;0 %;-;-;4.00;3.00;1;1.00;-;-;75.00;51.00;68 %;0 %;-;1.00;-;0.04;0.05;-;0.00;2.19;0.48;1.71;-;-;40.00;-;2.00;6.00;-;-;4.00;3.00;4.00;3.00;1.00;1.00;-;-;-
Максим Веденеев;Кубань Краснодар;217;97;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64.00;83 %;1.00;0 %;-;-;10.00;60 %;2.00;50 %;-;-;5.00;40 %;2.00;0 %;4.00;2.00;-;3.00;-;2.00;13.00;85 %;9.00;78 %;4.00;100 %;4.00;75 %;-;-;-;-;2.00;100 %;-;6.00;1;1.00;-;-;85.00;72.00;85 %;-;-;-;-;0.22;-;-;-;2.19;0.48;1.71;-;-;53.00;-;-;6.00;1.00;-;2.00;-;11.00;7.00;4.00;3.00;-;-;2.00
Залимхан Юсупов;Динамо Махачкала;192;97;ЗП ПЦ;-;-;-;-;-;-;2.00;1.00;-;-;1.00;-;-;1.00;-;0.05;30.00;67 %;-;-;-;-;3.00;0 %;2.00;50 %;-;-;1.00;0 %;3.00;33 %;6.00;3.00;1.00;5.00;1.00;1.00;7.00;43 %;4.00;50 %;3.00;33 %;-;-;-;-;-;-;1.00;100 %;4.00;11.00;1;1.00;-;-;55.00;39.00;71 %;0 %;1.00;-;-;0.14;0.05;-;0.00;1.5;1.15;-0.10;-;-;20.00;-;-;-;1.00;-;-;1.00;3.00;2.00;1.00;-;-;-;1.00
Артём Абрамов;КамАЗ Набережные Челны;203;96;З П;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;-;-;70.00;80 %;-;-;6.00;17 %;19.00;68 %;4.00;50 %;1.00;0 %;17.00;71 %;7.00;43 %;7.00;-;-;11.00;2.00;3.00;14.00;57 %;8.00;63 %;6.00;50 %;5.00;80 %;1.00;0 %;1.00;0 %;2.00;50 %;12.00;12.00;1;1.00;-;-;111.00;91.00;82 %;-;-;-;-;-;-;-;-;0.38;0.50;-0.12;0.04;0.04;56.00;-;1.00;13.00;2.00;-;12.00;3.00;8.00;5.00;3.00;4.00;-;-;1.00
Василий Алейников;Шинник;175;96;ЗП ЛЦ;-;-;1.00;-;0 %;-;1.00;1.00;-;1.00;-;-;-;1.00;-;0.05;44.00;82 %;-;-;-;-;5.00;60 %;-;-;-;-;3.00;33 %;2.00;0 %;11.00;3.00;3.00;6.00;2.00;1.00;18.00;39 %;11.00;45 %;7.00;29 %;3.00;33 %;2.00;50 %;-;-;5.00;60 %;7.00;3.00;1;1.00;-;-;77.00;54.00;70 %;0 %;1.00;-;-;-;0.05;-;0.00;0.20;1.67;-1.47;0.06;0.06;36.00;-;-;3.00;-;-;1.00;-;7.00;5.00;2.00;1.00;1.00;-;3.00
Алексей Бердников;Нефтехимик Нижнекамск;224;96;З П;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;38.00;74 %;-;-;4.00;25 %;13.00;69 %;2.00;50 %;-;-;6.00;83 %;7.00;43 %;6.00;2.00;-;10.00;2.00;3.00;17.00;82 %;17.00;82 %;-;-;3.00;67 %;-;-;-;-;5.00;80 %;10.00;4.00;1;1.00;-;-;74.00;61.00;82 %;-;-;-;-;-;-;-;-;0.50;0.38;0.12;0.04;0.04;28.00;-;1.00;9.00;1.00;-;5.00;3.00;14.00;14.00;-;2.00;-;-;4.00
Кирилл Большаков;Арсенал Тула;233;96;З ЛЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;2.00;1.00;0.16;43.00;84 %;-;-;-;-;20.00;70 %;8.00;75 %;3.00;100 %;11.00;64 %;1.00;100 %;3.00;1.00;1.00;5.00;1.00;2.00;7.00;86 %;5.00;80 %;2.00;100 %;5.00;80 %;-;-;-;-;1.00;100 %;7.00;9.00;1;1.00;-;-;71.00;61.00;86 %;50 %;1.00;-;-;-;0.08;-;0.00;1.67;0.20;1.47;-;-;36.00;-;-;14.00;6.00;3.00;7.00;1.00;6.00;4.00;2.00;4.00;-;-;1.00
Ишхан Гелоян;Арсенал Тула;209;96;АП Л;-;-;2.00;-;0 %;2.00;1.00;1.00;-;-;-;-;1.00;3.00;2.00;0.25;40.00;73 %;1.00;100 %;4.00;25 %;6.00;33 %;1.00;100 %;-;-;2.00;100 %;5.00;40 %;19.00;1.00;2.00;4.00;1.00;2.00;19.00;16 %;3.00;33 %;16.00;13 %;1.00;0 %;5.00;0 %;3.00;0 %;2.00;50 %;7.00;5.00;1;1.00;-;-;77.00;47.00;61 %;67 %;1.00;-;-;0.06;0.08;-;0.00;1.67;0.20;1.47;-;-;29.00;1.00;1.00;2.00;1.00;-;2.00;2.00;3.00;1.00;2.00;-;-;-;1.00
Максим Кайнов;Арсенал Тула;232;96;ЗП Ц;-;-;-;-;-;-;2.00;-;-;-;-;-;-;1.00;1.00;0.01;34.00;91 %;-;-;-;-;8.00;88 %;1.00;100 %;-;-;7.00;71 %;-;-;1.00;-;-;8.00;2.00;-;19.00;63 %;13.00;62 %;6.00;67 %;7.00;86 %;-;-;-;-;3.00;33 %;7.00;5.00;1;1.00;-;-;66.00;56.00;85 %;100 %;-;-;-;-;0.01;-;0.00;1.67;0.20;1.47;0.02;0.02;31.00;-;-;7.00;1.00;-;5.00;-;12.00;8.00;4.00;6.00;-;-;1.00
Юрий Кириллов;КамАЗ Набережные Челны;194;96;ЗП Ц;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;54.00;89 %;-;-;1.00;100 %;9.00;78 %;2.00;50 %;-;-;9.00;67 %;3.00;67 %;1.00;-;-;5.00;2.00;1.00;13.00;54 %;8.00;38 %;5.00;80 %;5.00;80 %;1.00;100 %;-;-;2.00;0 %;6.00;13.00;1;1.00;-;-;87.00;75.00;86 %;-;-;-;-;0.10;-;-;-;0.38;0.50;-0.12;-;-;48.00;-;1.00;7.00;1.00;-;6.00;2.00;7.00;3.00;4.00;4.00;1.00;-;-
Анатолий Макаров;Арсенал Тула;216;96;П ЛЦ;-;1.00;-;-;-;1.00;-;-;-;-;-;-;-;3.00;-;0.07;66.00;77 %;-;-;3.00;33 %;12.00;92 %;1.00;0 %;-;-;4.00;100 %;14.00;36 %;10.00;2.00;-;5.00;3.00;2.00;10.00;30 %;4.00;25 %;6.00;33 %;4.00;25 %;1.00;100 %;-;-;2.00;0 %;6.00;11.00;1;1.00;-;-;98.00;73.00;74 %;0 %;1.00;2.00;-;0.39;0.02;-;0.00;1.67;0.20;1.47;-;-;51.00;-;1.00;11.00;-;-;4.00;5.00;3.00;1.00;2.00;1.00;1.00;-;-
Валентин Пальцев;КамАЗ Набережные Челны;205;96;З ПЦ;-;-;-;-;-;-;1.00;3.00;1.00;1.00;-;-;-;3.00;2.00;0.08;59.00;83 %;-;-;-;-;16.00;69 %;1.00;100 %;-;-;9.00;67 %;2.00;50 %;2.00;-;2.00;8.00;-;5.00;15.00;73 %;13.00;77 %;2.00;50 %;7.00;100 %;1.00;0 %;1.00;0 %;3.00;67 %;10.00;9.00;1;1.00;-;-;104.00;87.00;84 %;67 %;1.00;-;-;-;0.03;-;0.00;0.38;0.50;-0.12;-;-;49.00;-;-;11.00;1.00;-;6.00;1.00;11.00;10.00;1.00;7.00;-;-;2.00
Максим Петров;Нефтехимик Нижнекамск;222;96;П П;-;-;1.00;-;0 %;2.00;1.00;1.00;-;1.00;-;-;1.00;1.00;1.00;0.11;37.00;65 %;1.00;100 %;2.00;0 %;14.00;57 %;1.00;100 %;-;-;8.00;75 %;6.00;67 %;10.00;1.00;-;4.00;2.00;1.00;21.00;57 %;8.00;50 %;13.00;62 %;7.00;57 %;5.00;40 %;2.00;50 %;5.00;60 %;5.00;14.00;1;1.00;-;-;80.00;58.00;73 %;100 %;-;-;-;0.16;0.11;-;0.00;0.50;0.38;0.12;-;-;24.00;1.00;-;8.00;1.00;-;6.00;4.00;12.00;4.00;8.00;4.00;2.00;1.00;3.00
Артём Попов;Арсенал Тула;220;96;З П;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;73.00;79 %;2.00;0 %;2.00;0 %;20.00;80 %;1.00;100 %;1.00;100 %;13.00;62 %;1.00;0 %;9.00;3.00;-;10.00;2.00;1.00;19.00;68 %;9.00;56 %;10.00;80 %;3.00;33 %;2.00;50 %;1.00;0 %;3.00;67 %;7.00;10.00;1;1.00;-;-;110.00;89.00;81 %;-;-;-;-;-;-;-;-;1.67;0.20;1.47;0.10;0.10;58.00;-;-;16.00;1.00;1.00;8.00;-;13.00;5.00;8.00;1.00;1.00;-;2.00
Савелий Ратников;КамАЗ Набережные Челны;226;96;З ЛЦ;-;-;-;-;-;-;-;4.00;-;1.00;-;-;-;-;-;-;77.00;88 %;1.00;0 %;-;-;21.00;76 %;4.00;50 %;1.00;0 %;12.00;67 %;-;-;3.00;1.00;-;9.00;1.00;4.00;20.00;85 %;19.00;84 %;1.00;100 %;8.00;75 %;1.00;100 %;-;-;-;-;11.00;9.00;1;1.00;-;-;123.00;111.00;90 %;-;-;-;-;-;-;-;-;0.38;0.50;-0.12;0.10;0.10;68.00;-;-;16.00;2.00;-;8.00;-;17.00;16.00;1.00;6.00;1.00;-;-
Артём Самсонов;Шинник;175;96;ЗП ПЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;-;0.02;38.00;68 %;-;-;-;-;10.00;50 %;5.00;40 %;-;-;6.00;33 %;3.00;33 %;8.00;3.00;2.00;6.00;1.00;1.00;16.00;50 %;11.00;45 %;5.00;60 %;2.00;0 %;1.00;100 %;-;-;5.00;80 %;6.00;4.00;1;1.00;-;-;68.00;45.00;66 %;0 %;1.00;-;-;-;0.02;-;0.00;0.20;1.67;-1.47;0.02;0.02;26.00;-;-;5.00;2.00;-;2.00;1.00;8.00;5.00;3.00;-;1.00;-;4.00
Дмитрий Шадринцев;Шинник;200;96;ЗЛ;-;-;-;-;-;1.00;-;1.00;1.00;3.00;-;-;-;-;-;-;51.00;63 %;1.00;100 %;2.00;50 %;14.00;50 %;5.00;0 %;1.00;0 %;5.00;20 %;4.00;50 %;14.00;7.00;3.00;10.00;-;5.00;18.00;67 %;12.00;75 %;6.00;50 %;7.00;57 %;4.00;50 %;1.00;100 %;5.00;100 %;8.00;13.00;1;1.00;-;-;98.00;70.00;71 %;-;-;-;-;0.10;-;-;-;0.20;1.67;-1.47;0.30;0.10;32.00;1.00;1.00;7.00;-;-;1.00;2.00;12.00;9.00;3.00;4.00;2.00;1.00;5.00
Максим Шоркин;Нефтехимик Нижнекамск;224;96;З ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;1.00;1.00;0.04;30.00;67 %;-;-;1.00;100 %;10.00;30 %;3.00;0 %;1.00;0 %;4.00;25 %;1.00;100 %;3.00;1.00;-;7.00;-;-;8.00;100 %;6.00;100 %;2.00;100 %;6.00;100 %;-;-;-;-;-;-;11.00;5.00;1;1.00;-;-;56.00;46.00;82 %;100 %;-;-;-;-;0.04;-;0.00;0.50;0.38;0.12;0.07;0.04;20.00;-;1.00;3.00;-;-;1.00;1.00;8.00;6.00;2.00;6.00;-;-;-
Марат Ситдиков;Нефтехимик Нижнекамск;216;96;ЗЛ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;36.00;64 %;-;-;1.00;0 %;9.00;44 %;2.00;0 %;-;-;6.00;50 %;6.00;33 %;6.00;-;-;4.00;1.00;-;12.00;83 %;12.00;83 %;-;-;5.00;60 %;-;-;-;-;5.00;100 %;3.00;7.00;1;1.00;-;-;59.00;44.00;75 %;-;-;-;-;0.11;-;-;-;0.50;0.38;0.12;-;-;23.00;-;-;4.00;-;-;3.00;2.00;10.00;10.00;-;3.00;-;-;5.00
Вячеслав Зинков;Шинник;196;96;З ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;63.00;84 %;-;-;-;-;10.00;60 %;4.00;75 %;-;-;1.00;0 %;-;-;1.00;-;-;12.00;-;1.00;14.00;71 %;11.00;64 %;3.00;100 %;9.00;89 %;2.00;100 %;-;-;-;-;17.00;10.00;1;1.00;-;-;106.00;92.00;87 %;-;-;-;-;-;-;-;-;0.20;1.67;-1.47;0.33;0.08;53.00;-;-;6.00;3.00;-;-;-;10.00;7.00;3.00;8.00;2.00;-;-
