Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Захар Волков;Химки;187;97;З Ц;-;-;-;-;-;-;2.00;-;1.00;1.00;-;-;-;-;-;-;41.00;85 %;-;-;-;-;7.00;57 %;2.00;100 %;-;-;3.00;67 %;-;-;3.00;3.00;-;10.00;3.00;2.00;11.00;73 %;7.00;71 %;4.00;75 %;3.00;100 %;1.00;100 %;-;-;3.00;67 %;5.00;9.00;1;1.00;-;-;69.00;60.00;87 %;-;-;-;-;0.02;-;-;-;1.93;0.51;1.42;0.15;0.07;35.00;-;-;4.00;2.00;-;2.00;-;8.00;5.00;3.00;3.00;1.00;-;2.00
Ислам Жилов;Кубань Краснодар;231;97;ЗП ЛЦ;-;-;-;-;-;-;-;4.00;-;-;-;-;-;-;-;-;43.00;86 %;-;-;1.00;100 %;5.00;60 %;-;-;-;-;3.00;67 %;2.00;50 %;3.00;1.00;-;9.00;3.00;1.00;11.00;82 %;7.00;71 %;4.00;100 %;5.00;60 %;2.00;100 %;1.00;100 %;2.00;100 %;7.00;10.00;1;1.00;-;-;72.00;64.00;89 %;-;-;-;-;-;-;-;-;0.51;1.93;-1.42;0.26;0.13;37.00;-;1.00;3.00;-;-;2.00;1.00;9.00;5.00;4.00;3.00;2.00;1.00;2.00
Астемир Абазов;Сокол Саратов;224;96;З ЛЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;34.00;74 %;-;-;-;-;8.00;50 %;4.00;25 %;1.00;0 %;2.00;50 %;-;-;6.00;3.00;1.00;8.00;-;1.00;14.00;93 %;10.00;100 %;4.00;75 %;6.00;83 %;2.00;100 %;-;-;2.00;100 %;15.00;4.00;1;1.00;-;-;69.00;58.00;84 %;-;-;-;-;-;-;-;-;0.59;0.63;-0.04;0.08;0.08;25.00;-;-;4.00;1.00;-;1.00;-;13.00;10.00;3.00;5.00;2.00;-;2.00
Андрей Евдокимов;Сокол Саратов;204;96;З ПЦ;-;-;-;-;-;-;1.00;1.00;-;2.00;-;-;-;-;-;-;42.00;93 %;-;-;-;-;8.00;88 %;1.00;100 %;-;-;-;-;-;-;2.00;2.00;-;9.00;-;-;10.00;80 %;8.00;75 %;2.00;100 %;5.00;100 %;-;-;-;-;-;-;9.00;9.00;1;1.00;-;-;70.00;65.00;93 %;-;-;-;-;-;-;-;-;0.59;0.63;-0.04;0.02;0.02;39.00;-;-;7.00;1.00;-;-;-;8.00;6.00;2.00;5.00;-;-;-
Ленар Фаттахов;Кубань Краснодар;202;96;З П;-;-;-;-;-;-;3.00;-;-;1.00;1.00;1.00;-;-;-;-;33.00;85 %;-;-;1.00;0 %;5.00;100 %;3.00;67 %;1.00;100 %;1.00;100 %;1.00;0 %;5.00;2.00;-;5.00;-;3.00;15.00;53 %;10.00;60 %;5.00;40 %;1.00;100 %;1.00;100 %;-;-;5.00;60 %;3.00;6.00;1;1.00;-;-;60.00;48.00;80 %;-;-;-;-;0.03;-;-;-;0.51;1.93;-1.42;0.06;0.06;28.00;-;-;5.00;2.00;1.00;1.00;-;8.00;6.00;2.00;1.00;1.00;-;3.00
Артур Гилязетдинов;ФК Волгарь;249;96;З П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.00;86 %;-;-;2.00;0 %;11.00;73 %;1.00;100 %;-;-;9.00;67 %;3.00;33 %;5.00;-;-;6.00;2.00;4.00;7.00;86 %;5.00;100 %;2.00;50 %;-;-;2.00;50 %;1.00;0 %;2.00;100 %;4.00;10.00;1;1.00;-;-;84.00;75.00;89 %;-;-;-;-;0.32;-;-;-;0.63;0.59;0.04;-;-;50.00;-;-;8.00;1.00;-;6.00;1.00;6.00;5.00;1.00;-;1.00;-;2.00
Ян Гудков;Сокол Саратов;220;96;ЗЛ;-;-;-;-;-;-;3.00;-;-;-;-;-;-;-;-;-;36.00;61 %;-;-;-;-;10.00;70 %;3.00;33 %;1.00;0 %;4.00;50 %;1.00;0 %;9.00;7.00;-;4.00;-;1.00;9.00;78 %;7.00;86 %;2.00;50 %;3.00;67 %;-;-;-;-;3.00;100 %;6.00;9.00;1;1.00;-;-;63.00;47.00;75 %;-;-;-;-;0.27;-;-;-;0.59;0.63;-0.04;0.12;0.06;22.00;-;-;7.00;1.00;-;2.00;-;7.00;6.00;1.00;2.00;-;-;3.00
Иван Хомуха;ФК Волгарь;200;96;З ПЦ;-;-;-;-;-;-;2.00;1.00;-;-;-;-;-;-;-;-;49.00;82 %;-;-;-;-;14.00;57 %;4.00;50 %;-;-;4.00;25 %;1.00;100 %;5.00;2.00;1.00;11.00;1.00;4.00;15.00;60 %;13.00;62 %;2.00;50 %;10.00;60 %;-;-;-;-;1.00;100 %;6.00;9.00;1;1.00;-;-;84.00;68.00;81 %;-;-;-;-;-;-;-;-;0.63;0.59;0.04;-;-;40.00;-;-;8.00;2.00;-;1.00;1.00;9.00;8.00;1.00;6.00;-;-;1.00
Данил Кленкин;ФК Волгарь;197;96;П ПЦ;1.00;-;2.00;1.00;50 %;1.00;2.00;3.00;-;-;-;-;-;2.00;2.00;1.7;38.00;68 %;2.00;0 %;3.00;33 %;8.00;63 %;3.00;67 %;-;-;5.00;60 %;8.00;50 %;13.00;1.00;1.00;1.00;1.00;1.00;11.00;27 %;3.00;67 %;8.00;13 %;4.00;0 %;-;-;-;-;3.00;67 %;-;4.00;1;1.00;-;-;56.00;35.00;63 %;100 %;-;-;-;-;0.54;1.7;0.93;0.63;0.59;0.04;-;-;26.00;-;1.00;5.00;2.00;-;3.00;4.00;3.00;2.00;1.00;-;-;-;2.00
Михаил Мальцев;Сокол Саратов;175;96;ЗП ПЦ;-;-;-;-;-;-;5.00;1.00;-;-;-;-;-;1.00;1.00;0.02;20.00;70 %;-;-;1.00;100 %;7.00;71 %;-;-;-;-;3.00;67 %;1.00;100 %;4.00;1.00;1.00;2.00;1.00;-;12.00;42 %;6.00;50 %;6.00;33 %;4.00;25 %;-;-;-;-;3.00;33 %;4.00;5.00;1;1.00;-;-;44.00;30.00;68 %;100 %;-;-;-;-;0.02;-;0.00;0.59;0.63;-0.04;-;-;14.00;-;1.00;5.00;-;-;2.00;1.00;5.00;3.00;2.00;1.00;-;-;1.00
