Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Кирилл Панченко;Химки;190;47;АП ПЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;-;0.04;13.00;62 %;-;-;1.00;0 %;3.00;33 %;1.00;100 %;-;-;-;-;1.00;0 %;3.00;-;2.00;-;-;-;12.00;42 %;7.00;29 %;5.00;60 %;6.00;33 %;-;-;-;-;2.00;50 %;2.00;2.00;1;1.00;1.00;-;33.00;18.00;55 %;0 %;-;1.00;-;-;0.04;-;0.00;0.24;0.11;0.13;-;-;8.00;-;-;1.00;1.00;-;-;-;5.00;2.00;3.00;2.00;-;-;1.00
Илья Садыгов;Химки;160;47;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;20 %;-;-;-;-;3.00;0 %;-;-;-;-;1.00;0 %;2.00;0 %;5.00;1.00;-;-;-;-;5.00;40 %;2.00;0 %;3.00;67 %;4.00;50 %;-;-;-;-;-;-;-;-;1;1.00;1.00;-;10.00;3.00;30 %;-;-;-;-;-;-;-;-;0.24;0.11;0.13;-;-;1.00;-;-;-;-;-;-;-;2.00;-;2.00;2.00;-;-;-
Максим Петров;Нефтехимик Нижнекамск;173;45;АП ЛЦ;-;-;-;-;-;-;-;-;-;-;1.00;-;-;1.00;-;0.03;9.00;89 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;6.00;3.00;-;1.00;-;2.00;15.00;20 %;4.00;25 %;11.00;18 %;1.00;0 %;5.00;0 %;2.00;0 %;2.00;50 %;1.00;4.00;1;1.00;1.00;-;33.00;19.00;58 %;0 %;-;1.00;-;-;0.03;-;0.00;0.11;1.30;-1.19;-;-;8.00;-;-;-;-;-;-;-;3.00;1.00;2.00;-;-;-;1.00
Сергей Макаров;ФК Акрон Тольятти;216;42;АП Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;1.00;-;-;2.00;-;-;5.00;60 %;2.00;100 %;3.00;33 %;2.00;50 %;-;-;-;-;2.00;100 %;3.00;2.00;1;-;-;1.00;25.00;23.00;92 %;-;-;-;-;-;-;-;-;0.18;0.93;-0.75;-;-;15.00;-;-;1.00;-;-;1.00;-;3.00;2.00;1.00;1.00;-;-;2.00
Андреа Чуканов;Тюмень;225;40;АП Ц;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;-;0.14;16.00;88 %;-;-;-;-;3.00;100 %;-;-;-;-;2.00;100 %;2.00;50 %;3.00;1.00;1.00;1.00;1.00;-;4.00;75 %;2.00;100 %;2.00;50 %;-;-;-;-;-;-;1.00;100 %;1.00;1.00;1;-;-;1.00;24.00;19.00;79 %;0 %;-;1.00;-;0.14;0.14;-;0.00;0.93;0.18;0.75;0.05;0.05;14.00;-;-;3.00;-;-;2.00;1.00;3.00;2.00;1.00;-;-;-;1.00
Кирилл Никитин;СКА-Хабаровск;174;37;АП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12.00;33 %;-;-;-;-;-;-;-;-;-;-;-;-;1.00;0 %;5.00;-;-;-;-;-;4.00;50 %;-;-;4.00;50 %;1.00;100 %;1.00;100 %;1.00;100 %;-;-;1.00;1.00;1;1.00;1.00;-;18.00;8.00;44 %;-;-;-;-;-;-;-;-;0.13;0.55;-0.42;-;-;4.00;-;-;-;-;-;-;-;2.00;-;2.00;1.00;1.00;1.00;-
Максим Кутовой;СКА-Хабаровск;159;37;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.10;5.00;80 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;3.00;1.00;1.00;-;-;1.00;4.00;75 %;-;-;4.00;75 %;2.00;50 %;-;-;-;-;-;-;-;-;1;1.00;1.00;-;12.00;8.00;67 %;0 %;1.00;-;-;-;0.10;-;0.00;0.13;0.55;-0.42;-;-;4.00;-;-;1.00;-;-;1.00;-;3.00;-;3.00;1.00;-;-;-
Илья Быковский;Арсенал Тула;193;36;ЗЛ;-;-;-;-;-;-;2.00;-;-;-;1.00;-;-;-;-;-;13.00;85 %;-;-;3.00;67 %;4.00;100 %;2.00;100 %;-;-;2.00;100 %;3.00;67 %;1.00;-;-;2.00;-;-;5.00;40 %;4.00;50 %;1.00;0 %;1.00;0 %;1.00;0 %;1.00;0 %;1.00;100 %;1.00;1.00;1;-;-;1.00;20.00;15.00;75 %;-;-;-;-;-;-;-;-;0.66;0.02;0.64;-;-;11.00;-;2.00;4.00;2.00;-;2.00;2.00;2.00;2.00;-;-;-;-;1.00
Владислав Галкин;ФК Акрон Тольятти;200;34;АП П;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;-;0.12;10.00;70 %;-;-;-;-;-;-;1.00;100 %;-;-;-;-;-;-;7.00;2.00;1.00;1.00;-;-;13.00;38 %;3.00;33 %;10.00;40 %;3.00;33 %;4.00;50 %;2.00;100 %;2.00;50 %;-;3.00;1;-;-;1.00;29.00;15.00;52 %;0 %;2.00;-;-;-;0.06;-;0.00;0.15;0.93;-0.78;-;-;7.00;-;-;-;1.00;-;-;-;5.00;1.00;4.00;1.00;2.00;2.00;1.00
Антон Килин;ФК Акрон Тольятти;189;34;АП Л;-;-;-;-;-;-;2.00;1.00;-;-;-;-;-;-;-;-;8.00;88 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;1.00;-;-;-;-;7.00;43 %;2.00;50 %;5.00;40 %;3.00;33 %;2.00;50 %;1.00;100 %;-;-;-;2.00;1;-;-;1.00;17.00;12.00;71 %;-;-;-;-;0.10;-;-;-;0.15;0.93;-0.78;-;-;7.00;-;-;-;-;-;-;-;3.00;1.00;2.00;1.00;1.00;1.00;-
Дмитрий Малыхин;Шинник;193;34;ЗП Ц;-;-;-;-;-;-;1.00;1.00;-;1.00;-;-;-;-;-;-;14.00;71 %;-;-;-;-;4.00;25 %;-;-;-;-;3.00;33 %;-;-;4.00;1.00;1.00;2.00;1.00;-;8.00;63 %;4.00;50 %;4.00;75 %;2.00;100 %;3.00;100 %;-;-;1.00;0 %;3.00;2.00;1;-;-;1.00;28.00;20.00;71 %;-;-;-;-;-;-;-;-;1.19;0.86;0.33;0.20;0.20;10.00;-;-;1.00;-;-;1.00;-;5.00;2.00;3.00;2.00;3.00;-;-
Артём Абрамов;КамАЗ Набережные Челны;195;33;З П;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;11.00;91 %;-;-;-;-;2.00;100 %;-;-;-;-;1.00;100 %;-;-;2.00;1.00;-;3.00;-;-;6.00;50 %;5.00;60 %;1.00;0 %;1.00;100 %;-;-;-;-;-;-;1.00;2.00;1;1.00;1.00;-;21.00;17.00;81 %;-;-;-;-;-;-;-;-;0.07;0.57;-0.50;-;-;10.00;-;-;2.00;-;-;1.00;-;3.00;3.00;-;1.00;-;-;-
Михаил Мальцев;Сокол Саратов;178;33;АП Ц;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;21.00;76 %;-;-;1.00;0 %;4.00;25 %;-;-;-;-;2.00;50 %;1.00;0 %;2.00;-;-;-;-;2.00;2.00;0 %;1.00;0 %;1.00;0 %;1.00;0 %;-;-;-;-;-;-;1.00;-;1;-;-;1.00;26.00;19.00;73 %;-;-;-;-;-;-;-;-;0.24;0.32;-0.08;-;-;16.00;-;-;1.00;-;-;1.00;-;-;-;-;-;-;-;-
Дмитрий Сасин;Сокол Саратов;195;33;АП П;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;9.00;89 %;-;-;-;-;-;-;-;-;-;-;-;-;1.00;100 %;1.00;-;-;2.00;-;1.00;6.00;50 %;2.00;50 %;4.00;50 %;2.00;50 %;2.00;50 %;1.00;0 %;1.00;0 %;2.00;2.00;1;-;-;1.00;20.00;16.00;80 %;-;-;-;-;0.05;-;-;-;0.24;0.32;-0.08;-;-;8.00;-;-;-;-;-;-;1.00;3.00;1.00;2.00;1.00;1.00;-;-
Александр Щербатюк;КамАЗ Набережные Челны;167;33;Ф Ц;-;-;1.00;-;0 %;-;1.00;-;-;-;-;-;-;-;-;-;3.00;67 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;-;-;-;-;-;6.00;33 %;1.00;0 %;5.00;40 %;2.00;100 %;2.00;0 %;1.00;0 %;1.00;0 %;-;-;1;1.00;1.00;-;9.00;4.00;44 %;-;-;-;-;-;-;-;-;0.07;0.57;-0.50;-;-;2.00;-;-;-;-;-;-;-;2.00;-;2.00;2.00;-;-;-
Юрий Будагян;Черноморец;224;32;П ЛЦ;-;-;-;-;-;1.00;2.00;3.00;-;-;-;-;-;-;-;-;8.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;2.00;-;-;2.00;-;-;6.00;83 %;3.00;100 %;3.00;67 %;-;-;2.00;50 %;-;-;3.00;100 %;1.00;4.00;1;-;-;1.00;19.00;18.00;95 %;-;-;-;-;-;-;-;-;0.68;0.33;0.35;-;-;8.00;-;-;1.00;-;-;1.00;-;5.00;3.00;2.00;-;1.00;-;3.00
Никита Панамарев;Черноморец;179;32;АП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;86 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;-;-;-;2.00;-;-;2.00;100 %;2.00;100 %;-;-;-;-;-;-;-;-;2.00;100 %;3.00;1.00;1;-;-;1.00;13.00;12.00;92 %;-;-;-;-;-;-;-;-;0.68;0.33;0.35;-;-;6.00;-;-;1.00;-;-;-;-;2.00;2.00;-;-;-;-;2.00
